2013 Measure Data: Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,
,,,,,Drug Plan Customer Service,,,,,"Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance",,,,Member Experience with Drug Plan,,,Patient Safety and Accuracy of Drug Pricing ,,,,,
H2491,Local CCP,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.",'Ohana Health Plan,"WellCare Health Plans, Inc.",0:19,86%,12.1,Not enough data available,94%,0.23,60,7%,Medicare shows only a star rating for this topic,77%,85%,86%,99,6.50%,91.00%,63.70%,66.40%,59.50%
H2542,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:11,97%,0.9,Not enough data available,95%,0.52,67,19%,Medicare shows only a star rating for this topic,80%,86%,90%,97,7.10%,84.40%,74.80%,74.40%,68.20%
H2593,Local CCP,"CAREMORE HEALTH PLAN OF ARIZONA, INC.","CareMore Health Plan of Arizona, Inc.","WellPoint, Inc.",0:10,96%,0,Not enough data available,93%,0.71,80,11%,Medicare shows only a star rating for this topic,83%,85%,90%,99,4.40%,89.30%,73.70%,74.60%,67.30%
H2610,Local CCP,"ESSENCE HEALTHCARE, INC.",Essence Healthcare,Essence Group Holdings Corporation,0:28,92%,4.8,Not enough data available,96%,0.08,100,4%,Medicare shows only a star rating for this topic,Not enough data available,88%,94%,97,6.20%,84.20%,76.00%,76.80%,70.70%
H2611,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Health Care Inc.,0:19,89%,9,Not enough data available,77%,0.8,20,28%,Medicare shows only a star rating for this topic,82%,83%,91%,99,7.70%,81.30%,73.70%,73.40%,67.70%
H2643,Local CCP,L. A. CARE HEALTH PLAN,L.A. Care Health Plan Medicare Advantage,Local Initiative Health Authority for LA County,0:07,42%,0,Not enough data available,Not enough data available,0.12,100,22%,Medicare shows only a star rating for this topic,Not enough data available,85%,89%,99,7.00%,91.80%,66.50%,67.00%,57.00%
H2649,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,0:09,97%,1.1,Not enough data available,97%,0.28,47,5%,Medicare shows only a star rating for this topic,79%,86%,90%,97,7.50%,85.40%,78.00%,78.00%,72.80%
H2654,Local CCP,"UNITEDHEALTHCARE OF THE MIDWEST, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:11,90%,0.2,Not enough data available,96%,0.31,12,11%,Medicare shows only a star rating for this topic,89%,85%,93%,99,6.50%,83.80%,74.80%,76.10%,71.90%
H2663,Local CCP,"COVENTRY HEALTH CARE OF MISSOURI, INC","Coventry Health Care of Missouri, Inc.",Coventry Health Care Inc.,0:08,89%,6.8,Not enough data available,96%,0.27,40,7%,Medicare shows only a star rating for this topic,Not enough data available,85%,92%,99,6.50%,82.60%,78.30%,79.10%,74.80%
H2667,Local CCP,"COVENTRY HEALTH CARE OF MISSOURI, INC",Coventry Health Care,Coventry Health Care Inc.,0:19,89%,3.5,Not enough data available,81%,0.66,60,9%,Medicare shows only a star rating for this topic,82%,85%,92%,99,8.50%,81.30%,76.30%,76.30%,71.90%
H2672,Local CCP,"COVENTRY HEALTH CARE OF KANSAS, INC.",COVENTRY HEALTH CARE,Coventry Health Care Inc.,0:08,89%,3.4,Not enough data available,97%,0.29,40,9%,Medicare shows only a star rating for this topic,83%,86%,92%,99,7.20%,85.60%,76.20%,74.50%,70.00%
H2676,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2701,Local CCP,NEW WEST HEALTH SERVICES,New West Health Services,New West Health Services,0:15,74%,3.3,Not enough data available,88%,0.12,80,4%,Medicare shows only a star rating for this topic,84%,83%,93%,97,4.90%,84.20%,76.50%,79.80%,73.50%
H2773,Local CCP,"QUALITY HEALTH PLANS OF NEW YORK, INC.",QUALITY HEALTH PLANS,"QHP Financial Group, Inc.",0:13,49%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,98,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H2775,Local CCP,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,Universal American Corp.,0:28,91%,0.9,Not enough data available,97%,0.3,100,19%,Medicare shows only a star rating for this topic,79%,81%,90%,Not enough data available,5.40%,82.20%,77.10%,79.90%,75.90%
H2802,Local CCP,"UNITEDHEALTHCARE OF THE MIDLANDS, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:11,91%,0,Not enough data available,93%,0.18,0,4%,Medicare shows only a star rating for this topic,88%,85%,93%,99,6.30%,77.90%,74.50%,76.30%,72.90%
H2803,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:11,90%,0,Not enough data available,95%,0.31,0,12%,Medicare shows only a star rating for this topic,Not enough data available,82%,92%,99,6.80%,80.90%,75.10%,76.00%,71.30%
H2810,Local CCP,GROUP HEALTH OPTIONS,"Group Health Options, Inc.",Group Health Cooperative,0:03,91%,0,Not enough data available,96%,0.27,80,10%,Medicare shows only a star rating for this topic,87%,81%,92%,99,8.20%,89.00%,78.60%,77.80%,73.00%
H2816,PFFS,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,Universal American Corp.,0:28,91%,1.4,Not enough data available,97%,0.19,100,16%,Not enough data available,Not enough data available,82%,Not enough data available,Not enough data available,5.50%,84.30%,78.20%,79.50%,74.90%
H2836,Local CCP,"ANTHEM HEALTH PLANS, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",0:07,69%,Not enough data available,20%,94%,1.21,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H2905,Local CCP,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Sierra Health and Life Insurance Company, Inc.","UnitedHealth Group, Inc.",0:10,93%,0,Not enough data available,92%,0.48,12,8%,Medicare shows only a star rating for this topic,86%,79%,91%,89,5.60%,84.90%,72.20%,68.60%,69.10%
H2906,Local CCP,HOMETOWN HEALTH PLAN,Senior Care Plus,Renown Health,0:13,98%,Not enough data available,Not enough data available,92%,0.15,80,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,98,10.70%,84.50%,83.90%,78.80%,74.10%
H2911,Local CCP,"ARCADIAN HEALTH PLAN OF LOUISIANA, INC.",Arcadian Community Care,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2926,Local CCP,PRIMEWEST HEALTH SYSTEM,PrimeWest Health,PrimeWest Central County-Based Purchasing Initiati,0:20,89%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,98,Not enough data available,75.60%,Not enough data available,80.40%,82.90%
H2931,Local CCP,"HEALTH PLAN OF NEVADA, INC.","Health Plan of Nevada, Inc.","UnitedHealth Group, Inc.",0:11,93%,CMS identified issues with plan’s data,77%,98%,0.15,12,11%,Medicare shows only a star rating for this topic,77%,85%,92%,88,5.90%,86.10%,75.70%,74.50%,71.80%
H2944,PFFS,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:09,97%,0.5,Not enough data available,96%,0.4,47,11%,Medicare shows only a star rating for this topic,84%,87%,92%,98,8.50%,84.00%,77.80%,76.90%,71.70%
H2949,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,0:08,97%,0.7,Not enough data available,97%,0.39,67,6%,Medicare shows only a star rating for this topic,79%,86%,90%,97,7.70%,87.70%,75.40%,76.70%,73.20%
H2960,Local CCP,HOMETOWN HEALTH PLAN,Senior Care Plus,Renown Health,0:13,98%,4.2,17%,93%,0.22,80,4%,Medicare shows only a star rating for this topic,89%,88%,93%,99,8.50%,89.00%,74.80%,77.00%,73.90%
H2962,Local CCP,"ULTIMATE HEALTH PLANS, INC.",Ultimate Health Plans,"ULTIMATE HEALTH PLAN, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2997,Local CCP,"ROCKY MOUNTAIN HOSPITAL AND MEDICAL SERVICES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",0:06,64%,4.6,Not enough data available,92%,0.36,47,2%,Medicare shows only a star rating for this topic,Not enough data available,86%,92%,97,7.20%,83.40%,82.40%,83.10%,80.10%
H3028,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,0:08,97%,0,Not enough data available,98%,0.5,67,10%,Medicare shows only a star rating for this topic,79%,85%,89%,97,8.00%,88.80%,76.40%,73.20%,72.30%
H3107,Local CCP,"OXFORD HEALTH PLANS (NJ), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,91%,0.5,Not enough data available,97%,0.62,12,9%,Medicare shows only a star rating for this topic,Not enough data available,81%,90%,99,4.00%,85.00%,70.00%,71.30%,63.70%
H3113,Local CCP,"OXFORD HEALTH PLANS (NJ), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,87%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,12,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,93,10.10%,56.50%,83.60%,73.60%,74.30%
H3132,Local CCP,"AIDS HEALTHCARE FOUNDATION MCO OF FLORIDA, INC.",Positive Healthcare Partners,AIDS Healthcare Foundation,0:26,87%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,99,9.60%,89.50%,79.80%,79.70%,77.70%
H3144,Local CCP,"COVENTRY HEALTH CARE OF ILLINOIS, INC.","Coventry Health Care of Illinois, Inc.",Coventry Health Care Inc.,0:08,89%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H3152,Local CCP,"AETNA HEALTH, INC. (NJ)",Aetna Medicare,Aetna Inc.,0:47,89%,1.8,67%,91%,0.29,40,6%,Medicare shows only a star rating for this topic,80%,77%,90%,98,2.60%,82.70%,75.10%,78.30%,71.20%
H3154,Local CCP,"HORIZON HEALTHCARE OF NEW JERSEY, INC.","Horizon Blue Cross Blue Shield of New Jersey, Inc.","Horizon Healthcare Services, Inc.",0:24,90%,6.1,60%,95%,0.42,100,6%,Medicare shows only a star rating for this topic,83%,82%,89%,98,4.80%,82.70%,77.90%,80.20%,74.00%
H3156,Local CCP,"AMERIHEALTH HMO, INC",AmeriHealth 65,Independence Blue Cross,0:15,89%,Not enough data available,Not enough data available,Not enough data available,0.18,100,8%,Medicare shows only a star rating for this topic,Not enough data available,79%,90%,95,4.90%,80.40%,74.90%,79.10%,77.30%
H3164,Local CCP,"AMERICHOICE OF NEW JERSEY, INC",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",0:13,95%,0,63%,Not enough data available,0.65,12,18%,Medicare shows only a star rating for this topic,Not enough data available,79%,88%,99,10.00%,87.90%,69.10%,66.60%,60.80%
H3204,Local CCP,PRESBYTERIAN HEALTH PLAN,Presbyterian Senior Care (HMO),Presbyterian Healthcare Services,0:25,86%,0.5,Not enough data available,95%,0.17,80,3%,Medicare shows only a star rating for this topic,79%,88%,92%,99,7.70%,84.90%,73.40%,77.60%,74.80%
H3206,Local CCP,"PRESBYTERIAN INSURANCE COMPANY, INC.",Presbyterian MediCare PPO,Presbyterian Healthcare Services,0:25,86%,0,Not enough data available,90%,0.21,80,4%,Medicare shows only a star rating for this topic,Not enough data available,85%,91%,99,8.60%,84.50%,76.70%,78.70%,74.30%
H3209,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:10,87%,0,Not enough data available,Not enough data available,0.2,12,7%,Medicare shows only a star rating for this topic,Not enough data available,85%,90%,99,10.80%,85.00%,70.00%,66.90%,64.10%
H3240,Local CCP,"AMERIGROUP NEW JERSEY, INC.",Amerigroup Community Care,AMERIGROUP Corporation,0:17,75%,7,Not enough data available,100%,0.84,80,22%,Medicare shows only a star rating for this topic,79%,84%,85%,99,6.90%,88.90%,67.80%,60.30%,53.80%
H3251,Local CCP,"LOVELACE HEALTH SYSTEM, INC.",Lovelace Medicare Plan,Ardent Health Services.,1:03,78%,0,Not enough data available,93%,0.19,60,3%,Medicare shows only a star rating for this topic,Not enough data available,87%,93%,97,7.10%,85.90%,72.30%,74.20%,69.70%
H3283,Local CCP,MEDICA HEALTH PLANS,Medica Health Plans,Medica Holding Company,0:07,84%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H3305,Local CCP,"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,"MVP Health Care, Inc.",0:11,97%,0.6,67%,85%,0.15,100,2%,Medicare shows only a star rating for this topic,Not enough data available,85%,94%,99,6.20%,80.20%,80.40%,81.90%,77.50%
H3307,Local CCP,"OXFORD HEALTH PLANS (NY), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,90%,0.1,80%,96%,0.48,12,9%,Medicare shows only a star rating for this topic,Not enough data available,78%,89%,99,4.20%,85.00%,76.40%,76.10%,68.00%
H3312,Local CCP,"AETNA HEALTH, INC. (NY)",Aetna Medicare,Aetna Inc.,0:47,89%,3.6,100%,94%,0.22,40,6%,Medicare shows only a star rating for this topic,83%,81%,91%,98,2.50%,83.60%,73.10%,77.10%,70.40%
H3327,Local CCP,"TOUCHSTONE HEALTH HMO, INC.",Touchstone Health,"Touchstone Health Partnership, Inc",0:09,61%,0,Not enough data available,100%,1.31,60,23%,Medicare shows only a star rating for this topic,Not enough data available,82%,87%,99,2.40%,86.60%,70.20%,69.60%,63.90%
H3328,Local CCP,NEW YORK STATE CATHOLIC HLTH PLAN INC,Fidelis Care,"The New York State Catholic Health Plan, Inc.",0:28,94%,0,Not enough data available,97%,0.4,80,23%,Medicare shows only a star rating for this topic,77%,80%,87%,99,5.70%,87.50%,68.10%,69.30%,61.50%
H3330,Local CCP,HEALTH INSURANCE PLAN OF GREATER NEW YORK,EmblemHealth Medicare HMO,"EmblemHealth, Inc.",0:19,71%,0.5,86%,96%,0.25,80,5%,Medicare shows only a star rating for this topic,Not enough data available,83%,90%,99,4.10%,87.00%,73.70%,74.00%,67.40%
H3333,PFFS,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,Universal American Corp.,0:28,91%,Not enough data available,Not enough data available,94%,1.35,100,13%,Medicare shows only a star rating for this topic,Not enough data available,82%,92%,Not enough data available,5.70%,82.30%,84.30%,76.30%,77.20%
H3335,Local CCP,"EXCELLUS HEALTH PLAN, INC.","Excellus Health Plan, Inc","Lifetime Healthcare, Inc.",0:11,96%,0.6,Not enough data available,76%,0.15,100,6%,Medicare shows only a star rating for this topic,85%,83%,93%,98,5.70%,82.90%,79.70%,82.90%,75.90%
H3337,Local CCP,"LIBERTY HEALTH ADVANTAGE, INC.",Liberty Health Advantage,"Liberty Health Advantage, Inc.",0:09,86%,0,Not enough data available,95%,1.6,100,35%,Medicare shows only a star rating for this topic,Not enough data available,81%,87%,99,2.60%,86.90%,64.50%,60.80%,55.10%
H3342,Local CCP,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",Empire BlueCross BlueShield,"WellPoint, Inc.",0:07,69%,2.9,100%,91%,0.83,47,6%,Medicare shows only a star rating for this topic,74%,80%,89%,97,4.20%,84.60%,75.70%,79.70%,71.20%
H3344,Local CCP,INDEPENDENT HEALTH BENEFITS CORPORATION,Independent Health,"Independent Health Association, Inc.",0:07,98%,0,Not enough data available,95%,0.09,100,12%,Medicare shows only a star rating for this topic,90%,88%,95%,96,6.40%,83.80%,75.90%,77.80%,69.20%
H3347,Local CCP,"ELDERPLAN, INC.",Elderplan,"Elderplan, Inc.",0:34,96%,0,Not enough data available,93%,0.28,100,12%,Medicare shows only a star rating for this topic,76%,83%,89%,99,4.10%,85.30%,67.80%,67.30%,62.80%
H3351,Local CCP,"EXCELLUS HEALTH PLAN, INC.","Excellus Health Plan, Inc","Lifetime Healthcare, Inc.",0:11,96%,0,Not enough data available,78%,0.1,100,6%,Medicare shows only a star rating for this topic,91%,86%,94%,98,6.10%,81.80%,80.20%,81.50%,75.70%
H3359,Local CCP,"MANAGED HEALTH, INC.",Healthfirst Medicare Plan,"Healthfirst, Inc.",0:14,85%,1.9,Not enough data available,97%,0.18,100,10%,Medicare shows only a star rating for this topic,Not enough data available,85%,89%,98,6.40%,90.40%,68.80%,66.70%,56.00%
H3361,Local CCP,"WELLCARE_OF NEW YORK, INC.",WellCare,"WellCare Health Plans, Inc.",0:15,60%,0.5,Not enough data available,99%,0.61,80,19%,Medicare shows only a star rating for this topic,75%,83%,88%,99,5.40%,88.90%,66.00%,66.70%,56.50%
H3362,Local CCP,"INDEPENDENT HEALTH ASSOCIATION, INC.",Independent Health,"Independent Health Association, Inc.",0:07,98%,0.2,Not enough data available,94%,0.1,100,2%,Medicare shows only a star rating for this topic,90%,88%,95%,96,5.10%,83.50%,78.80%,78.50%,69.00%
H3370,Local CCP,"EMPIRE HEALTHCHOICE HMO, INC.",Empire BlueCross BlueShield,"WellPoint, Inc.",0:07,69%,1.5,46%,94%,0.52,47,5%,Medicare shows only a star rating for this topic,Not enough data available,80%,90%,97,4.30%,83.40%,78.50%,79.10%,71.30%
H3379,Local CCP,"UNITEDHEALTHCARE OF NEW YORK, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,90%,1.3,Not enough data available,94%,0.19,12,7%,Medicare shows only a star rating for this topic,Not enough data available,79%,89%,98,6.10%,69.10%,83.50%,78.60%,73.30%
H3384,Local CCP,HEALTHNOW NEW YORK INC,BCBS of WNY/BS of NENY/HealthNow New York Inc.,HealthNow New York Inc.,0:11,83%,0.3,100%,93%,0.12,80,5%,Medicare shows only a star rating for this topic,Not enough data available,86%,93%,99,5.00%,81.60%,78.50%,81.50%,74.10%
H3387,Local CCP,"UNITEDHEALTHCARE OF NEW YORK, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",0:13,95%,7.8,Not enough data available,Not enough data available,0.63,12,36%,Medicare shows only a star rating for this topic,Not enough data available,80%,Not enough data available,99,6.80%,90.30%,70.20%,69.80%,62.70%
H3388,Local CCP,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC.",CDPHP Medicare Choices,"Capital District Physicians' Health Plan, Inc.",0:24,95%,0.5,Not enough data available,89%,0.11,100,2%,Medicare shows only a star rating for this topic,84%,86%,92%,98,5.10%,82.90%,78.10%,82.20%,76.20%
H3404,Local CCP,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina,0:11,81%,9.1,63%,95%,0.65,100,10%,Medicare shows only a star rating for this topic,87%,86%,92%,98,8.40%,83.80%,75.60%,79.10%,69.90%
H3405,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:11,97%,1.5,Not enough data available,98%,0.6,67,22%,Medicare shows only a star rating for this topic,84%,87%,91%,97,8.20%,85.10%,75.00%,74.90%,69.50%
H3421,PFFS,"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.",America's 1st Choice Health Plans,"America's 1st Choice Holdings of S.C., LLC",0:12,91%,CMS identified issues with plan’s data,Not enough data available,98%,0.29,100,11%,Not enough data available,79%,81%,90%,99,9.80%,83.50%,75.80%,72.50%,68.80%
H3447,Local CCP,"HEALTHKEEPERS, INC.",Anthem HealthKeepers,"WellPoint, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3449,Local CCP,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina,0:11,81%,CMS identified issues with plan’s data,52%,96%,0.29,100,3%,Medicare shows only a star rating for this topic,87%,89%,93%,98,9.40%,82.10%,79.30%,79.10%,71.20%
H3456,Local CCP,"UNITEDHEALTHCARE OF NORTH CAROLINA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,90%,1.2,Not enough data available,96%,0.26,12,11%,Medicare shows only a star rating for this topic,Not enough data available,84%,92%,99,9.00%,83.10%,71.80%,70.80%,63.90%
H3511,Local CCP,"LOVELACE INSURANCE COMPANY, INC.",Lovelace Medicare Plan,Ardent Health Services.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3528,Local CCP,"CONNECTICARE, INC.","ConnectiCare, Inc.","EmblemHealth, Inc.",0:18,89%,0.7,50%,99%,0.09,80,7%,Medicare shows only a star rating for this topic,85%,79%,92%,99,5.30%,83.90%,77.10%,81.40%,73.40%
H3533,Local CCP,"ARCADIAN HEALTH PLAN OF NEW YORK, INC.","Arcadian Health Plan of New York, Inc.",Humana Inc.,0:24,59%,0,Not enough data available,Not enough data available,Not enough data available,80,48%,Medicare shows only a star rating for this topic,80%,81%,89%,Not enough data available,5.80%,85.00%,77.30%,75.50%,69.00%
H3597,Local CCP,"AETNA HEALTH, INC. (ME)",Aetna Medicare,Aetna Inc.,0:47,89%,4.2,Not enough data available,90%,0.23,40,3%,Medicare shows only a star rating for this topic,87%,84%,91%,98,2.60%,76.40%,79.70%,82.50%,77.40%
H3619,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:11,97%,1.1,100%,97%,0.29,67,18%,Medicare shows only a star rating for this topic,84%,84%,90%,98,7.60%,82.40%,78.30%,78.40%,73.90%
H3620,Local CCP,AULTCARE INSURANCE COMPANY,PrimeTime Health Plan,Aultman Health Foundation,0:21,84%,0,Not enough data available,Not enough data available,0,100,1%,Medicare shows only a star rating for this topic,94%,89%,94%,97,8.70%,81.00%,76.40%,78.70%,73.80%
H3623,Local CCP,"AETNA HEALTH,  INC. (PA)",Aetna Medicare,Aetna Inc.,0:47,89%,6.7,Not enough data available,94%,0.51,40,8%,Medicare shows only a star rating for this topic,81%,83%,89%,98,3.70%,83.50%,67.90%,71.70%,68.20%
H3635,Local CCP,"HHH CHOICES HEALTH PLAN, LLC",HHH Choices Gold,"HHCS, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3653,Local CCP,"PARAMOUNT CARE, INC",Paramount Elite,Promedica Health System,0:13,79%,1.6,Not enough data available,83%,0.14,80,3%,Medicare shows only a star rating for this topic,87%,84%,93%,99,4.60%,77.40%,72.80%,74.40%,69.20%
H3655,Local CCP,COMMUNITY INSURANCE COMPANY,Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",0:07,74%,4.1,38%,90%,0.22,47,4%,Medicare shows only a star rating for this topic,Not enough data available,85%,92%,97,6.90%,80.10%,74.80%,77.40%,70.90%
H3659,Local CCP,"UNITEDHEALTHCARE OF OHIO, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,90%,0.7,100%,96%,0.26,0,8%,Medicare shows only a star rating for this topic,83%,86%,93%,99,7.90%,81.40%,72.30%,73.20%,68.50%
H3660,Local CCP,SUMMACARE INC.,SummaCare Secure,Summa Health System,0:07,88%,3.1,Not enough data available,69%,0.16,100,3%,Medicare shows only a star rating for this topic,89%,86%,93%,99,7.80%,83.40%,75.80%,79.80%,73.10%
H3664,Local CCP,AULTCARE INSURANCE COMPANY,PrimeTime Health Plan,Aultman Health Foundation,0:21,84%,0,Not enough data available,98%,0.06,100,3%,Medicare shows only a star rating for this topic,91%,86%,95%,97,7.80%,80.80%,71.20%,76.10%,69.90%
H3668,Local CCP,"MT. CARMEL HEALTH PLAN, INC.",MediGold,Trinity Health,0:24,95%,4.6,54%,96%,0.14,100,5%,Medicare shows only a star rating for this topic,84%,87%,93%,99,7.90%,83.00%,75.00%,77.90%,72.60%
H3672,Local CCP,HOMETOWN HEALTH PLAN,The Health Plan,Health Plan of the Upper Ohio Valley,0:11,91%,0,Not enough data available,93%,0,80,5%,Medicare shows only a star rating for this topic,89%,87%,94%,99,7.10%,81.50%,73.80%,78.90%,71.90%
H3706,Local CCP,"TODAYS OPTIONS OF OKLAHOMA, INC.",Universal American Corp.,Universal American Corp.,0:25,91%,1.6,Not enough data available,93%,0.26,100,9%,Medicare shows only a star rating for this topic,Not enough data available,87%,93%,Not enough data available,12.50%,82.70%,69.90%,71.40%,70.30%
H3708,Local CCP,"SELECTCARE OF OKLAHOMA, INC.",Universal American Corp.,Universal American Corp.,0:25,84%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,28.10%,Not enough data available,Not enough data available,81.30%,79.60%
H3712,Local CCP,"PREFERRED MEDICAL PLAN, INC.",Preferred Medical Plan,"Preferred Medical Plan, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3749,Local CCP,"UNITEDHEALTHCARE OF OKLAHOMA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:11,91%,0.8,Not enough data available,98%,0.29,0,6%,Medicare shows only a star rating for this topic,86%,84%,92%,99,11.30%,84.50%,71.40%,72.10%,69.00%
