Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,Part D,,,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary  Hold Time - DMC09,Call Center – Information Accuracy- DMC10,Access,,,Call Center,,,Drug Pricing and Patient Safety,,,Plan Finder
H2241,GOLDEN STATE MEDICARE HEALTH PLAN,Golden State Medicare Health Plan,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,0:15,89%,Not measured,Not measured,Not measured,0.00%,0:15,92.00%,10.2%,0.0%,97.90%,100.00%
H2256,"TUFTS ASSOCIATED HMO, INC.","TAHMO, Inc.",Local CCP,93%,68%,56%,92%,94%,85%,39%,91%,0:34,95%,50.00%,50.00%,96.92%,1.22%,0:34,89.00%,5.5%,0.9%,99.30%,100.00%
H2261,"BLUE CROSS AND BLUE SHIELD OF MA HMO BLUE, INC.","Blue Cross and Blue Shield of Massachusetts, Inc.",Local CCP,85%,75%,62%,80%,93%,79%,31%,90%,0:52,94%,Not measured,100.00%,Not measured,0.50%,0:52,90.00%,6.1%,1.2%,99.80%,100.00%
H2312,HEALTH ALLIANCE PLAN OF MICHIGAN,Health Alliance Plan (HAP),Local CCP,72%,73%,53%,96%,91%,80%,42%,90%,0:36,95%,100.00%,Not measured,80.95%,0.50%,0:36,91.00%,5.3%,1.6%,99.00%,100.00%
H2320,PRIORITY HEALTH,Spectrum Health System,Local CCP,77%,47%,64%,84%,92%,88%,41%,92%,0:47,96%,Not measured,Not measured,0.52%,0.46%,0:47,82.00%,5.6%,1.4%,97.50%,100.00%
H2322,"ALLIANCE HEALTH AND LIFE INSURANCE, CO",Health Alliance Plan (HAP),Local CCP,Not enough data available to calculate measure,71%,Not enough data available to calculate measure,Not enough data available to calculate measure,87%,83%,44%,92%,0:40,95%,Not measured,Not measured,Not measured,1.63%,0:40,91.00%,6.5%,1.1%,98.50%,100.00%
H2323,FIDELIS SECURECARE OF MICHIGAN,Fidelis SecureCare,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,56%,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,6.1%,3.5%,99.20%,100.00%
H2354,HEALTHPLUS OF MICHIGAN,HealthPlus of Michigan,Local CCP,Not enough data available to calculate measure,76%,65%,100%,93%,82%,55%,90%,0:31,94%,Not measured,Not measured,Not measured,0.81%,0:31,78.00%,9.2%,1.8%,92.00%,100.00%
H2406,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,88%,Not enough data available to calculate measure,Not enough data available to calculate measure,100%,44%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,9.6%,3.2%,99.90%,100.00%
H2410,MEDICA HEALTH PLANS,Medica Holding Company,PFFS,Not enough data available to calculate measure,68%,Not enough data available to calculate measure,84%,87%,69%,Not enough data available to calculate measure,Not enough data available to calculate measure,0:40,95%,Not measured,Not measured,Not measured,0.89%,0:40,80.00%,4.9%,1.5%,99.50%,100.00%
H2411,FALLON COMMUNITY HEALTH PLAN,Fallon Community Health Plan,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,6.5%,0.0%,100.00%,100.00%
H2416,PRIMEWEST HEALTH SYSTEM,PrimeWest Health System,Local CCP,Not enough data available to calculate measure,82%,Not enough data available to calculate measure,Not enough data available to calculate measure,96%,52%,23%,93%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,12.4%,1.6%,99.90%,100.00%
H2417,ITASCA MEDICAL CARE,Itasca County Health & Human Services,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,11.3%,1.0%,99.30%,100.00%
H2419,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,Local CCP,Not enough data available to calculate measure,73%,Not enough data available to calculate measure,Not enough data available to calculate measure,94%,51%,9%,94%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,10.2%,1.6%,95.30%,100.00%
H2422,"HEALTHPARTNERS, INC.","HealthPartners, Inc.",Local CCP,Not enough data available to calculate measure,91%,66%,Not enough data available to calculate measure,95%,57%,40%,90%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,5.2%,1.3%,99.90%,100.00%
H2425,BLUE PLUS,Blue Cross and Blue Shield of Minnesota,Local CCP,53%,69%,66%,90%,95%,57%,18%,92%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.00%,50.00%,Not measured,Not measured,Not measured,Not measured,9.9%,2.6%,99.70%,100.00%
H2450,MEDICA INSURANCE COMPANY,Medica Holding Company,1876 Cost,69%,68%,63%,88%,80%,77%,40%,91%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.00%,100.00%,99.03%,Not measured,Not measured,Not measured,6.4%,1.7%,94.00%,100.00%
H2456,UCARE MINNESOTA,UCare Minnesota,Local CCP,57%,75%,55%,85%,93%,61%,28%,91%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,100.00%,Not measured,Not measured,Not measured,Not measured,7.8%,1.4%,99.70%,100.00%
H2457,METROPOLITAN HEALTH PLAN,Metropolitan Health Plan,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,51%,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,100.00%,Not measured,Not measured,Not measured,Not measured,2.7%,1.9%,99.60%,100.00%
H2458,MEDICA HEALTH PLANS,Medica Holding Company,Local CCP,62%,68%,61%,85%,94%,55%,17%,91%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,100.00%,Not measured,Not measured,Not measured,8.4%,1.9%,98.30%,100.00%
H2459,UCARE MINNESOTA,UCare Minnesota,Local CCP,67%,75%,65%,83%,91%,78%,39%,91%,1:00,99%,100.00%,75.00%,43.86%,0.55%,1:00,91.00%,5.5%,1.8%,98.90%,100.00%
H2461,BLUE CROSS BLUE SHIELD OF MINNESOTA,Blue Cross and Blue Shield of Minnesota,1876 Cost,70%,71%,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,78%,34%,90%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,100.00%
H2462,"GROUP HEALTH PLAN, INC.","HealthPartners, Inc.",1876 Cost,68%,83%,64%,92%,84%,82%,44%,92%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.00%,100.00%,100.00%,Not measured,Not measured,Not measured,5.4%,1.3%,99.40%,100.00%
H2486,"HUMANA MEDICAL PLAN OF UTAH, INC.",Humana Inc.,Local CCP,Not enough data available to calculate measure,97%,Not enough data available to calculate measure,Not enough data available to calculate measure,86%,Not enough data available to calculate measure,Not enough data available to calculate measure,90%,0:50,96%,100.00%,100.00%,100.00%,4.07%,0:50,96.00%,9.0%,1.0%,99.90%,92.31%
H2491,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.","WellCare Health Plans, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,55%,Plan too small to be measured,Not enough data available to calculate measure,0:30,86%,Not measured,Not measured,Not measured,1.69%,0:30,86.00%,5.3%,0.6%,99.80%,100.00%
H2542,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,55%,97%,56%,Not enough data available to calculate measure,92%,64%,Not enough data available to calculate measure,N/A,0:47,96%,100.00%,Not measured,95.12%,3.49%,0:47,96.00%,5.3%,0.6%,99.80%,92.31%
H2593,"CAREMORE HEALTH PLAN OF ARIZONA, INC.","WellPoint, Inc.",Local CCP,Not enough data available to calculate measure,90%,Not enough data available to calculate measure,Not enough data available to calculate measure,98%,Not enough data available to calculate measure,Not enough data available to calculate measure,88%,0:22,92%,Not measured,Not measured,85.71%,1.74%,0:22,80.00%,4.8%,2.0%,98.50%,100.00%
H2610,"ESSENCE HEALTHCARE, INC.",Essence Group Holdings Corporation,Local CCP,44%,96%,59%,85%,94%,75%,43%,91%,0:14,91%,Not measured,71.43%,100.00%,1.01%,0:14,83.00%,7.2%,1.5%,99.50%,100.00%
H2611,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care Inc.,Local CCP,71%,77%,43%,88%,91%,75%,31%,90%,0:22,93%,Not measured,100.00%,81.48%,1.22%,0:20,81.00%,8.0%,1.7%,99.20%,100.00%
H2613,HEALTHY ALLIANCE LIFE INSURANCE COMPANY,"WellPoint, Inc.",PFFS,Not enough data available to calculate measure,86%,Not enough data available to calculate measure,Not enough data available to calculate measure,81%,71%,22%,91%,0:10,86%,Not measured,Not measured,100.00%,0.84%,0:10,68.00%,7.5%,1.0%,100.00%,100.00%
H2643,L. A. CARE HEALTH PLAN,L.A. Care Health Plan,Local CCP,Not enough data available to calculate measure,87%,Not enough data available to calculate measure,Not enough data available to calculate measure,54%,39%,Not enough data available to calculate measure,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,5.2%,1.2%,99.90%,100.00%
H2649,"HUMANA HEALTH PLAN, INC.",Humana Inc.,Local CCP,58%,97%,54%,87%,92%,76%,44%,90%,0:49,96%,Not measured,Not measured,95.29%,3.77%,0:49,96.00%,6.9%,1.3%,99.40%,92.31%
H2654,"UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealth Group, Inc.",Local CCP,62%,88%,49%,83%,91%,74%,26%,91%,0:28,95%,100.00%,Not measured,100.00%,1.40%,0:28,86.00%,7.9%,1.3%,98.80%,100.00%
H2663,"GROUP HEALTH PLAN, INC.",Coventry Health Care Inc.,Local CCP,65%,80%,69%,86%,93%,81%,44%,88%,0:23,94%,100.00%,100.00%,100.00%,0.00%,0:30,84.00%,8.2%,1.0%,97.90%,100.00%
H2667,"GROUP HEALTH PLAN, INC.",Coventry Health Care Inc.,Local CCP,57%,77%,60%,84%,93%,79%,38%,92%,0:13,89%,100.00%,100.00%,97.30%,0.69%,0:13,81.00%,7.9%,1.8%,99.30%,100.00%
H2672,"COVENTRY HEALTH CARE OF KANSAS, INC.",Coventry Health Care Inc.,Local CCP,Not enough data available to calculate measure,99%,61%,86%,92%,70%,35%,90%,0:12,94%,Not measured,100.00%,100.00%,0.81%,0:31,84.00%,6.8%,1.4%,98.20%,100.00%
H2701,NEW WEST HEALTH SERVICES,New West Health Services,Local CCP,Not enough data available to calculate measure,55%,82%,Not enough data available to calculate measure,88%,81%,39%,90%,0:40,97%,100.00%,Not measured,86.67%,0.81%,0:40,88.00%,7.6%,1.6%,96.10%,100.00%
H2773,"QUALITY HEALTH PLANS OF NEW YORK, INC.","QHP Financial Group, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,0.0%,0.0%,100.00%,100.00%
H2775,AMERICAN PROGRESSIVE LIFE & HEALTH INSURANCE OF NY,Universal American Corp.,Local CCP,59%,95%,Not enough data available to calculate measure,Not enough data available to calculate measure,92%,Not enough data available to calculate measure,Not enough data available to calculate measure,92%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,100.00%,100.00%,Not measured,Not measured,Not measured,6.6%,1.5%,99.40%,100.00%
H2802,"UNITEDHEALTHCARE OF THE MIDLANDS, INC.","UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,88%,Not enough data available to calculate measure,Not enough data available to calculate measure,93%,66%,29%,90%,0:26,95%,Not measured,Not measured,Not measured,1.45%,0:26,86.00%,8.5%,1.8%,98.70%,100.00%
H2803,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,65%,88%,67%,79%,90%,70%,31%,91%,0:29,95%,Not measured,Not measured,100.00%,0.98%,0:31,86.00%,7.9%,1.8%,99.30%,100.00%
H2810,GROUP HEALTH OPTIONS,Group Health Cooperative,Local CCP,Not enough data available to calculate measure,51%,Not enough data available to calculate measure,Not enough data available to calculate measure,89%,Not enough data available to calculate measure,Not enough data available to calculate measure,89%,0:29,96%,Not measured,Not measured,88.89%,0.00%,0:29,85.00%,4.8%,1.1%,98.70%,100.00%
H2816,AMERICAN PROGRESSIVE LIFE & HEALTH INSUR CO OF NY,Universal American Corp.,PFFS,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,100.00%,Not measured,100.00%,Not measured,Not measured,Not measured,Not measured,Not measured,99.40%,100.00%
H2899,"ARCADIAN HEALTH PLAN OF NORTH CAROLINA, INC.",Arcadian Management Services Inc.,Local CCP,Not enough data available to calculate measure,80%,Not enough data available to calculate measure,Not enough data available to calculate measure,89%,56%,19%,89%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,100.00%,Not measured,Not measured,Not measured,6.6%,2.4%,100.00%,100.00%
H2905,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,69%,Not enough data available to calculate measure,Not enough data available to calculate measure,86%,76%,Not enough data available to calculate measure,90%,1:11,95%,Not measured,Not measured,Not measured,1.63%,1:11,86.00%,7.0%,0.4%,84.60%,100.00%
H2906,HOMETOWN HEALTH PLAN,Renown Health,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,0:24,95%,Not measured,Not measured,Not measured,1.63%,0:22,93.00%,6.6%,5.4%,100.00%,100.00%
H2926,PRIMEWEST HEALTH SYSTEM,PrimeWest Health System,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100.00%,Not measured,Not measured,Not measured,Not measured,Not measured,7.3%,0.0%,99.90%,100.00%
H2931,"HEALTH PLAN OF NEVADA, INC.","UnitedHealth Group, Inc.",Local CCP,64%,69%,47%,88%,90%,60%,42%,89%,1:11,95%,100.00%,Not measured,100.00%,1.37%,1:11,86.00%,8.3%,0.0%,83.40%,100.00%
H2944,HUMANA INSURANCE COMPANY,Humana Inc.,PFFS,57%,97%,56%,84%,89%,Not enough data available to calculate measure,31%,90%,0:49,96%,100.00%,100.00%,82.32%,3.77%,0:49,96.00%,7.2%,1.3%,99.00%,92.31%
H2949,"HUMANA HEALTH PLAN, INC.",Humana Inc.,Local CCP,12%,97%,53%,84%,95%,74%,56%,87%,0:51,96%,100.00%,Not measured,93.67%,3.87%,0:51,96.00%,6.1%,1.0%,99.90%,92.31%
H2960,HOMETOWN HEALTH PLAN,Renown Health,Local CCP,Not enough data available to calculate measure,76%,72%,Not enough data available to calculate measure,89%,75%,25%,91%,0:24,95%,Not measured,100.00%,0.00%,1.63%,0:22,93.00%,7.2%,1.5%,98.50%,100.00%
H2997,"ROCKY MOUNTAIN HOSPITAL AND MEDICAL SERVICES, INC.","WellPoint, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,77%,Plan too small to be measured,Not enough data available to calculate measure,0:32,86%,50.00%,100.00%,100.00%,0.00%,0:32,68.00%,5.1%,0.0%,99.90%,100.00%
H3028,"HUMANA HEALTH PLAN, INC.",Humana Inc.,Local CCP,Not enough data available to calculate measure,97%,Not enough data available to calculate measure,Not enough data available to calculate measure,87%,72%,Not enough data available to calculate measure,N/A,0:50,96%,Not measured,Not measured,Not measured,4.07%,0:50,96.00%,6.6%,1.5%,100.00%,92.31%
H3044,"NHP OF INDIANA, LLC","Neighborhood Health Providers, Inc.",Local CCP,Not enough data available to calculate measure,81%,Not enough data available to calculate measure,Not enough data available to calculate measure,95%,78%,Not enough data available to calculate measure,91%,0:28,83%,100.00%,Not measured,Not measured,0.00%,0:47,85.00%,8.0%,1.5%,99.10%,100.00%
H3107,"OXFORD HEALTH PLANS (NJ), INC.","UnitedHealth Group, Inc.",Local CCP,55%,88%,46%,83%,90%,69%,37%,89%,0:21,95%,100.00%,100.00%,100.00%,0.39%,0:21,86.00%,6.2%,1.1%,98.40%,100.00%
H3113,"OXFORD HEALTH PLANS (NJ), INC.","UnitedHealth Group, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,8.6%,9.8%,97.50%,100.00%
H3132,"AHF MCO OF FLORIDA, INC.",AIDS Healthcare Foundation,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,0.00%,Not measured,Not measured,Not measured,Not measured,Not measured,54.2%,3.1%,98.00%,100.00%
H3152,"AETNA HEALTH, INC.",Aetna Inc.,Local CCP,61%,78%,58%,86%,92%,73%,35%,90%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.00%,100.00%,100.00%,Not measured,Not measured,Not measured,6.5%,1.3%,99.80%,100.00%
H3154,"HORIZON HEALTHCARE OF NEW JERSEY, INC.","Horizon Blue Cross Blue Shield of New Jersey, Inc.",Local CCP,75%,83%,56%,86%,84%,70%,45%,91%,0:57,93%,100.00%,100.00%,98.36%,0.00%,0:38,79.00%,7.0%,1.3%,99.30%,100.00%
H3156,AMERIHEALTH HMO_INC,Independence Blue Cross,Local CCP,Not enough data available to calculate measure,86%,Not enough data available to calculate measure,Not enough data available to calculate measure,89%,70%,45%,91%,0:24,92%,Not measured,Not measured,Not measured,1.63%,0:24,89.00%,10.5%,0.4%,93.70%,92.31%
H3164,"AMERICHOICE OF NEW JERSEY, INC","UnitedHealth Group, Inc.",Local CCP,32%,89%,Not enough data available to calculate measure,Not enough data available to calculate measure,86%,55%,54%,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,5.9%,0.4%,99.90%,100.00%
H3204,PRESBYTERIAN HEALTH PLAN,Presbyterian Healthcare Services,Local CCP,58%,71%,60%,87%,91%,78%,26%,89%,0:46,90%,Not measured,Not measured,86.36%,1.00%,0:46,82.00%,6.1%,1.8%,99.40%,100.00%
H3206,"PRESBYTERIAN INSURANCE COMPANY, INC.",Presbyterian Healthcare Services,Local CCP,Not enough data available to calculate measure,66%,65%,Not enough data available to calculate measure,90%,78%,31%,91%,0:46,90%,Not measured,Not measured,79.31%,1.00%,0:46,82.00%,6.7%,1.7%,98.60%,100.00%
H3209,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,88%,Not enough data available to calculate measure,Not enough data available to calculate measure,88%,58%,Not enough data available to calculate measure,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,4.7%,1.5%,99.60%,100.00%
H3240,"AMERIGROUP NEW JERSEY, INC.",AMERIGROUP Corporation,Local CCP,17%,81%,Not enough data available to calculate measure,Not enough data available to calculate measure,86%,56%,Not enough data available to calculate measure,N/A,0:36,95%,Not measured,Not measured,Not measured,2.45%,0:36,84.00%,6.5%,0.8%,99.90%,100.00%
H3251,"LOVELACE HEALTH SYSTEM, INC.",Ardent Health Services.,Local CCP,57%,76%,51%,82%,88%,80%,44%,89%,2:53,91%,Not measured,Not measured,8.70%,1.01%,2:53,78.00%,6.0%,1.2%,98.80%,100.00%
H3305,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",Local CCP,80%,80%,64%,89%,94%,81%,40%,92%,0:12,96%,100.00%,Not measured,98.67%,0.50%,0:12,87.00%,7.0%,1.3%,99.50%,100.00%
H3307,"OXFORD HEALTH PLANS (NY), INC.","UnitedHealth Group, Inc.",Local CCP,65%,88%,47%,80%,93%,76%,53%,N/A,0:21,95%,69.23%,100.00%,100.00%,0.39%,0:21,86.00%,6.7%,1.3%,98.70%,100.00%
H3312,AETNA HEALTH INC.,Aetna Inc.,Local CCP,75%,78%,56%,80%,93%,78%,49%,90%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.00%,100.00%,83.33%,Not measured,Not measured,Not measured,7.6%,1.6%,99.90%,100.00%
H3314,HEALTH INSURANCE PLAN OF GREATER NEW YORK,"EmblemHealth, Inc.",1876 Cost,Not enough data available to calculate measure,89%,Not enough data available to calculate measure,Not enough data available to calculate measure,73%,Not enough data available to calculate measure,20%,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,100.00%
H3327,"TOUCHSTONE HEALTH HMO, INC.","Touchstone Health Partnership, Inc",Local CCP,17%,80%,54%,71%,89%,71%,43%,89%,1:12,93%,Not measured,Not measured,44.44%,2.45%,1:12,86.00%,6.5%,0.7%,94.80%,100.00%
H3328,NEW YORK STATE CATHOLIC HLTH PLAN INC,"The New York State Catholic Health Plan, Inc.",Local CCP,76%,40%,39%,Not enough data available to calculate measure,93%,67%,44%,89%,0:28,86%,Not measured,100.00%,39.13%,0.81%,0:28,74.00%,6.2%,1.5%,98.10%,100.00%
H3330,HEALTH INSURANCE PLAN OF GREATER NEW YORK,"EmblemHealth, Inc.",Local CCP,82%,89%,56%,90%,95%,74%,47%,N/A,0:47,97%,100.00%,100.00%,100.00%,16.67%,0:47,94.00%,5.2%,1.0%,99.50%,100.00%
H3333,AMERICAN PROGRESSIVE LIFE/HLTH INS.,Universal American Corp.,PFFS,51%,94%,54%,78%,91%,69%,29%,90%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,100.00%,100.00%,Not measured,Not measured,Not measured,7.4%,1.9%,97.30%,100.00%
H3335,"EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",Local CCP,71%,75%,60%,85%,92%,84%,41%,90%,0:55,99%,100.00%,Not measured,100.00%,0.00%,0:55,95.00%,7.6%,1.8%,99.10%,100.00%
H3337,"LIBERTY HEALTH ADVANTAGE, INC.","Liberty Health Advantage, Inc.",Local CCP,6%,67%,Not enough data available to calculate measure,Not enough data available to calculate measure,82%,57%,Not enough data available to calculate measure,N/A,0:57,88%,Not measured,Not measured,Not measured,0.00%,0:23,80.00%,3.7%,0.5%,98.30%,100.00%
H3342,"EMPIRE HEALTHCHOICE ASSURANCE, INC.","WellPoint, Inc.",Local CCP,79%,84%,Not enough data available to calculate measure,80%,91%,83%,65%,90%,1:04,86%,0.00%,100.00%,98.15%,0.50%,1:04,68.00%,6.3%,1.1%,99.50%,100.00%
H3344,INDEPENDENT HEALTH BENEFITS CORPORATION,"Independent Health Association, Inc.",Local CCP,Not enough data available to calculate measure,84%,Not enough data available to calculate measure,Not enough data available to calculate measure,94%,86%,46%,90%,0:24,95%,100.00%,Not measured,100.00%,0.00%,0:24,95.00%,9.3%,0.6%,95.10%,100.00%
H3346,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",Local CCP,Not enough data available to calculate measure,80%,Not enough data available to calculate measure,Not enough data available to calculate measure,93%,86%,Not enough data available to calculate measure,92%,0:12,96%,100.00%,100.00%,100.00%,0.50%,0:12,87.00%,8.7%,1.7%,99.70%,100.00%
H3347,"ELDERPLAN, INC.","Elderplan, Inc.",Local CCP,Not enough data available to calculate measure,80%,53%,85%,92%,66%,50%,89%,0:58,89%,Not measured,Not measured,96.15%,2.11%,0:58,84.00%,4.7%,1.1%,94.00%,100.00%
H3351,"EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",Local CCP,77%,76%,60%,80%,93%,82%,42%,91%,0:55,99%,100.00%,Not measured,100.00%,0.00%,0:55,95.00%,7.4%,1.5%,90.80%,100.00%
H3356,"EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",1876 Cost,Not enough data available to calculate measure,76%,Not enough data available to calculate measure,Not enough data available to calculate measure,47%,Not enough data available to calculate measure,32%,91%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,5.6%,3.1%,99.10%,100.00%
H3359,"MANAGED HEALTH, INC.","Healthfirst, Inc.",Local CCP,69%,79%,36%,78%,92%,62%,42%,N/A,0:26,93%,Not measured,100.00%,94.19%,0.00%,0:26,75.00%,3.8%,0.6%,99.50%,100.00%
H3361,"WELLCARE_OF NEW YORK, INC.","WellCare Health Plans, Inc.",Local CCP,55%,92%,35%,71%,90%,61%,43%,N/A,0:32,86%,Not measured,Not measured,100.00%,1.36%,0:32,86.00%,4.8%,1.0%,99.70%,100.00%
H3362,"INDEPENDENT HEALTH ASSOCIATION, INC.","Independent Health Association, Inc.",Local CCP,79%,84%,51%,89%,93%,78%,47%,90%,0:24,95%,50.00%,Not measured,100.00%,0.00%,0:24,95.00%,8.5%,0.4%,97.00%,100.00%
H3366,"TOUCHSTONE HEALTH HMO, INC.","Touchstone Health Partnership, Inc",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,4.0%,3.6%,78.80%,100.00%
H3370,"EMPIRE HEALTHCHOICE HMO, INC.","WellPoint, Inc.",Local CCP,74%,84%,49%,79%,92%,77%,59%,90%,1:14,86%,25.00%,100.00%,100.00%,1.22%,1:14,68.00%,7.6%,1.2%,99.50%,100.00%
H3379,"UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,88%,76%,Not enough data available to calculate measure,97%,63%,27%,89%,0:27,95%,Not measured,Not measured,100.00%,1.26%,0:27,86.00%,9.2%,1.3%,99.20%,100.00%
