CY2010 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,
  * See next worksheet for technical notes.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Part D,,,,,,,,,,Part C,,,,,,,,,,,,,,
,,,Access,,,Call Center,,,Complaints,Patient Safety,,Plan Finder,Call Center,,1/1/2008 - 12/31/2008,1/1/2008 - 12/31/2008,1/1/2008 - 12/31/2008,,,,,,,,,,
H2960,Senior Care Plus,HOMETOWN HEALTH PLAN,50.00%,Not measured,42.12%,0.00%,0.52%,94.92%,,0.95%,1.29%,100.00%,71.40%,90.00%,Not enough data available to calculate measure,45.71%,Not enough data available to calculate measure,,,,,,,,,,
H2961,"Health Plan of Nevada, Inc.","HEALTH PLAN OF NEVADA, INC.",90.00%,100.00%,93.37%,0.83%,0.00%,90.00%,,0.82%,0.05%,100.00%,74.80%,84.00%,40.14%,48.42%,86.15%,,,,,,,,,,
H2997,Anthem Blue Cross and Blue Shield,"ROCKY MOUNTAIN HOSPITAL AND MEDICAL SERVICES, INC.",Not measured,Not measured,Not measured,9.02%,4.89%,Not measured,,0.00%,0.00%,100.00%,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3028,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Not measured,Not measured,84.21%,2.77%,0.83%,88.06%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H3044,Welborn Health Plans,"NHP OF INDIANA, LLC",Not measured,Not measured,95.24%,6.45%,0.81%,88.24%,,0.00%,1.30%,100.00%,Plan too small to be measured,89.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3059,PHYSICIANS HEALTH CHOICE OF NEW MEXICO,PHYSICIANS HEALTH CHOICE OF NEW MEXICO,Not measured,Not measured,65.75%,0.00%,0.00%,97.59%,,0.00%,0.38%,100.00%,Plan too small to be measured,88.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3107,AARP MedicareComplete from SecureHorizons,"OXFORD HEALTH PLANS (NJ), INC.",Not measured,100.00%,66.80%,2.92%,1.88%,97.30%,,0.95%,1.44%,100.00%,76.48%,88.00%,49.37%,53.25%,74.14%,,,,,,,,,,
H3113,Evercare® Health Plans,"OXFORD HEALTH PLANS (NJ), INC.",Not measured,Not measured,56.39%,0.98%,1.88%,94.94%,,0.00%,2.04%,100.00%,Plan too small to be measured,87.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3132,Positive Healthcare Partners,"AIDS HEALTHCARE FOUNDATION MCO OF FLORIDA, INC.",Not measured,Not measured,93.62%,0.00%,0.00%,87.80%,,0.00%,0.00%,100.00%,Plan too small to be measured,76.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3152,Aetna Medicare,"AETNA HEALTH, INC.",100.00%,100.00%,79.07%,0.00%,0.00%,96.92%,,0.76%,1.66%,100.00%,78.06%,85.00%,59.79%,61.34%,80.67%,,,,,,,,,,
H3154,"Horizon Blue Cross Blue Shield of New Jersey, Inc.","HORIZON HEALTHCARE OF NEW JERSEY, INC.",100.00%,90.91%,34.72%,0.00%,0.80%,89.36%,,0.38%,1.46%,100.00%,74.51%,87.00%,72.03%,53.53%,89.17%,,,,,,,,,,
H3156,AmeriHealth 65,AMERIHEALTH HMO_INC,0.00%,Not measured,80.00%,2.31%,2.50%,96.00%,,1.35%,1.99%,100.00%,99.40%,90.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H3164,AmeriChoice Personal Care Plus,"AMERICHOICE OF NEW JERSEY, INC",Not measured,Not measured,92.59%,0.00%,0.58%,93.51%,,0.00%,1.49%,100.00%,75.74%,88.00%,58.33%,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H3204,Presbyterian Senior Care,PRESBYTERIAN HEALTH PLAN,100.00%,Not measured,81.59%,0.00%,3.38%,92.42%,,0.20%,1.40%,100.00%,76.86%,84.00%,75.00%,58.22%,83.33%,,,,,,,,,,
H3206,Presbyterian MediCare PPO,"PRESBYTERIAN INSURANCE COMPANY, INC.",Not measured,Not measured,77.78%,0.00%,3.38%,92.42%,,0.00%,0.84%,100.00%,72.09%,84.00%,Not enough data available to calculate measure,54.17%,Not enough data available to calculate measure,,,,,,,,,,
H3209,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,92.22%,0.90%,1.86%,94.25%,,0.00%,2.12%,100.00%,Plan too small to be measured,85.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3214,"First Medical Health Plan of Florida, Inc.",FIRST MEDICAL HEALTH PLAN (OF FLORIDA),Not measured,Not measured,96.81%,1.67%,0.79%,65.45%,,0.00%,0.00%,100.00%,Plan too small to be measured,76.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3240,AMERIGROUP Community Care,"AMERIGROUP NEW JERSEY, INC.",Not measured,Not measured,75.34%,0.88%,0.00%,92.31%,,4.91%,3.12%,100.00%,Plan too small to be measured,85.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3251,Lovelace Senior Plan,"LOVELACE HEALTH SYSTEM, INC.",0.00%,Not measured,57.14%,0.00%,1.06%,96.49%,,1.42%,2.32%,100.00%,82.35%,90.00%,71.43%,47.73%,85.29%,,,,,,,,,,
H3304,"Excellus Health Plan, Inc.","EXCELLUS HEALTH PLAN, INC.",,,,,,,,,,,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3305,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.",50.00%,100.00%,90.51%,0.00%,2.17%,94.32%,,0.28%,1.32%,95.00%,42.68%,86.00%,73.33%,58.65%,86.54%,,,,,,,,,,
H3307,SecureHorizons by UnitedHealthcare,"OXFORD HEALTH PLANS (NY), INC.",100.00%,75.00%,65.42%,1.82%,1.88%,96.08%,,0.52%,1.37%,100.00%,76.48%,88.00%,62.42%,49.82%,77.97%,,,,,,,,,,
H3312,Aetna Medicare,AETNA HEALTH INC.,100.00%,Not measured,81.92%,0.00%,0.00%,96.92%,,1.54%,1.36%,100.00%,78.06%,85.00%,Not enough data available to calculate measure,53.57%,78.05%,,,,,,,,,,
H3314,HIP Health Plan of Greater New York,HIP OF GREATER NEW YORK,,,,,,,,,,,Plan not required to report measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H3327,Touchstone Health,"TOUCHSTONE HEALTH HMO, INC.",Not measured,Not measured,90.88%,0.00%,2.17%,96.23%,,0.65%,1.94%,100.00%,Plan reported a Biased Rate,75.00%,22.22%,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H3328,Fidelis Care,NEW YORK STATE CATHOLIC HLTH PLAN INC,Not measured,Not measured,14.56%,0.00%,0.00%,100.00%,,0.42%,1.77%,100.00%,78.42%,92.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H3330,HIP Medicare HMO,HIP OF GREATER NEW YORK,54.55%,80.00%,72.23%,10.79%,1.02%,95.52%,,0.35%,1.21%,100.00%,85.72%,88.00%,80.21%,39.05%,84.89%,,,,,,,,,,
H3333,Universal American,AMERICAN PROGRESSIVE LIFE/HLTH INS.,80.00%,100.00%,79.24%,1.94%,0.85%,96.49%,,0.38%,1.32%,100.00%,Plan not required to report measure,91.00%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H3335,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.",100.00%,Not measured,71.50%,0.00%,2.01%,98.75%,,0.18%,3.32%,100.00%,53.16%,90.00%,58.82%,72.80%,89.42%,,,,,,,,,,
H3336,Neighborhood Health Providers,NEIGHBORHOOD HEALTH PROVIDERS LLC,Not measured,Not measured,24.37%,0.00%,0.80%,95.38%,,0.00%,1.47%,100.00%,80.23%,87.00%,65.79%,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H3337,Liberty Health Advantage,"LIBERTY HEALTH ADVANTAGE, INC.",Not measured,Not measured,77.04%,0.00%,0.00%,93.44%,,0.00%,1.64%,100.00%,70.00%,90.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H3338,National Health Plan Network Inc.,NATIONAL HEALTH PLAN NETWORK INC.,,,,,,,,,,,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3342,Empire BlueCross BlueShield,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",Not measured,50.00%,0.00%,1.69%,0.00%,Not measured,,0.60%,2.34%,100.00%,78.35%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H3344,Independent Health,INDEPENDENT HEALTH BENEFITS CORPORATION,Not measured,Not measured,73.15%,0.72%,0.00%,96.43%,,0.00%,0.25%,100.00%,71.80%,90.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H3346,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.",0.00%,100.00%,89.92%,0.00%,2.17%,94.32%,,0.00%,4.25%,100.00%,Plan too small to be measured,86.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3347,Elderplan,"ELDERPLAN, INC.",Not measured,Not measured,91.25%,2.31%,0.83%,93.90%,,0.00%,1.71%,100.00%,Plan too small to be measured,91.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3351,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.",75.00%,66.67%,71.47%,0.72%,2.01%,98.75%,,0.27%,2.59%,100.00%,56.49%,90.00%,77.60%,61.02%,75.09%,,,,,,,,,,
H3359,Healthfirst Medicare Plan,"MANAGED HEALTH, INC.",100.00%,50.00%,69.47%,17.86%,0.67%,84.09%,,0.16%,1.06%,100.00%,70.69%,77.00%,74.84%,34.15%,86.11%,,,,,,,,,,
H3361,WellCare,"WELLCARE_OF NEW YORK, INC.",100.00%,Not measured,Not measured,0.72%,0.00%,92.00%,,0.36%,1.13%,100.00%,86.57%,80.00%,40.89%,38.04%,73.96%,,,,,,,,,,
H3362,Independent Health,"INDEPENDENT HEALTH ASSOCIATION, INC.",80.00%,100.00%,81.22%,0.72%,0.00%,96.43%,,0.04%,0.31%,100.00%,71.80%,90.00%,74.68%,51.06%,85.93%,,,,,,,,,,
H3366,Touchstone Health,"TOUCHSTONE HEALTH HMO, INC.",Not measured,Not measured,Not measured,0.00%,2.17%,96.23%,,0.41%,0.59%,100.00%,Plan reported a Biased Rate,75.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,57.58%,,,,,,,,,,
H3370,Empire BlueCross BlueShield HMO,"EMPIRE HEALTHCHOICE HMO, INC.",81.82%,60.00%,0.00%,2.44%,0.00%,Not measured,,0.71%,1.72%,100.00%,76.22%,Not enough data available to calculate measure,72.22%,46.35%,79.79%,,,,,,,,,,
H3379,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF NEW YORK, INC.",Not measured,Not measured,72.69%,1.96%,1.88%,96.08%,,0.35%,1.17%,100.00%,70.16%,88.00%,Not enough data available to calculate measure,74.07%,100.00%,,,,,,,,,,
H3384,Senior Blue,HEALTHNOW NEW YORK INC,57.14%,66.67%,87.06%,0.78%,2.17%,94.24%,,0.25%,0.89%,100.00%,68.30%,89.00%,60.47%,50.98%,80.68%,,,,,,,,,,
H3387,AmeriChoice Personal Care Plus,"UNITEDHEALTHCARE OF NEW YORK, INC.",Not measured,Not measured,89.76%,1.67%,2.17%,91.01%,,0.00%,0.00%,100.00%,Plan too small to be measured,76.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3388,CDPHP Medicare Choices,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC.",100.00%,Not measured,62.25%,0.00%,0.00%,100.00%,,0.09%,1.49%,100.00%,82.80%,88.00%,79.55%,51.20%,91.49%,,,,,,,,,,
H3404,"PARTNERS National Health Plans, a BCBSNC company",PARTNERS NATIONAL HEALTH PLANS OF NC INC,100.00%,66.67%,81.62%,2.40%,2.17%,94.81%,,1.32%,1.91%,100.00%,77.28%,91.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H3405,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,Not measured,88.50%,2.56%,0.79%,96.67%,,0.00%,2.45%,100.00%,Plan too small to be measured,89.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3449,"PARTNERS National Health Plans, a BCBSNC company","PARTNERS NATIONAL HEALTH PLANS OF NC, INC.",Not measured,71.08%,79.28%,0.78%,2.17%,94.81%,,0.80%,1.10%,100.00%,71.00%,91.00%,81.72%,48.67%,88.59%,,,,,,,,,,
H3456,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF NORTH CAROLINA, INC.",Not measured,100.00%,69.04%,1.96%,1.88%,96.08%,,0.73%,1.81%,100.00%,70.16%,88.00%,48.40%,45.82%,82.14%,,,,,,,,,,
H3503,Heart of America Health Plan,HEART OF AMERICA HMO,,,,,,,,,,,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3518,"Blue Cross and Blue Shield of Florida, Inc.","BLUE CROSS BLUE SHIELD OF FLORIDA, INC.",Not measured,Not measured,66.13%,1.72%,1.69%,91.94%,,0.00%,0.98%,100.00%,Plan not required to report measure,85.00%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H3528,"ConnectiCare, Inc.","CONNECTICARE, INC.",100.00%,Not measured,37.95%,0.72%,6.12%,97.56%,,0.91%,1.52%,100.00%,70.27%,89.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H3533,Northeast Community Care,"ARCADIAN HEALTH PLAN OF NEW YORK, INC.",Not measured,Not measured,86.42%,1.04%,0.00%,92.86%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H3597,Aetna Medicare,AETNA HEALTH,Not measured,100.00%,81.99%,0.00%,0.00%,96.92%,,0.00%,0.00%,100.00%,Plan too small to be measured,85.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3619,Humana Insurance Company,HUMANA INSURANCE COMPANY,85.71%,100.00%,78.89%,2.56%,0.79%,96.67%,,1.22%,1.34%,100.00%,78.20%,89.00%,43.64%,Not enough data available to calculate measure,72.09%,,,,,,,,,,
H3620,PrimeTime Health Plan,MCKINLEY LIFE INSURANCE COMPANY,Not measured,Not measured,Not measured,0.00%,0.83%,97.47%,,0.00%,3.87%,95.00%,Plan too small to be measured,84.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3623,Aetna Medicare,"AETNA HEALTH,  INC.",100.00%,Not measured,84.80%,0.00%,0.00%,96.92%,,0.00%,0.79%,100.00%,78.06%,85.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H3653,Paramount Elite,"PARAMOUNT CARE, INC",Not measured,Not measured,66.54%,1.45%,0.00%,94.34%,,0.64%,1.20%,100.00%,64.83%,86.00%,64.58%,53.98%,80.95%,,,,,,,,,,
H3655,Anthem Blue Cross and Blue Shield,COMMUNITY INSURANCE COMPANY,44.44%,75.00%,Not measured,0.00%,5.71%,Not measured,,0.39%,1.19%,100.00%,75.04%,Not enough data available to calculate measure,60.23%,39.96%,77.67%,,,,,,,,,,
H3659,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF OHIO, INC.",100.00%,100.00%,73.91%,1.96%,1.88%,96.08%,,0.71%,1.42%,100.00%,70.16%,88.00%,45.26%,44.27%,89.21%,,,,,,,,,,
H3660,SummaCare,SUMMACARE INC.,Not measured,Not measured,95.18%,0.78%,6.05%,98.68%,,0.31%,1.50%,100.00%,74.20%,89.00%,73.33%,57.58%,89.02%,,,,,,,,,,
H3664,PrimeTime Health Plan,MCKINLEY LIFE INSURANCE COMPANY,Not measured,Not measured,98.45%,0.00%,0.83%,97.47%,,0.19%,1.56%,95.00%,90.59%,84.00%,77.14%,44.44%,82.05%,,,,,,,,,,
H3668,MediGold,"MT. CARMEL HEALTH PLAN, INC.",Not measured,Not measured,90.86%,0.73%,0.80%,97.87%,,0.64%,1.44%,100.00%,72.90%,89.00%,52.63%,37.77%,85.34%,,,,,,,,,,
H3672,The Health Plan,HOMETOWN HEALTH PLAN,100.00%,100.00%,88.60%,0.00%,2.17%,98.88%,,0.48%,0.81%,100.00%,97.21%,94.00%,Not enough data available to calculate measure,57.38%,76.92%,,,,,,,,,,
H3706,Universal American,"GLOBALHEALTH, INC.",100.00%,100.00%,59.18%,2.88%,1.07%,95.16%,,0.25%,1.65%,100.00%,86.82%,86.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H3708,Universal American,"SELECTCARE OF OKLAHOMA, INC.",Not measured,Not measured,56.25%,0.77%,1.07%,91.94%,,3.25%,0.98%,100.00%,Plan too small to be measured,88.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3709,HISC - Blue Cross And Blue Shield Of Oklahoma,HCSC INSURANCE SERVICES COMPANY,0.00%,0.00%,76.00%,7.30%,0.00%,93.88%,,1.88%,0.84%,100.00%,Plan elected not to report data,90.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H3749,SecureHorizons by UnitedHealthcare,"PACIFICARE OF OKLAHOMA, INC.",100.00%,100.00%,74.37%,2.15%,1.87%,95.81%,,1.00%,1.98%,100.00%,70.16%,86.00%,57.14%,53.06%,75.81%,,,,,,,,,,
H3755,CommunityCare Senior Health Plan,"COMMUNITY CARE HMO, INC",50.00%,Not measured,90.76%,7.30%,0.00%,98.46%,,0.70%,1.74%,100.00%,Plan elected not to report data,94.00%,78.18%,45.66%,76.67%,,,,,,,,,,
H3805,AARP MedicareComplete from SecureHorizons,"PACIFICARE OF OREGON, INC.",Not measured,Not measured,83.09%,1.75%,1.34%,93.67%,,0.35%,1.77%,100.00%,70.16%,87.00%,56.41%,60.19%,78.83%,,,,,,,,,,
H3810,CareSource,MID ROGUE INDEPENDENT PHYSICIAN ASSOCIATION,Not measured,Not measured,71.39%,0.00%,0.00%,96.59%,,0.43%,2.12%,100.00%,Plan reported a Biased Rate,90.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H3811,Samaritan Advantage Health Plan,"SAMARITAN HEALTH PLANS, INC.",Not measured,Not measured,54.91%,0.00%,0.00%,96.43%,,1.06%,1.59%,100.00%,64.73%,85.00%,Not enough data available to calculate measure,51.61%,Not enough data available to calculate measure,,,,,,,,,,
H3812,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,100.00%,Not measured,74.66%,1.52%,1.34%,93.71%,,1.33%,2.40%,100.00%,70.16%,87.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H3813,"ODS Health Plan, Inc.","ODS HEALTH PLAN, INC.",Not measured,Not measured,73.06%,2.44%,1.75%,90.00%,,0.00%,2.01%,95.00%,83.00%,82.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H3814,ATRIO MyAdvantage,ATRIO HEALTH PLANS,Not measured,Not measured,67.95%,0.00%,0.00%,95.00%,,1.02%,0.74%,100.00%,94.99%,90.00%,Not enough data available to calculate measure,62.50%,Not enough data available to calculate measure,,,,,,,,,,
H3815,Citizens Choice Healthplan,CITIZENS CHOICE HEALTHPLAN,100.00%,66.67%,89.77%,0.00%,0.00%,98.25%,,0.00%,1.39%,100.00%,82.70%,86.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H3817,Regence BlueCross BlueShield of Oregon,REGENCE BLUECROSS BLUESHIELD OF OR,85.71%,100.00%,70.01%,0.00%,0.00%,93.65%,,0.53%,2.16%,100.00%,72.07%,79.00%,52.17%,45.99%,78.70%,,,,,,,,,,
H3818,"FamilyCare Health Plans, Inc.","FAMILYCARE HEALTH PLANS, INC.",Not measured,Not measured,90.84%,1.67%,0.58%,89.80%,,0.72%,2.74%,100.00%,77.95%,88.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H3864,Clear One Health Plans,"CLEAR ONE HEALTH PLANS, INC.",Not measured,Not measured,Not measured,0.00%,0.00%,97.96%,,0.63%,1.58%,100.00%,Plan reported a Biased Rate,90.00%,Not enough data available to calculate measure,44.44%,Not enough data available to calculate measure,,,,,,,,,,
H3887,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,71.77%,1.89%,1.87%,95.81%,,0.00%,1.14%,100.00%,70.16%,86.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H3907,UPMC Health Plan,UNIVERSITY OF PITTSBURGH MEDICAL CENTER,75.00%,100.00%,89.64%,0.39%,0.00%,94.38%,,0.68%,1.16%,100.00%,84.17%,89.00%,72.14%,48.41%,79.31%,,,,,,,,,,
H3909,Personal Choice 65,QCC INSURANCE COMPANY,0.00%,0.00%,88.89%,0.72%,2.50%,94.32%,,0.79%,1.91%,100.00%,99.30%,88.00%,52.94%,36.76%,82.11%,,,,,,,,,,
H3912,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,69.65%,0.98%,1.88%,94.94%,,1.05%,1.22%,100.00%,70.16%,87.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H3916,Highmark Inc.,"HIGHMARK, INC.",80.00%,81.82%,91.44%,0.00%,2.17%,98.94%,,0.14%,1.15%,95.00%,51.30%,92.00%,71.36%,48.25%,80.75%,,,,,,,,,,
H3920,Unison Advantage,"UNISON HEALTH PLAN OF PENNSYLVANIA, INC.",Not measured,Not measured,58.57%,1.61%,1.72%,80.70%,,0.97%,0.60%,100.00%,74.70%,89.00%,41.85%,38.19%,86.67%,,,,,,,,,,
H3921,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,81.36%,3.60%,1.88%,95.24%,,0.00%,0.00%,100.00%,Plan too small to be measured,90.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3923,Capital Advantage Insurance Company,CAPITAL ADVANTAGE INSURANCE COMPANY,100.00%,100.00%,92.27%,0.72%,0.67%,95.12%,,0.19%,1.11%,100.00%,64.88%,92.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H3924,Geisinger Gold,GEISINGER INDEMNITY INSURANCE COMPANY,Not measured,Not measured,43.02%,0.00%,0.00%,92.41%,,0.00%,0.00%,100.00%,Plan too small to be measured,85.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3931,Aetna Medicare,AETNA HEALTH INC,100.00%,100.00%,79.24%,0.00%,0.00%,96.92%,,0.24%,1.35%,100.00%,78.06%,85.00%,55.41%,51.71%,86.06%,,,,,,,,,,
H3949,Bravo Health,BRAVO HEALTH PENNSYLVANIA INC.,0.00%,0.00%,70.99%,0.00%,2.17%,94.81%,,0.08%,0.59%,95.00%,88.80%,81.00%,50.38%,27.17%,70.97%,,,,,,,,,,
H3952,Keystone 65,"KEYSTONE HEALTH PLAN EAST, INC.",25.00%,83.33%,66.25%,1.87%,2.50%,94.32%,,0.33%,1.33%,100.00%,99.30%,88.00%,74.65%,27.35%,73.02%,,,,,,,,,,
H3954,Geisinger Gold,GEISINGER HEALTH PLAN,100.00%,100.00%,53.92%,0.00%,0.00%,92.41%,,0.10%,2.39%,100.00%,91.29%,85.00%,83.02%,59.18%,98.41%,,,,,,,,,,
H3957,"Keystone Health Plan West, Inc.","KEYSTONE HEALTH PLAN WEST, INC.",93.33%,93.75%,87.16%,0.36%,2.17%,98.78%,,0.18%,0.93%,95.00%,45.20%,87.00%,71.04%,50.32%,81.26%,,,,,,,,,,
H3959,HealthAmerica Advantra,"HEALTHAMERICA PENNSYLVANIA, INC.",50.00%,100.00%,46.40%,0.00%,2.17%,95.71%,,0.21%,1.06%,100.00%,73.70%,87.00%,85.44%,57.69%,82.68%,,,,,,,,,,
H3962,"Keystone Health Plan Central, Inc.","KEYSTONE HEALTH PLAN CENTRAL,INC.",Not measured,100.00%,91.54%,0.72%,0.67%,95.12%,,0.23%,1.06%,100.00%,65.77%,92.00%,84.78%,57.14%,89.90%,,,,,,,,,,
H3964,Senior Partners,"BRAVO HEALTH PENNSYLVANIA, INC.",100.00%,Not measured,76.63%,0.77%,2.17%,89.53%,,0.38%,0.39%,95.00%,88.80%,82.00%,59.93%,36.56%,83.33%,,,,,,,,,,
H4003,Medicare y Mucho Más,"MMM HEALTHCARE, INC.",24.24%,87.50%,67.86%,0.78%,1.14%,77.05%,,0.30%,1.10%,100.00%,77.36%,79.00%,61.96%,19.00%,70.75%,,,,,,,,,,
H4004,"Preferred Medicare Choice, Inc.","PREFERRED MEDICARE CHOICE, INC.",25.00%,60.00%,86.83%,0.75%,1.14%,90.57%,,0.27%,1.08%,100.00%,77.77%,72.00%,61.43%,23.53%,56.89%,,,,,,,,,,
H4005,"Triple-S Salud, Inc.","TRIPLE-S SALUD,  INC.",0.00%,0.00%,85.82%,5.84%,3.17%,86.36%,,0.10%,0.47%,95.00%,75.91%,74.00%,22.22%,18.97%,50.85%,,,,,,,,,,
H4006,MCS Classicare,MCS ADVANTAGE INC.,50.00%,100.00%,71.94%,34.56%,0.45%,74.19%,,0.30%,1.51%,100.00%,82.16%,68.00%,51.48%,20.59%,62.14%,,,,,,,,,,
H4007,Humana Health Plans Of Puerto Rico Inc,HUMANA HEALTH PLANS OF PUERTO RICO INC,Not measured,100.00%,60.32%,2.68%,0.80%,91.67%,,0.09%,0.97%,100.00%,81.56%,79.00%,66.13%,22.64%,55.32%,,,,,,,,,,
H4008,"Humana Insurance Of Puerto Rico, Inc","HUMANA INSURANCE OF PUERTO RICO, INC",Not measured,Not measured,Not measured,13.04%,0.80%,88.61%,,0.00%,0.00%,100.00%,Plan too small to be measured,81.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H4009,Salud Dorada con Medicare,"SDM HEALTHCARE MANAGEMENT, INC.",0.00%,Not measured,89.08%,4.26%,0.00%,76.79%,,0.33%,0.96%,47.00%,78.12%,72.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
