2012 Domain Star: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,Drug Plan Customer Service,"Member Complaints, Problems Getting Care, and Choosing to Leave the Plan",Member Experience with Drug Plan,Drug Pricing and Patient Safety,,,,,,,,,,,
H2419,Local CCP,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,South Country Health Alliance,Not enough data to calculate stars for this category,5,5,4,,,,,,,,,,,
H2422,Local CCP,"HEALTHPARTNERS, INC.",HealthPartners,"HealthPartners, Inc.",Not enough data to calculate stars for this category,5,4,3,,,,,,,,,,,
H2425,Local CCP,BLUE PLUS,Blue Plus,Blue Cross and Blue Shield of Minnesota,2,5,4,4,,,,,,,,,,,
H2450,1876 Cost,MEDICA INSURANCE COMPANY,Medica Insurance Company,Medica Holding Company,Not enough data to calculate stars for this category,5,4,4,,,,,,,,,,,
H2456,Local CCP,UCARE MINNESOTA,UCare,UCare Minnesota,Not enough data to calculate stars for this category,5,4,3,,,,,,,,,,,
H2457,Local CCP,METROPOLITAN HEALTH PLAN,Metropolitan Health Plan MSHO,Metropolitan Health Plan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4,,,,,,,,,,,
H2458,Local CCP,MEDICA HEALTH PLANS,Medica Health Plans,Medica Holding Company,Not enough data to calculate stars for this category,5,4,4,,,,,,,,,,,
H2459,Local CCP,UCARE MINNESOTA,UCare,UCare Minnesota,4,4,5,4,,,,,,,,,,,
H2462,1876 Cost,"GROUP HEALTH PLAN, INC.",HealthPartners,"HealthPartners, Inc.",Not enough data to calculate stars for this category,5,4,4,,,,,,,,,,,
H2486,Local CCP,"HUMANA MEDICAL PLAN OF UTAH, INC.","Humana Medical Plan of Utah, Inc.",Humana Inc.,4,3,4,4,,,,,,,,,,,
H2491,Local CCP,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.",'Ohana Health Plan,"WellCare Health Plans, Inc.",4,5,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H2542,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,3,4,3,,,,,,,,,,,
H2593,Local CCP,"CAREMORE HEALTH PLAN OF ARIZONA, INC.","CareMore Health Plan of Arizona, Inc.","WellPoint, Inc.",4,3,5,4,,,,,,,,,,,
H2610,Local CCP,"ESSENCE HEALTHCARE, INC.",Essence Healthcare,Essence Group Holdings Corporation,3,4,5,3,,,,,,,,,,,
H2611,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Health Care Inc.,3,2,3,3,,,,,,,,,,,
H2643,Local CCP,L. A. CARE HEALTH PLAN,L.A. Care Health Plan Medicare Advantage,L.A. Care Health Plan,5,4,3,3,,,,,,,,,,,
H2649,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,3,4,4,3,,,,,,,,,,,
H2654,Local CCP,"UNITEDHEALTHCARE OF THE MIDWEST, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,5,3,,,,,,,,,,,
H2663,Local CCP,"GROUP HEALTH PLAN, INC.","Group Health Plan, Inc.",Coventry Health Care Inc.,3,3,4,4,,,,,,,,,,,
H2667,Local CCP,"GROUP HEALTH PLAN, INC.",Coventry Health Care,Coventry Health Care Inc.,4,5,5,3,,,,,,,,,,,
H2672,Local CCP,"COVENTRY HEALTH CARE OF KANSAS, INC.",COVENTRY HEALTH CARE,Coventry Health Care Inc.,4,3,5,4,,,,,,,,,,,
H2701,Local CCP,NEW WEST HEALTH SERVICES,New West Health Services,New West Health Services,4,5,5,4,,,,,,,,,,,
H2773,Local CCP,"QUALITY HEALTH PLANS OF NEW YORK, INC.",QUALITY HEALTH PLANS,"QHP Financial Group, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
H2775,Local CCP,AMERICAN PROGRESSIVE LIFE & HEALTH INSURANCE OF NY,Universal American Corp.,Universal American Corp.,Not enough data to calculate stars for this category,1,3,4,,,,,,,,,,,
H2802,Local CCP,"UNITEDHEALTHCARE OF THE MIDLANDS, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,5,3,,,,,,,,,,,
H2803,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,4,3,,,,,,,,,,,
H2810,Local CCP,GROUP HEALTH OPTIONS,"Group Health Options, Inc.",Group Health Cooperative,4,3,3,3,,,,,,,,,,,
H2816,PFFS,AMERICAN PROGRESSIVE LIFE & HEALTH INSUR CO OF NY,Universal American Corp.,Universal American Corp.,Not enough data to calculate stars for this category,2,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
H2836,Local CCP,"ANTHEM HEALTH PLANS, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,
H2899,Local CCP,"ARCADIAN HEALTH PLAN OF NORTH CAROLINA, INC.",Southeast Community Care,Arcadian Management Services Inc.,Not enough data to calculate stars for this category,1,3,3,,,,,,,,,,,
H2905,Local CCP,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Sierra Health and Life Insurance Company, Inc.","UnitedHealth Group, Inc.",4,3,3,2,,,,,,,,,,,
H2906,Local CCP,HOMETOWN HEALTH PLAN,Senior Care Plus,Renown Health,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4,,,,,,,,,,,
H2926,Local CCP,PRIMEWEST HEALTH SYSTEM,PrimeWest Health,PrimeWest Health System,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4,,,,,,,,,,,
H2931,Local CCP,"HEALTH PLAN OF NEVADA, INC.","Health Plan of Nevada, Inc.","UnitedHealth Group, Inc.",4,3,4,3,,,,,,,,,,,
H2944,PFFS,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,2,3,3,,,,,,,,,,,
H2949,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,3,4,3,3,,,,,,,,,,,
H2960,Local CCP,HOMETOWN HEALTH PLAN,Senior Care Plus,Renown Health,3,4,5,4,,,,,,,,,,,
H2997,Local CCP,"ROCKY MOUNTAIN HOSPITAL AND MEDICAL SERVICES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",2,3,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H3028,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,4,3,2,3,,,,,,,,,,,
H3044,Local CCP,"NHP OF INDIANA, LLC",Welborn Health Plans,"Neighborhood Health Providers, Inc.",3,5,4,3,,,,,,,,,,,
H3107,Local CCP,"OXFORD HEALTH PLANS (NJ), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,2,3,3,,,,,,,,,,,
H3113,Local CCP,"OXFORD HEALTH PLANS (NJ), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H3132,Local CCP,"AHF MCO OF FLORIDA, INC.",Positive Healthcare Partners,AIDS Healthcare Foundation,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4,,,,,,,,,,,
H3144,Local CCP,"PERSONALCARE INSURANCE OF ILLINOIS, INC.",PersonalCare,Coventry Health Care Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,
H3152,Local CCP,"AETNA HEALTH, INC.",Aetna Medicare,Aetna Inc.,Not enough data to calculate stars for this category,3,3,4,,,,,,,,,,,
H3154,Local CCP,"HORIZON HEALTHCARE OF NEW JERSEY, INC.","Horizon Blue Cross Blue Shield of New Jersey, Inc.","Horizon Blue Cross Blue Shield of New Jersey, Inc.",3,4,2,4,,,,,,,,,,,
H3156,Local CCP,AMERIHEALTH HMO_INC,AmeriHealth 65,Independence Blue Cross,4,3,2,4,,,,,,,,,,,
H3164,Local CCP,"AMERICHOICE OF NEW JERSEY, INC",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",3,3,2,3,,,,,,,,,,,
H3204,Local CCP,PRESBYTERIAN HEALTH PLAN,Presbyterian Senior Care (HMO),Presbyterian Healthcare Services,4,5,4,4,,,,,,,,,,,
H3206,Local CCP,"PRESBYTERIAN INSURANCE COMPANY, INC.",Presbyterian MediCare PPO,Presbyterian Healthcare Services,4,4,3,3,,,,,,,,,,,
H3209,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,3,3,,,,,,,,,,,
H3240,Local CCP,"AMERIGROUP NEW JERSEY, INC.",Amerigroup Community Care,AMERIGROUP Corporation,4,2,2,2,,,,,,,,,,,
H3251,Local CCP,"LOVELACE HEALTH SYSTEM, INC.",Lovelace Medicare Plan,Ardent Health Services.,4,5,4,3,,,,,,,,,,,
H3283,Local CCP,MEDICA HEALTH PLANS,Medica Health Plans,Medica Holding Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,
H3305,Local CCP,"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,"MVP Health Care, Inc.",5,5,4,4,,,,,,,,,,,
H3307,Local CCP,"OXFORD HEALTH PLANS (NY), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,2,3,,,,,,,,,,,
H3312,Local CCP,AETNA HEALTH INC.,Aetna Medicare,Aetna Inc.,Not enough data to calculate stars for this category,3,2,4,,,,,,,,,,,
H3327,Local CCP,"TOUCHSTONE HEALTH HMO, INC.",Touchstone Health,"Touchstone Health Partnership, Inc",4,1,2,3,,,,,,,,,,,
H3328,Local CCP,NEW YORK STATE CATHOLIC HLTH PLAN INC,Fidelis Care,"The New York State Catholic Health Plan, Inc.",4,2,1,3,,,,,,,,,,,
H3330,Local CCP,HEALTH INSURANCE PLAN OF GREATER NEW YORK,EmblemHealth Medicare HMO,"EmblemHealth, Inc.",4,3,3,3,,,,,,,,,,,
H3333,PFFS,AMERICAN PROGRESSIVE LIFE/HLTH INS.,Universal American Corp.,Universal American Corp.,Not enough data to calculate stars for this category,1,2,4,,,,,,,,,,,
H3335,Local CCP,"EXCELLUS HEALTH PLAN, INC.","Excellus Health Plan, Inc","Lifetime Healthcare, Inc.",4,4,4,4,,,,,,,,,,,
H3337,Local CCP,"LIBERTY HEALTH ADVANTAGE, INC.",Liberty Health Advantage,"Liberty Health Advantage, Inc.",4,2,2,2,,,,,,,,,,,
H3342,Local CCP,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",Empire BlueCross BlueShield,"WellPoint, Inc.",2,3,3,3,,,,,,,,,,,
H3344,Local CCP,INDEPENDENT HEALTH BENEFITS CORPORATION,Independent Health,"Independent Health Association, Inc.",5,3,5,3,,,,,,,,,,,
H3346,Local CCP,"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,"MVP Health Care, Inc.",4,4,5,4,,,,,,,,,,,
H3347,Local CCP,"ELDERPLAN, INC.",Elderplan,"Elderplan, Inc.",4,4,3,3,,,,,,,,,,,
H3351,Local CCP,"EXCELLUS HEALTH PLAN, INC.","Excellus Health Plan, Inc","Lifetime Healthcare, Inc.",5,5,5,4,,,,,,,,,,,
H3356,1876 Cost,"EXCELLUS HEALTH PLAN, INC.",Excellus BlueCross BlueShield,"Lifetime Healthcare, Inc.",Not enough data to calculate stars for this category,5,5,4,,,,,,,,,,,
H3359,Local CCP,"MANAGED HEALTH, INC.",Healthfirst Medicare Plan,"Healthfirst, Inc.",3,4,2,3,,,,,,,,,,,
H3361,Local CCP,"WELLCARE_OF NEW YORK, INC.",WellCare,"WellCare Health Plans, Inc.",5,3,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H3362,Local CCP,"INDEPENDENT HEALTH ASSOCIATION, INC.",Independent Health,"Independent Health Association, Inc.",5,4,5,4,,,,,,,,,,,
H3370,Local CCP,"EMPIRE HEALTHCHOICE HMO, INC.",Empire BlueCross BlueShield,"WellPoint, Inc.",2,3,4,3,,,,,,,,,,,
H3379,Local CCP,"UNITEDHEALTHCARE OF NEW YORK, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,2,4,,,,,,,,,,,
H3384,Local CCP,HEALTHNOW NEW YORK INC,BlueCross BlueShield of WNY and BlueShield of NENY,HealthNow New York Inc.,4,5,4,4,,,,,,,,,,,
H3387,Local CCP,"UNITEDHEALTHCARE OF NEW YORK, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",4,2,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H3388,Local CCP,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC.",CDPHP Medicare Choices,"Capital District Physicians' Health Plan, Inc.",4,5,5,4,,,,,,,,,,,
H3404,Local CCP,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina,5,3,4,3,,,,,,,,,,,
H3405,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,3,4,3,,,,,,,,,,,
H3410,PFFS,STERLING LIFE INSURANCE COMPANY,WindsorSterling,Munich American Holding Corporation,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
H3421,PFFS,"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.",America's 1st Choice Health Plans,"America's 1st Choice Health Plans, Inc.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
H3449,Local CCP,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina,4,5,5,3,,,,,,,,,,,
H3456,Local CCP,"UNITEDHEALTHCARE OF NORTH CAROLINA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,4,3,,,,,,,,,,,
H3528,Local CCP,"CONNECTICARE, INC.","ConnectiCare, Inc.","EmblemHealth, Inc.",3,3,3,4,,,,,,,,,,,
H3533,Local CCP,"ARCADIAN HEALTH PLAN OF NEW YORK, INC.",Northeast Community Care,Arcadian Management Services Inc.,Not enough data to calculate stars for this category,3,2,3,,,,,,,,,,,
H3597,Local CCP,AETNA HEALTH,Aetna Medicare,Aetna Inc.,Not enough data to calculate stars for this category,3,3,4,,,,,,,,,,,
H3619,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,2,4,3,,,,,,,,,,,
H3620,Local CCP,MCKINLEY LIFE INSURANCE COMPANY,PrimeTime Health Plan,Aultman Health Foundation,4,5,4,3,,,,,,,,,,,
H3623,Local CCP,"AETNA HEALTH,  INC.",Aetna Medicare,Aetna Inc.,Not enough data to calculate stars for this category,3,2,3,,,,,,,,,,,
H3653,Local CCP,"PARAMOUNT CARE, INC",Paramount Elite,Promedica Health System,3,5,3,3,,,,,,,,,,,
H3655,Local CCP,COMMUNITY INSURANCE COMPANY,Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",2,4,4,3,,,,,,,,,,,
H3659,Local CCP,"UNITEDHEALTHCARE OF OHIO, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,4,2,,,,,,,,,,,
H3660,Local CCP,SUMMACARE INC.,SummaCare Secure,Summa Health System,4,5,5,4,,,,,,,,,,,
H3664,Local CCP,MCKINLEY LIFE INSURANCE COMPANY,PrimeTime Health Plan,Aultman Health Foundation,4,5,4,3,,,,,,,,,,,
H3668,Local CCP,"MT. CARMEL HEALTH PLAN, INC.",MediGold,Trinity Health,5,5,5,3,,,,,,,,,,,
H3672,Local CCP,HOMETOWN HEALTH PLAN,The Health Plan,Health Plan of the Upper Ohio Valley,5,5,4,3,,,,,,,,,,,
H3706,Local CCP,"TODAYS OPTIONS OF OKLAHOMA, INC.",Universal American Corp.,Universal American Corp.,Not enough data to calculate stars for this category,2,4,3,,,,,,,,,,,
H3708,Local CCP,"SELECTCARE OF OKLAHOMA, INC.",Universal American Corp.,Universal American Corp.,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H3749,Local CCP,"UNITEDHEALTHCARE OF OKLAHOMA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,4,3,,,,,,,,,,,
H3755,Local CCP,"COMMUNITY CARE HMO, INC",CommunityCare Senior Health Plan (HMO),"CommunityCare Managed Healthcare Plans of OK, Inc.",4,4,5,3,,,,,,,,,,,
H3805,Local CCP,"UNITEDHEALTHCARE OF OREGON, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,5,4,,,,,,,,,,,
H3810,Local CCP,MID ROGUE INDEPENDENT PHYSICIAN ASSOCIATION,CareSource,Mid Rogue Community Health Plan,4,4,5,4,,,,,,,,,,,
H3811,Local CCP,"SAMARITAN HEALTH PLANS, INC.",Samaritan Advantage Health Plan,Samaritan Health Services,3,5,4,4,,,,,,,,,,,
H3812,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,3,4,,,,,,,,,,,
H3813,Local CCP,"ODS HEALTH PLAN, INC.","ODS Health Plan, Inc.","Health Services Group, Inc.",3,5,4,4,,,,,,,,,,,
H3814,Local CCP,ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Health Plans,3,5,5,3,,,,,,,,,,,
H3815,Local CCP,CITIZENS CHOICE HEALTHPLAN,Citizens Choice Healthplan,Honored Citizens Choice Health Plan,3,3,3,3,,,,,,,,,,,
H3817,Local CCP,REGENCE BLUECROSS BLUESHIELD OF OR,Regence BlueCross BlueShield of Oregon,The Regence Group,3,4,4,4,,,,,,,,,,,
H3818,Local CCP,"FAMILYCARE HEALTH PLANS, INC.","FamilyCare Health Plans, Inc.",FamilyCare Incorporated,3,3,2,4,,,,,,,,,,,
H3832,Local CCP,HAWAII MEDICAL SERVICE ASSOCIATION,Akamai Advantage by HMSA,Hawaii Medical Service Association,2,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
H3864,Local CCP,"PACIFICSOURCE COMMUNITY HEALTH PLANS, INC.",PacificSource Medicare,PacificSource Health Plans,3,5,4,4,,,,,,,,,,,
H3887,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,2,4,3,,,,,,,,,,,
H3907,Local CCP,UNIVERSITY OF PITTSBURGH MEDICAL CENTER,UPMC Health Plan,University of Pittsburgh Medical Center,5,5,4,4,,,,,,,,,,,
H3909,Local CCP,QCC INSURANCE COMPANY,Personal Choice 65,Independence Blue Cross,3,4,2,4,,,,,,,,,,,
H3912,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,4,3,,,,,,,,,,,
H3916,Local CCP,"HIGHMARK, INC.",Highmark Inc.,Highmark Inc.,4,4,3,4,,,,,,,,,,,
H3920,Local CCP,"UNITEDHEALTHCARE OF PENNSYLVANIA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,2,3,,,,,,,,,,,
H3921,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,2,3,3,,,,,,,,,,,
H3923,Local CCP,CAPITAL ADVANTAGE INSURANCE COMPANY,Capital Advantage Insurance Company,Capital BlueCross,5,4,4,4,,,,,,,,,,,
H3924,Local CCP,GEISINGER INDEMNITY INSURANCE COMPANY,Geisinger Gold,Geisinger Health System,4,3,4,4,,,,,,,,,,,
H3931,Local CCP,AETNA HEALTH INC,Aetna Medicare,Aetna Inc.,Not enough data to calculate stars for this category,3,3,4,,,,,,,,,,,
H3949,Local CCP,BRAVO HEALTH PENNSYLVANIA INC.,Bravo Health,"HealthSpring, Inc.",3,3,3,3,,,,,,,,,,,
H3952,Local CCP,"KEYSTONE HEALTH PLAN EAST, INC.",Keystone 65,Independence Blue Cross,3,4,3,4,,,,,,,,,,,
H3954,Local CCP,GEISINGER HEALTH PLAN,Geisinger Gold,Geisinger Health System,4,4,5,4,,,,,,,,,,,
H3957,Local CCP,"KEYSTONE HEALTH PLAN WEST, INC.","Keystone Health Plan West, Inc.",Highmark Inc.,4,4,4,3,,,,,,,,,,,
H3959,Local CCP,"HEALTHAMERICA PENNSYLVANIA, INC.",HealthAmerica,Coventry Health Care Inc.,4,3,4,3,,,,,,,,,,,
H3962,Local CCP,"KEYSTONE HEALTH PLAN CENTRAL,INC.","Keystone Health Plan Central, Inc.",Capital BlueCross,4,4,4,4,,,,,,,,,,,
H3964,Local CCP,"BRAVO HEALTH PENNSYLVANIA, INC.",Bravo Health,"HealthSpring, Inc.",3,4,2,3,,,,,,,,,,,
H4003,Local CCP,"MMM HEALTHCARE, INC.",Medicare y Mucho Más,"Aveta, LLC.",2,3,3,2,,,,,,,,,,,
H4004,Local CCP,"PREFERRED MEDICARE CHOICE, INC.","Preferred Medicare Choice, Inc.","Aveta, LLC.",2,3,3,2,,,,,,,,,,,
H4005,Local CCP,"TRIPLE-S SALUD,  INC.","Triple-S Salud, Inc.",Triple-S Management Corporation,3,3,2,2,,,,,,,,,,,
H4006,Local CCP,MCS ADVANTAGE INC.,MCS Classicare,"Medical Card System, Inc.",3,3,2,2,,,,,,,,,,,
H4007,Local CCP,"HUMANA HEALTH PLANS OF PUERTO RICO, INC.","HUMANA HEALTH PLANS OF PUERTO RICO, INC.",Humana Inc.,4,2,4,2,,,,,,,,,,,
H4011,Local CCP,"FIRST MEDICAL HEALTH PLAN, INC.","First Medical Health Plan, Inc.","First Medical Health Plan, Inc.",3,4,4,2,,,,,,,,,,,
H4012,Local CCP,"TRIPLE-S SALUD, INC.","Triple-S Salud, Inc.",Triple-S Management Corporation,3,2,3,2,,,,,,,,,,,
H4036,Local CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",2,3,3,4,,,,,,,,,,,
H4102,Local CCP,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,4,4,,,,,,,,,,,
H4123,Local CCP,MERCYCARE HMO INC,MercyCare Health Plans,Mercy Health Alliance,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,
H4125,Local CCP,ARCADIAN HEALTH PLAN,Arcadian Health Plan,Arcadian Management Services Inc.,Not enough data to calculate stars for this category,3,3,3,,,,,,,,,,,
H4141,Local CCP,"HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC.","Humana Employers Health Plan of Georgia, Inc.",Humana Inc.,4,3,3,3,,,,,,,,,,,
H4152,Local CCP,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND,Blue Cross & Blue Shield of Rhode Island,Blue Cross & Blue Shield of Rhode Island,3,4,3,3,,,,,,,,,,,
H4155,Local CCP,PUBLIC HEALTH TRUST OF MIAMI-DADE COUNTY,JMH Health Plan,Public Health Trust of Miami-Dade County,3,2,3,3,,,,,,,,,,,
H4199,Local CCP,"FLORIDA HEALTHCARE PLUS, INC.",FLORIDA HEALTHCARE PLUS,"Florida Healthcare Plus, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,
H4209,Local CCP,BLUE CROSS AND BLUE SHIELD OF SOUTH CAROLINA,Blue Cross Blue Shield of South Carolina,BlueCross BlueShield of South Carolina (BCBSSC),2,3,3,2,,,,,,,,,,,
H4211,Local CCP,"AMERIGROUP GEORGIA MANAGED CARE COMPANY, INC.",Amerigroup Community Care,AMERIGROUP Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,
H4213,PFFS,USABLE MUTUAL INSURANCE COMPANY,ARKANSAS BLUE CROSS AND BLUE SHIELD,USAble Mutual Insurance Company,5,4,3,3,,,,,,,,,,,
H4268,PFFS,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.",America's 1st Choice Insurance Company of NC,"America¿s 1st Choice Insurance Company of NC, Inc.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
H4270,Local CCP,"UCARE WISCONSIN, INC.",UCare,UCare Minnesota,4,4,4,4,,,,,,,,,,,
H4279,Local CCP,"UPMC FOR YOU, INC",UPMC for You Advantage,University of Pittsburgh Medical Center,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,
H4346,Local CCP,CAREMORE HEALTH PLAN OF NEVADA,CareMore Health Plan of Nevada,"WellPoint, Inc.",4,3,4,3,,,,,,,,,,,
H4406,Local CCP,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,2,3,2,,,,,,,,,,,
H4407,Local CCP,"HEALTHSPRING OF TENNESSEE, INC.",HealthSpring,"HealthSpring, Inc.",4,3,5,1,,,,,,,,,,,
H4408,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,2,4,3,,,,,,,,,,,
H4454,Local CCP,"HEALTHSPRING OF TENNESSEE, INC.",HealthSpring,"HealthSpring, Inc.",4,4,4,3,,,,,,,,,,,
H4456,Local CCP,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,4,3,,,,,,,,,,,
H4461,Local CCP,"CARITEN HEALTH PLAN, INC.","Cariten Health Plan, Inc.",Humana Inc.,3,4,4,3,,,,,,,,,,,
H4506,Local CCP,"SELECTCARE OF TEXAS, L.L.C.",Universal American Corp.,Universal American Corp.,Not enough data to calculate stars for this category,3,4,3,,,,,,,,,,,
H4510,Local CCP,"HUMANA HEALTH PLAN OF TEXAS, INC.","HUMANA HEALTH PLAN OF TEXAS, INC.",Humana Inc.,4,4,4,2,,,,,,,,,,,
H4513,Local CCP,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",HealthSpring,"HealthSpring, Inc.",3,3,5,2,,,,,,,,,,,
H4514,Local CCP,"EVERCARE OF TEXAS, LLC",UnitedHealthcare,"UnitedHealth Group, Inc.",4,2,4,2,,,,,,,,,,,
H4520,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,2,3,2,,,,,,,,,,,
H4522,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,4,3,,,,,,,,,,,
H4523,Local CCP,AETNA HEALTH INC.,Aetna Medicare,Aetna Inc.,Not enough data to calculate stars for this category,2,3,3,,,,,,,,,,,
H4524,Local CCP,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Inc.,Not enough data to calculate stars for this category,2,2,3,,,,,,,,,,,
H4525,Local CCP,"SHA, L.L.C",FirstCare Advantage,Covenant Health System - Hendrick Health System,4,5,4,2,,,,,,,,,,,
H4527,Local CCP,PHYSICIANS HEALTH CHOICE OF TEXAS LLC,PHYSICIANS HEALTH CHOICE,"UnitedHealth Group, Inc.",4,4,3,3,,,,,,,,,,,
