2012 Measure Data: Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,
,,,,,Drug Plan Customer Service,,,,,"Member Complaints, Problems Getting Care, and Choosing to Leave the Plan",,,Member Experience with Drug Plan,,,Drug pricing and patient safety,,,,,
H1365,Local CCP,"MARTIN'S POINT GENERATIONS, LLC",Martin's Point Generations Advantage,"Martin's Point Health Care, Inc.",0:34,86.7,Not enough data available to calculate measure,No appeals required review,94.89,0.13,100,Not enough data available to calculate measure,No data available,No data available,No data available,99.4,10.5%,90.4%,75.2%,82.0%,79.2%
H1406,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,0:31,84.1,0.7,Not enough data available to calculate measure,68.14,0.49,80,5%,87%,86%,90%,96.0,13.2%,85.9%,72.1%,72.2%,65.6%
H1415,Local CCP,"HEALTHSPRING OF TENNESSEE, INC.","HealthSpring, Inc.","HealthSpring, Inc.",0:24,76.6,1.8,Not enough data available to calculate measure,93.82,0.42,44,11%,73%,85%,90%,Not enough data available to calculate measure,11.5%,87.5%,67.8%,64.5%,56.6%
H1416,Local CCP,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",WellCare,"WellCare Health Plans, Inc.",0:19,86.1,0.9,No appeals required review,94.81,0.45,80,14%,75%,84%,90%,98.9,11.2%,89.7%,64.7%,64.3%,58.6%
H1417,Local CCP,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,Health Alliance Medical Plans,0:49,73.8,0.0,No appeals required review,98.17,0.33,100,5%,91%,89%,95%,97.0,22.8%,83.9%,79.1%,80.3%,75.5%
H1418,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:31,84.1,0.0,Not enough data available to calculate measure,85.26,0.90,60,19%,80%,83%,90%,96.3,15.8%,84.4%,74.8%,75.9%,69.9%
H1419,Local CCP,"AETNA HEALTH,  INC.",Aetna Medicare,Aetna Inc.,No data available,No data available,46.1,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,0,18%,No data available,No data available,No data available,97.9,4.0%,86.7%,72.9%,61.8%,65.6%
H1463,Local CCP,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,Health Alliance Medical Plans,0:49,73.8,0.0,No appeals required review,99.20,0.05,80,3%,92%,90%,96%,96.9,25.6%,84.3%,81.7%,82.6%,78.9%
H1468,Local CCP,"HUMANA BENEFIT PLAN OF ILLINOIS, INC.","Humana Benefit Plan of Illinois, Inc.",Humana Inc.,0:31,84.1,0.0,No appeals required review,66.62,0.32,100,6%,54%,86%,92%,95.9,24.3%,84.5%,81.1%,80.8%,79.2%
H1509,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,77.4,0.5,90.0%,95.74,0.18,40,9%,82%,84%,92%,98.1,22.1%,82.6%,71.2%,72.7%,69.9%
H1510,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:34,84.1,0.6,Not enough data available to calculate measure,82.37,0.28,100,11%,86%,86%,91%,96.5,22.4%,83.3%,78.1%,75.6%,73.2%
H1517,Local CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",0:57,69.1,25.2,Not enough data available to calculate measure,83.46,0.99,60,21%,83%,85%,91%,96.1,17.5%,85.0%,73.0%,69.6%,66.8%
H1537,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1595,Local CCP,HEALTHPLUS INSURANCE COMPANY,HealthPlus,HealthPlus of Michigan,0:42,86.0,Not enough data available to calculate measure,No appeals required review,94.38,Not enough data available to calculate measure,100,Not enough data available to calculate measure,No data available,No data available,No data available,96.5,25.0%,85.6%,76.0%,79.9%,74.4%
H1607,Local CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",0:57,69.1,10.7,No appeals required review,86.24,0.79,60,15%,84%,82%,93%,96.1,20.9%,82.7%,70.7%,73.1%,67.8%
H1608,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Health Care Inc.,0:18,84.9,0.0,Not enough data available to calculate measure,96.28,0.16,40,15%,83%,84%,93%,98.6,15.2%,80.7%,77.6%,76.8%,71.5%
H1609,Local CCP,"COVENTRY HEALTH CARE OF IOWA, INC.",Coventry Health Care,Coventry Health Care Inc.,0:18,84.9,2.2,Not enough data available to calculate measure,97.37,0.24,40,23%,78%,84%,92%,98.9,16.1%,81.2%,78.4%,77.9%,74.4%
H1659,Local CCP,"PIEDMONT COMMUNITY HEALTHCARE, INC.",Piedmont Medicare Advantage,Piedmont Community Health Plan,0:36,72.6,No data available,No appeals required review,99.44,Not enough data available to calculate measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H1681,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:31,84.1,0.0,No appeals required review,87.62,0.99,100,17%,85%,85%,90%,96.4,30.8%,86.2%,68.7%,71.1%,64.9%
H1716,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:31,84.1,1.0,Not enough data available to calculate measure,86.99,0.54,80,22%,82%,84%,91%,96.3,21.5%,84.2%,76.4%,75.2%,70.9%
H1717,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:02,77.4,0.0,Not enough data available to calculate measure,96.87,0.74,60,13%,76%,83%,93%,97.9,22.5%,84.4%,66.7%,67.9%,64.9%
H1777,Local CCP,"CATHOLIC SPECIAL NEEDS PLAN, LLC","ArchCare Advantage,HMO SNP","Catholic Health Care System, Inc.",0:34,No data available,Not enough data available to calculate measure,No appeals required review,95.61,0.00,80,6%,No data available,No data available,No data available,90.6,14.0%,70.5%,83.5%,71.6%,69.7%
H1804,PFFS,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:31,84.1,2.8,Not enough data available to calculate measure,84.62,Not enough data available to calculate measure,100,0%,No data available,No data available,No data available,96.5,20.2%,83.4%,81.4%,79.7%,77.7%
H1806,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:34,84.1,0.0,Not enough data available to calculate measure,86.59,0.42,100,13%,81%,84%,90%,96.6,24.6%,83.5%,73.4%,72.8%,69.9%
H1837,Local CCP,"ESSENCE HEALTHCARE, INC.",Essence Healthcare,Essence Group Holdings Corporation,0:44,82.9,0.7,Not enough data available to calculate measure,94.06,0.53,80,24%,85%,82%,93%,89.8,15.8%,88.4%,79.8%,78.8%,76.6%
H1846,Local CCP,MOUNT CARMEL HEALTH INSURANCE COMPANY,MediGold,Trinity Health,0:34,86.8,Not enough data available to calculate measure,No appeals required review,97.01,Not enough data available to calculate measure,100,Not enough data available to calculate measure,No data available,No data available,No data available,97.6,24.4%,81.1%,69.3%,74.9%,69.7%
H1849,Local CCP,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",0:57,69.1,6.9,Not enough data available to calculate measure,75.81,0.45,60,4%,79%,86%,92%,96.5,24.3%,78.9%,70.5%,73.5%,70.7%
H1903,Local CCP,"WELLCARE OF LOUISIANA, INC.",WellCare,"WellCare Health Plans, Inc.",0:19,86.1,3.2,No appeals required review,94.85,0.79,80,17%,81%,83%,89%,98.8,29.1%,85.3%,63.4%,64.9%,61.4%
H1906,PFFS,"HUMANA HEALTH BENEFIT PLAN OF LA, INC.","Humana Health Benefit Plan of LA, Inc.",Humana Inc.,0:31,84.1,0.0,No appeals required review,78.77,0.52,80,11%,87%,87%,93%,96.2,31.0%,81.8%,74.7%,71.5%,69.0%
H1944,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,77.4,0.0,No appeals required review,89.61,0.74,40,15%,82%,84%,92%,98.4,8.5%,88.4%,82.0%,80.7%,73.9%
H1951,Local CCP,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","Humana Health Benefit Plan of Louisiana, Inc.",Humana Inc.,0:31,84.1,0.7,Not enough data available to calculate measure,70.59,0.28,100,3%,85%,85%,92%,96.1,31.4%,84.5%,73.5%,71.7%,67.3%
H1961,Local CCP,"PEOPLES HEALTH, INC.",Peoples Health,"New Orleans Reg Physician Hosp Organization, Inc.",0:39,92.2,0.7,Not enough data available to calculate measure,95.63,0.20,80,4%,85%,89%,93%,97.2,32.1%,83.6%,73.2%,71.4%,68.3%
H2001,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,77.4,0.0,Not enough data available to calculate measure,96.50,0.54,60,8%,84%,83%,94%,97.8,11.1%,80.9%,78.1%,77.9%,76.4%
H2012,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,0:31,84.5,0.0,Not enough data available to calculate measure,69.67,0.80,100,15%,51%,86%,93%,96.6,22.8%,85.6%,76.0%,72.8%,70.1%
H2029,Local CCP,"HUMANA INSURANCE OF PUERTO RICO, INC.","Humana Insurance of Puerto Rico, Inc.",Humana Inc.,0:34,84.8,0.0,No appeals required review,55.37,0.75,80,21%,75%,83%,87%,96.9,26.5%,89.3%,54.0%,53.8%,35.6%
H2034,Local CCP,"COMMUNITY CARE HEALTH PLAN, INC.",Community Care,"Community Care, Inc.",0:02,No data available,Not enough data available to calculate measure,No appeals required review,87.50,Not enough data available to calculate measure,100,Not enough data available to calculate measure,No data available,No data available,No data available,110.6,24.8%,76.2%,64.9%,83.5%,77.3%
H2108,Local CCP,BRAVO HEALTH MID- ATLANTIC INC.,Bravo Health,"HealthSpring, Inc.",0:19,83.2,9.6,Not enough data available to calculate measure,87.33,0.80,39,11%,81%,80%,88%,98.7,14.9%,84.4%,67.2%,63.9%,60.8%
H2111,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,No data available,0.0,No appeals required review,94.61,0.57,60,9%,No data available,No data available,No data available,98.0,21.5%,74.3%,71.5%,72.9%,71.7%
H2112,Local CCP,"AETNA HEALTH, INC.",Aetna Medicare,Aetna Inc.,No data available,No data available,25.6,Not enough data available to calculate measure,Not enough data available to calculate measure,0.49,0,12%,79%,76%,87%,98.4,9.3%,86.1%,74.3%,73.3%,68.6%
H2150,1876 Cost,KAISER FNDN HP OF THE MID-ATLANTIC STS,Kaiser Permanente Medicare Plus,"Kaiser Foundation Health Plan, Inc.",Not required to report,Not required to report,0.5,Not enough data available to calculate measure,46.94,0.26,100,2%,78%,89%,94%,97.8,11.7%,91.7%,78.8%,78.8%,74.2%
H2161,Local CCP,"UPPER PENINSULA HEALTH PLAN, INC.",Upper Peninsula Health Plan Plus (HMO SNP),"UPPER PENINSULA HEALTH PLAN, INC.",1:54,No data available,No data available,No appeals required review,25.71,Not enough data available to calculate measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H2165,Local CCP,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",HealthSpring Life & Health,"HealthSpring, Inc.",0:25,75.2,Not enough data available to calculate measure,Not enough data available to calculate measure,96.38,0.95,64,Not enough data available to calculate measure,82%,80%,92%,Not enough data available to calculate measure,25.5%,80.8%,78.8%,71.9%,70.4%
H2174,Local CCP,TRILLIUM COMMUNITY HEALTH PLAN,Trillium Advantage,Trillium Community Health Plan,0:39,85.3,13.2,28.6%,95.71,0.05,80,6%,85%,88%,93%,97.1,26.2%,86.7%,79.9%,76.3%,77.9%
H2182,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,77.4,0.0,Not enough data available to calculate measure,96.34,0.80,40,16%,86%,83%,92%,98.3,21.3%,86.4%,63.2%,64.2%,56.8%
H2224,Local CCP,"SENIOR WHOLE HEALTH, LLC",Senior Whole Health,"Senior Whole Health, LLC",0:44,No data available,5.1,Not enough data available to calculate measure,81.35,0.05,80,5%,No data available,90%,94%,99.4,19.9%,80.4%,80.1%,76.2%,76.2%
H2225,Local CCP,"COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.",0:36,No data available,0.0,No appeals required review,94.54,0.00,80,3%,89%,91%,94%,99.3,16.0%,86.2%,80.3%,75.4%,72.4%
H2226,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",1:06,No data available,0.0,No appeals required review,92.54,0.30,40,4%,89%,89%,92%,98.0,18.1%,84.8%,76.0%,74.0%,71.0%
H2228,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,No data available,2.2,No appeals required review,96.73,0.12,60,8%,No data available,No data available,No data available,98.0,18.3%,72.9%,77.7%,79.8%,74.9%
H2230,Local CCP,"BLUE CROSS AND BLUE SHIELD OF MA HMO BLUE, INC.",Blue Cross Blue Shield of Massachusetts,"Blue Cross and Blue Shield of Massachusetts, Inc.",0:36,95.3,0.0,Not enough data available to calculate measure,99.64,0.11,80,8%,84%,81%,91%,97.7,11.1%,82.4%,81.1%,81.3%,77.0%
H2237,Local CCP,"INDEPENDENT CARE HEALTH PLAN, INC.",iCare,Independent Care Health Plan Inc.,0:24,No data available,0.0,Not enough data available to calculate measure,98.71,0.47,80,10%,86%,83%,91%,97.4,18.4%,89.7%,61.8%,59.4%,57.7%
H2241,Local CCP,GOLDEN STATE MEDICARE HEALTH PLAN,"Golden State Medicare Health Plan, Golden (HMO)",Golden State Medicare Health Plan,0:53,84.7,Not enough data available to calculate measure,No appeals required review,98.74,Not enough data available to calculate measure,100,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,19.4%,84.2%,82.6%,66.2%,62.4%
H2256,Local CCP,"TUFTS ASSOCIATED HMO, INC.",Tufts Health Plan Medicare Preferred,"TAHMO, Inc.",0:35,75.3,1.2,55.2%,79.49,0.20,60,3%,85%,88%,94%,98.4,10.5%,81.8%,80.9%,81.4%,78.4%
H2261,Local CCP,"BLUE CROSS AND BLUE SHIELD OF MA HMO BLUE, INC.",Blue Cross Blue Shield of Massachusetts,"Blue Cross and Blue Shield of Massachusetts, Inc.",0:36,95.3,5.9,Not enough data available to calculate measure,97.40,0.04,80,19%,83%,79%,90%,97.7,11.3%,78.9%,81.3%,81.8%,78.0%
H2312,Local CCP,HEALTH ALLIANCE PLAN OF MICHIGAN,HAP Senior Plus,Health Alliance Plan (HAP),0:28,71.8,0.4,Not enough data available to calculate measure,96.52,0.13,80,3%,84%,83%,93%,96.8,18.8%,85.0%,78.4%,81.0%,75.9%
H2320,Local CCP,PRIORITY HEALTH,Priority Health Medicare,Spectrum Health System,1:19,84.6,0.5,Not enough data available to calculate measure,67.82,0.16,60,4%,87%,85%,92%,97.4,18.6%,83.1%,76.8%,81.1%,77.4%
H2322,Local CCP,"ALLIANCE HEALTH AND LIFE INSURANCE, CO",Alliance Medicare PPO,Health Alliance Plan (HAP),0:28,71.8,0.0,No appeals required review,95.56,0.35,60,14%,85%,81%,92%,96.8,20.4%,82.1%,78.4%,80.8%,76.0%
H2323,Local CCP,FIDELIS SECURECARE OF MICHIGAN,Fidelis SecureCare Of Michigan,Fidelis SecureCare,0:47,No data available,Not enough data available to calculate measure,No appeals required review,98.62,Not enough data available to calculate measure,100,11%,No data available,No data available,No data available,Not enough data available to calculate measure,20.4%,77.1%,83.5%,82.6%,80.8%
H2354,Local CCP,HEALTHPLUS OF MICHIGAN,HealthPlus of Michigan,HealthPlus of Michigan,0:42,86.0,0.0,No appeals required review,96.34,0.09,100,1%,No data available,89%,95%,96.3,23.6%,82.1%,80.7%,81.2%,77.8%
H2406,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,No data available,0.0,No appeals required review,95.70,0.07,60,8%,No data available,No data available,No data available,Not enough data available to calculate measure,33.1%,71.2%,87.3%,82.9%,81.7%
H2410,PFFS,MEDICA HEALTH PLANS,Medica Health Plans,Medica Holding Company,0:21,72.2,0.0,No appeals required review,87.83,Not enough data available to calculate measure,100,No data available,No data available,No data available,No data available,97.9,10.2%,83.8%,82.2%,79.5%,76.5%
H2411,Local CCP,FALLON COMMUNITY HEALTH PLAN,Fallon Community Health Plan,Fallon Community Health Plan,No data available,No data available,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,80,Not enough data available to calculate measure,No data available,No data available,No data available,97.7,10.9%,79.4%,74.8%,80.6%,81.3%
H2416,Local CCP,PRIMEWEST HEALTH SYSTEM,PrimeWest Health,PrimeWest Health System,0:42,No data available,0.0,No appeals required review,Not enough data available to calculate measure,0.00,100,2%,88%,87%,94%,96.8,18.7%,77.5%,85.0%,83.8%,82.3%
H2417,Local CCP,ITASCA MEDICAL CARE,Itasca Medical Care/IMCare Classic,Itasca County Health & Human Services,0:35,No data available,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,60,Not enough data available to calculate measure,No data available,No data available,No data available,96.6,16.2%,83.4%,86.0%,84.5%,87.2%
H2419,Local CCP,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,South Country Health Alliance,0:38,No data available,0.0,No appeals required review,Not enough data available to calculate measure,0.09,80,2%,89%,88%,94%,97.5,16.4%,76.9%,90.9%,83.9%,83.0%
H2422,Local CCP,"HEALTHPARTNERS, INC.",HealthPartners,"HealthPartners, Inc.",0:27,No data available,0.0,No appeals required review,Not enough data available to calculate measure,0.00,100,4%,81%,85%,91%,96.1,14.1%,77.6%,76.1%,75.5%,79.5%
H2425,Local CCP,BLUE PLUS,Blue Plus,Blue Cross and Blue Shield of Minnesota,0:42,No data available,3.8,60.0%,Not enough data available to calculate measure,0.03,100,2%,80%,86%,94%,96.6,13.4%,77.8%,82.7%,81.9%,81.6%
H2450,1876 Cost,MEDICA INSURANCE COMPANY,Medica Insurance Company,Medica Holding Company,Not required to report,Not required to report,0.2,Not enough data available to calculate measure,86.47,0.12,80,2%,86%,85%,93%,97.3,15.0%,84.5%,83.8%,83.3%,80.0%
H2456,Local CCP,UCARE MINNESOTA,UCare,UCare Minnesota,0:33,No data available,3.4,Not enough data available to calculate measure,Not enough data available to calculate measure,0.00,80,3%,81%,87%,91%,97.5,18.4%,80.3%,76.4%,76.4%,76.1%
H2457,Local CCP,METROPOLITAN HEALTH PLAN,Metropolitan Health Plan MSHO,Metropolitan Health Plan,0:34,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,80,Not enough data available to calculate measure,No data available,No data available,No data available,95.8,13.6%,87.0%,77.5%,79.0%,75.2%
H2458,Local CCP,MEDICA HEALTH PLANS,Medica Health Plans,Medica Holding Company,0:21,No data available,0.0,No appeals required review,Not enough data available to calculate measure,0.03,100,3%,No data available,85%,91%,96.9,18.5%,80.2%,80.3%,79.3%,78.9%
H2459,Local CCP,UCARE MINNESOTA,UCare,UCare Minnesota,0:33,94.0,1.3,33.3%,94.05,0.18,80,4%,86%,84%,93%,97.6,13.0%,83.4%,83.2%,83.5%,79.6%
H2462,1876 Cost,"GROUP HEALTH PLAN, INC.",HealthPartners,"HealthPartners, Inc.",Not required to report,Not required to report,0.0,Not enough data available to calculate measure,78.51,0.03,100,2%,88%,85%,92%,96.8,13.1%,80.4%,86.2%,84.8%,84.3%
H2486,Local CCP,"HUMANA MEDICAL PLAN OF UTAH, INC.","Humana Medical Plan of Utah, Inc.",Humana Inc.,0:29,84.5,0.0,Not enough data available to calculate measure,72.73,0.33,100,19%,86%,86%,91%,96.4,16.0%,84.7%,75.9%,73.3%,75.8%
H2491,Local CCP,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.",'Ohana Health Plan,"WellCare Health Plans, Inc.",0:14,86.1,Not enough data available to calculate measure,Not enough data available to calculate measure,83.87,0.14,80,Not enough data available to calculate measure,No data available,No data available,No data available,98.2,17.3%,90.5%,63.2%,56.9%,61.1%
H2542,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:34,84.1,0.0,Not enough data available to calculate measure,81.46,0.54,80,18%,86%,84%,90%,96.5,21.8%,83.6%,74.3%,71.8%,66.9%
H2593,Local CCP,"CAREMORE HEALTH PLAN OF ARIZONA, INC.","CareMore Health Plan of Arizona, Inc.","WellPoint, Inc.",0:21,49.3,0.0,No appeals required review,93.57,0.74,80,13%,88%,88%,93%,97.2,15.5%,88.3%,75.6%,72.9%,67.7%
H2610,Local CCP,"ESSENCE HEALTHCARE, INC.",Essence Healthcare,Essence Group Holdings Corporation,0:41,83.1,0.4,22.2%,92.94,0.25,80,5%,84%,87%,94%,89.4,19.8%,83.1%,76.4%,74.7%,70.8%
H2611,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Health Care Inc.,0:29,71.4,0.0,20.0%,94.06,0.41,60,39%,82%,83%,92%,96.5,21.7%,80.8%,72.6%,71.4%,68.1%
H2643,Local CCP,L. A. CARE HEALTH PLAN,L.A. Care Health Plan Medicare Advantage,L.A. Care Health Plan,0:19,No data available,0.0,No appeals required review,97.52,0.11,100,23%,76%,83%,89%,98.4,21.9%,92.5%,67.5%,62.0%,55.2%
H2649,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,0:31,84.1,0.9,Not enough data available to calculate measure,67.44,0.21,80,4%,87%,86%,91%,96.1,21.1%,85.7%,74.7%,73.3%,70.4%
H2654,Local CCP,"UNITEDHEALTHCARE OF THE MIDWEST, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",1:02,77.4,0.7,Not enough data available to calculate measure,95.43,0.42,40,7%,86%,85%,93%,98.3,19.2%,83.4%,73.9%,73.6%,70.6%
H2663,Local CCP,"GROUP HEALTH PLAN, INC.","Group Health Plan, Inc.",Coventry Health Care Inc.,0:18,71.8,2.0,50.0%,90.17,0.25,40,14%,83%,85%,92%,98.4,20.3%,81.1%,75.6%,74.9%,72.9%
H2667,Local CCP,"GROUP HEALTH PLAN, INC.",Coventry Health Care,Coventry Health Care Inc.,0:29,64.8,0.0,Not enough data available to calculate measure,95.90,0.11,80,4%,88%,88%,94%,96.3,22.5%,81.0%,77.3%,77.7%,72.5%
H2672,Local CCP,"COVENTRY HEALTH CARE OF KANSAS, INC.",COVENTRY HEALTH CARE,Coventry Health Care Inc.,0:18,84.9,0.0,Not enough data available to calculate measure,93.09,0.28,20,9%,86%,85%,94%,98.4,20.7%,83.9%,75.5%,72.8%,70.7%
H2701,Local CCP,NEW WEST HEALTH SERVICES,New West Health Services,New West Health Services,0:33,72.9,2.1,Not enough data available to calculate measure,96.66,0.08,80,4%,88%,84%,94%,98.7,14.7%,83.7%,77.1%,77.1%,75.0%
H2773,Local CCP,"QUALITY HEALTH PLANS OF NEW YORK, INC.",QUALITY HEALTH PLANS,"QHP Financial Group, Inc.",No data available,No data available,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,0,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,100.0%,77.4%,30.4%
H2775,Local CCP,AMERICAN PROGRESSIVE LIFE & HEALTH INSURANCE OF NY,Universal American Corp.,Universal American Corp.,No data available,No data available,2.0,No appeals required review,91.30,0.73,0,26%,85%,80%,91%,98.0,16.1%,83.4%,76.2%,76.5%,74.0%
H2802,Local CCP,"UNITEDHEALTHCARE OF THE MIDLANDS, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",1:02,77.4,0.0,No appeals required review,100.00,0.33,60,6%,87%,86%,93%,98.3,17.3%,76.7%,75.0%,75.1%,69.9%
H2803,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:02,77.4,1.6,No appeals required review,96.53,0.47,40,7%,84%,85%,94%,98.2,17.2%,82.5%,73.9%,73.5%,69.2%
H2810,Local CCP,GROUP HEALTH OPTIONS,"Group Health Options, Inc.",Group Health Cooperative,0:35,92.9,0.0,No appeals required review,68.23,0.70,100,11%,82%,81%,93%,97.5,17.1%,87.1%,74.1%,76.8%,70.6%
H2816,PFFS,AMERICAN PROGRESSIVE LIFE & HEALTH INSUR CO OF NY,Universal American Corp.,Universal American Corp.,No data available,No data available,No data available,Not enough data available to calculate measure,6.83,0.67,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H2836,Local CCP,"ANTHEM HEALTH PLANS, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2899,Local CCP,"ARCADIAN HEALTH PLAN OF NORTH CAROLINA, INC.",Southeast Community Care,Arcadian Management Services Inc.,No data available,No data available,3.1,No appeals required review,96.02,0.79,0,19%,82%,83%,88%,98.4,21.4%,86.0%,66.2%,63.5%,57.9%
H2905,Local CCP,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Sierra Health and Life Insurance Company, Inc.","UnitedHealth Group, Inc.",0:45,80.1,0.0,No appeals required review,97.27,0.35,60,13%,85%,78%,90%,90.8,13.3%,81.7%,68.4%,65.6%,64.9%
H2906,Local CCP,HOMETOWN HEALTH PLAN,Senior Care Plus,Renown Health,0:13,83.5,Not enough data available to calculate measure,No appeals required review,85.44,Not enough data available to calculate measure,80,Not enough data available to calculate measure,No data available,No data available,No data available,97.6,26.0%,88.1%,90.1%,78.7%,74.6%
H2926,Local CCP,PRIMEWEST HEALTH SYSTEM,PrimeWest Health,PrimeWest Health System,0:42,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100,Not enough data available to calculate measure,No data available,No data available,No data available,97.9,Not enough data available to calculate measure,77.3%,94.4%,74.9%,86.5%
H2931,Local CCP,"HEALTH PLAN OF NEVADA, INC.","Health Plan of Nevada, Inc.","UnitedHealth Group, Inc.",0:42,79.6,0.0,80.0%,98.38,0.25,40,9%,81%,84%,91%,88.9,13.2%,79.6%,72.0%,70.3%,70.5%
H2944,PFFS,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:31,84.0,0.6,60.0%,82.41,1.20,60,20%,46%,86%,92%,96.4,20.7%,83.5%,74.7%,73.7%,70.1%
H2949,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,0:29,84.0,0.4,Not enough data available to calculate measure,58.19,0.36,80,7%,75%,85%,90%,96.3,19.9%,85.6%,73.3%,73.5%,72.0%
