contractid,contract_name,breastcancer_screen,rectalcancer_screen,cv_cholscreen,diabetes_cholscreen,glaucoma_test,monitoring,flu_vaccine,pn_vaccine,primaryaccess,hospital_followup,depression_followup,nodelays,carequickly,overallrating_care,overallrating_plan,calltime,doctor_communicate,osteo_manage,diabetes_eye,diabetes_kidney,diabetes_bloodsugar,diabetes_chol,antidepressant,bloodpressure,ra_manage,copd_test,betablocker,appeals_timely,appeals_review,new_contract,year,org_type,org_marketing,physical_health,mental_health,osteo_test,physical_monitor,customer_service,bladder,falling,partc_score,cv_diab_cholscreen,diab_healthy,complaints_plan,leave_plan,audit_problems,hold_times,info_accuracy,ttyt_available,diab_cholscreen,corrective_action,low_score,partcd_score,org_parent,bmi_assess,older_medication,older_function,older_pain,readmissions,access_problems,coordination,improve,enroll_timely,specialneeds_manage
H3384,HealthNow New York Inc.,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,5.0,2.0,0.0,2009,Local CCP,Senior Blue,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.5,,,,,,,,,,,,,,,,,,,,,,,
H3387,"UnitedHealth Group, Inc.",,,,,,,1.0,1.0,,,,2.0,1.0,2.0,1.0,,3.0,,,,,,,,,,,,,0.0,2009,Local CCP,AmeriChoice Personal Care Plus,3.0,4.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
H3388,"Capital District Physicians' Health Plan, Inc.",4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,3.0,5.0,2.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,2.0,4.0,4.0,2.0,0.0,2009,Local CCP,CDPHP Medicare Choices,4.0,3.0,5.0,3.0,5.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
H3404,Blue Cross and Blue Shield of North Carolina,,,,,,,3.0,3.0,,,,5.0,3.0,3.0,2.0,,3.0,,,,,,,,,,,,,0.0,2009,Local CCP,"PARTNERS National Health Plans, a BCBSNC company",,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
H3405,Humana Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2009,Local CCP,Humana Insurance Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3415,Davita Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2009,Local CCP,"DaVita VillageHealth Insurance of Alabama, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3435,"UnitedHealth Group, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2009,Demo,Erickson Advantage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3437,Universal American Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2009,Local CCP,Universal American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3449,Blue Cross and Blue Shield of North Carolina,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,4.0,3.0,4.0,3.0,1.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,0.0,2009,Local CCP,"PARTNERS National Health Plans, a BCBSNC company",3.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
H3456,"UnitedHealth Group, Inc.",2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,5.0,4.0,0.0,2009,Local CCP,SecureHorizons by UnitedHealthcare,4.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
H3503,Heart of America HMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2009,1876 Cost,Heart of America Health Plan,4.0,3.0,2.0,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
H3518,Blue Cross and Blue Shield of Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2009,PFFS,"Blue Cross and Blue Shield of Florida, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3528,EmblemHealth Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2009,Local CCP,"ConnectiCare, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3533,Arcadian Management Services Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2009,Local CCP,Northeast Community Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3597,Aetna Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2009,Local CCP,Aetna Medicare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3613,Concordia Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2009,National PACE,Concordia Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3614,TriHealth SeniorLink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2009,National PACE,Trihealth Seniorlink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3619,Humana Inc.,3.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,,,3.0,3.0,3.0,2.0,3.0,4.0,,1.0,4.0,,,,,,2.0,,5.0,5.0,0.0,2009,Local CCP,Humana Insurance Company,,,3.0,3.0,2.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
H3620,McKinley Life Insurance Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2009,Local CCP,PrimeTime Health Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3623,Aetna Inc.,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,,,2.0,3.0,2.0,2.0,5.0,2.0,,4.0,4.0,3.0,3.0,,3.0,,,,,,0.0,2009,Local CCP,Aetna Medicare,,,3.0,3.0,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
H3624,Aetna Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2009,Local CCP,Aetna Medicare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3653,Promedica Health System,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,5.0,3.0,1.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,0.0,2009,Local CCP,Paramount Elite,3.0,3.0,4.0,3.0,5.0,2.0,4.0,3.5,,,,,,,,,,,,,,,,,,,,,,,
H3655,"Wellpoint, Inc.",3.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,3.0,3.0,1.0,3.0,1.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,0.0,2009,Local CCP,Anthem Blue Cross and Blue Shield,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
H3659,"UnitedHealth Group, Inc.",2.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,0.0,2009,Local CCP,SecureHorizons by UnitedHealthcare,4.0,3.0,2.0,3.0,1.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
H3660,Summa Health System,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,1.0,4.0,4.0,5.0,5.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,5.0,3.0,0.0,2009,Local CCP,SummaCare,4.0,3.0,3.0,3.0,4.0,2.0,1.0,3.5,,,,,,,,,,,,,,,,,,,,,,,
H3664,McKinley Life Insurance Company,4.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,5.0,4.0,1.0,5.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,0.0,2009,Local CCP,PrimeTime Health Plan,4.0,3.0,5.0,2.0,5.0,2.0,3.0,3.5,,,,,,,,,,,,,,,,,,,,,,,
H3668,Trinity Health,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,2.0,1.0,4.0,4.0,5.0,5.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,4.0,2.0,2.0,5.0,2.0,0.0,2009,Local CCP,MediGold,4.0,3.0,3.0,3.0,5.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
H3672,Health Plan of the Upper Ohio Valley,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,,2.0,5.0,5.0,4.0,4.0,5.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,5.0,5.0,,0.0,2009,Local CCP,The Health Plan,3.0,3.0,3.0,2.0,5.0,2.0,2.0,3.5,,,,,,,,,,,,,,,,,,,,,,,
H3706,Universal American Corp.,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,,,1.0,3.0,3.0,2.0,5.0,2.0,2.0,4.0,3.0,4.0,3.0,,1.0,,1.0,,,,0.0,2009,Local CCP,Generations Healthcare,3.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
H3708,Universal American Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2009,Local CCP,SelectCare of Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3709,Health Care Service Corporation,1.0,1.0,,3.0,2.0,2.0,3.0,3.0,4.0,,,2.0,3.0,2.0,1.0,1.0,2.0,,1.0,4.0,1.0,1.0,,,,,,2.0,5.0,0.0,2009,Local CCP,HISC - Blue Cross And Blue Shield Of Oklahoma,,,,3.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
H3749,"UnitedHealth Group, Inc.",2.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,0.0,2009,Local CCP,SecureHorizons by UnitedHealthcare,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
H3755,"CommunityCare Managed Healthcare Plans of OK, Inc.",2.0,4.0,3.0,3.0,3.0,1.0,5.0,4.0,5.0,3.0,1.0,3.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,4.0,2.0,3.0,0.0,2009,Local CCP,CommunityCare Senior Health Plan,3.0,3.0,3.0,3.0,5.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
H3805,"UnitedHealth Group, Inc.",4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,1.0,3.0,5.0,3.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,0.0,2009,Local CCP,AARP MedicareComplete from SecureHorizons,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.5,,,,,,,,,,,,,,,,,,,,,,,
H3809,Providence Health System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2009,National PACE,Providence ElderPlace Portland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3810,Mid Rogue Community Health Plan,1.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,,,3.0,4.0,3.0,5.0,1.0,2.0,,5.0,3.0,3.0,2.0,,3.0,,2.0,,,,0.0,2009,Local CCP,CareSource,,,4.0,3.0,5.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
H3811,Samaritan Health Services,3.0,2.0,3.0,3.0,5.0,3.0,3.0,4.0,5.0,,1.0,4.0,4.0,3.0,4.0,4.0,2.0,,4.0,3.0,4.0,3.0,5.0,2.0,,2.0,,5.0,1.0,0.0,2009,Local CCP,Samaritan Advantage Health Plan,,,2.0,3.0,5.0,2.0,3.0,3.5,,,,,,,,,,,,,,,,,,,,,,,
H3812,"UnitedHealth Group, Inc.",2.0,,3.0,3.0,2.0,3.0,2.0,3.0,4.0,,,3.0,5.0,3.0,1.0,2.0,2.0,,2.0,,,,,,,,,,,0.0,2009,Local CCP,SecureHorizons by UnitedHealthcare,,,2.0,3.0,1.0,2.0,1.0,2.5,,,,,,,,,,,,,,,,,,,,,,,
H3813,The ODS Companies (ODS),5.0,3.0,,4.0,4.0,2.0,4.0,4.0,4.0,,,3.0,5.0,3.0,2.0,4.0,3.0,,3.0,4.0,1.0,1.0,,,,,,5.0,1.0,0.0,2009,Local CCP,"ODS Health Plan, Inc.",,,,,5.0,,,3.5,,,,,,,,,,,,,,,,,,,,,,,
H3814,ATRIO Health Plans,1.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,1.0,,4.0,3.0,3.0,3.0,5.0,3.0,,2.0,2.0,3.0,2.0,,4.0,3.0,,,,,0.0,2009,Local CCP,ATRIO MyAdvantage,,,2.0,3.0,5.0,3.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
H3815,Honored Citizens Choice Health Plan,1.0,1.0,,2.0,1.0,1.0,2.0,1.0,4.0,,,1.0,1.0,1.0,3.0,4.0,2.0,,1.0,3.0,2.0,1.0,,1.0,1.0,,,,,0.0,2009,Local CCP,Citizens Choice Healthplan,,,1.0,3.0,3.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
H3817,The Regence Group,5.0,,4.0,4.0,5.0,4.0,4.0,5.0,5.0,2.0,1.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,4.0,3.0,,,4.0,,5.0,,3.0,5.0,4.0,0.0,2009,Local CCP,Regence BlueCross BlueShield of Oregon,,,4.0,3.0,5.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
H3818,FamilyCare Incorporated,1.0,1.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,,,1.0,4.0,3.0,2.0,3.0,3.0,,2.0,4.0,1.0,1.0,,2.0,,,,,,0.0,2009,Local CCP,"FamilyCare Health Plans, Inc.",,,1.0,2.0,3.0,,,2.5,,,,,,,,,,,,,,,,,,,,,,,
H3864,"Clear Choice Health Plans, Inc.",3.0,3.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,1.0,4.0,4.0,5.0,4.0,1.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,2.0,0.0,2009,Local CCP,Clear Choice Health Plans,3.0,3.0,5.0,3.0,4.0,2.0,2.0,3.5,,,,,,,,,,,,,,,,,,,,,,,
H3887,"UnitedHealth Group, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2009,Local CCP,SecureHorizons by UnitedHealthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3907,University of Pittsburgh Medical Center,2.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,5.0,3.0,0.0,2009,Local CCP,UPMC Health Plan,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.5,,,,,,,,,,,,,,,,,,,,,,,
H3908,Trustees of the University of Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2009,National PACE,Trustees Of The University Of Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3909,Independence Blue Cross,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,1.0,3.0,3.0,3.0,2.0,5.0,4.0,,3.0,3.0,,,1.0,,2.0,2.0,2.0,5.0,3.0,0.0,2009,Local CCP,Personal Choice 65,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
H3912,"UnitedHealth Group, Inc.",,,,2.0,5.0,5.0,3.0,3.0,5.0,,,2.0,2.0,3.0,2.0,2.0,3.0,,2.0,,,,,,,,,,,0.0,2009,Local CCP,Evercare« Health Plans,,,1.0,2.0,2.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
H3916,Highmark Inc.,4.0,,4.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,1.0,3.0,4.0,4.0,3.0,1.0,3.0,2.0,3.0,3.0,,,5.0,,3.0,2.0,3.0,5.0,4.0,0.0,2009,Local CCP,Highmark Inc.,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.5,,,,,,,,,,,,,,,,,,,,,,,
H3917,"Pittsburgh Care Partnership, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2009,National PACE,Community LIFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3918,Living Independence for the Elderly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2009,National PACE,LIFE Pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3919,St. Agnes Continuing Care Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2009,National PACE,Mercy LIFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3920,"UnitedHealth Group, Inc.",1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,1.0,4.0,3.0,2.0,2.0,1.0,3.0,2.0,,2.0,3.0,2.0,0.0,2009,Local CCP,Unison Advantage,,,1.0,2.0,3.0,2.0,5.0,2.5,,,,,,,,,,,,,,,,,,,,,,,
H3921,"UnitedHealth Group, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2009,Local CCP,SecureHorizons by UnitedHealthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3923,Capital BlueCross,,,,4.0,4.0,3.0,3.0,3.0,5.0,,,3.0,4.0,3.0,2.0,3.0,3.0,,4.0,3.0,,,,,5.0,,,4.0,5.0,0.0,2009,Local CCP,Capital Advantage Insurance Company,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
H3924,Geisinger Health System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2009,Local CCP,Geisinger Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3925,"Pennsylvania PACE, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2009,National PACE,Senior LIFE Johnstown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3931,Aetna Inc.,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,1.0,3.0,4.0,3.0,2.0,5.0,4.0,1.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,2.0,3.0,4.0,5.0,0.0,2009,Local CCP,Aetna Medicare,4.0,3.0,4.0,3.0,2.0,2.0,3.0,3.5,,,,,,,,,,,,,,,,,,,,,,,
H3942,Elderhaus Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2009,National PACE,Elderhaus PACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3949,"Bravo Health, Inc.",1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2009,Local CCP,Bravo Health,3.0,3.0,1.0,3.0,2.0,2.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
H3952,Independence Blue Cross,3.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,5.0,3.0,1.0,4.0,4.0,3.0,4.0,1.0,4.0,2.0,2.0,2.0,5.0,4.0,0.0,2009,Local CCP,Keystone 65,3.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
H3954,Geisinger Health System,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0,0.0,2009,Local CCP,Geisinger Gold,4.0,3.0,3.0,2.0,4.0,2.0,3.0,4.5,,,,,,,,,,,,,,,,,,,,,,,
H3957,Highmark Inc.,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,5.0,4.0,0.0,2009,Local CCP,"Keystone Health Plan West, Inc.",3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.5,,,,,,,,,,,,,,,,,,,,,,,
H3959,Coventry Health Care Inc.,3.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,2.0,3.0,5.0,2.0,0.0,2009,Local CCP,HealthAmerica Advantra,4.0,3.0,3.0,2.0,4.0,2.0,3.0,3.5,,,,,,,,,,,,,,,,,,,,,,,
H3962,Capital BlueCross,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,1.0,3.0,5.0,4.0,4.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,2.0,4.0,4.0,2.0,0.0,2009,Local CCP,"Keystone Health Plan Central, Inc.",4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
H3964,"Bravo Health, Inc.",1.0,1.0,,3.0,1.0,2.0,2.0,1.0,3.0,1.0,,1.0,1.0,1.0,2.0,3.0,2.0,,2.0,3.0,2.0,2.0,,2.0,4.0,,,5.0,1.0,0.0,2009,Local CCP,Senior Partners,4.0,2.0,1.0,3.0,1.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
H4003,"Aveta, LLC.",3.0,3.0,4.0,4.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,5.0,5.0,4.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,2009,Local CCP,Medicare y Mucho Mßs,4.0,3.0,2.0,3.0,3.0,2.0,5.0,2.5,,,,,,,,,,,,,,,,,,,,,,,
H4004,"Aveta, LLC.",3.0,2.0,4.0,4.0,2.0,3.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,5.0,5.0,4.0,5.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,,,0.0,2009,Local CCP,"Preferred Medicare Choice, Inc.",,,2.0,3.0,3.0,2.0,5.0,2.5,,,,,,,,,,,,,,,,,,,,,,,
H4005,Triple-S Management Corporation,3.0,,4.0,4.0,3.0,4.0,1.0,1.0,5.0,2.0,1.0,3.0,2.0,5.0,5.0,4.0,5.0,1.0,2.0,,,,1.0,,1.0,,,,,0.0,2009,Local CCP,"Triple-S, Inc.",,,5.0,4.0,3.0,2.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
H4006,"Medical Card System, Inc.",2.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,5.0,5.0,3.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,0.0,2009,Local CCP,MCS Classicare,,,4.0,3.0,2.0,,4.0,2.5,,,,,,,,,,,,,,,,,,,,,,,
H4007,Humana Inc.,2.0,2.0,4.0,4.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,0.0,2009,Local CCP,Humana Health Plans Of Puerto Rico Inc,,,2.0,3.0,2.0,2.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
H4008,Humana Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2009,PFFS,"Humana Insurance Of Puerto Rico, Inc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4009,"SDM Healthcare Management, Inc.",,1.0,,3.0,1.0,4.0,1.0,1.0,4.0,,,3.0,3.0,5.0,5.0,1.0,5.0,,1.0,2.0,1.0,1.0,,2.0,,,,,,0.0,2009,Local CCP,Salud Dorada con Medicare,,,,,3.0,,,2.5,,,,,,,,,,,,,,,,,,,,,,,
H4011,First Medical Health Plan,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,4.0,,1.0,3.0,2.0,3.0,3.0,1.0,5.0,2.0,1.0,3.0,1.0,,1.0,,1.0,,,,,0.0,2009,Local CCP,"First Medical Health Plan, Inc.",,,3.0,3.0,3.0,3.0,5.0,2.5,,,,,,,,,,,,,,,,,,,,,,,
H4012,Triple-S Management Corporation,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,5.0,5.0,1.0,5.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,4.0,,0.0,2009,Local CCP,"Triple-S, Inc.",,,1.0,3.0,3.0,2.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
H4036,"Wellpoint, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2009,Local CCP,Anthem Blue Cross and Blue Shield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4102,"UnitedHealth Group, Inc.",4.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,1.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,0.0,2009,Local CCP,AARP MedicareComplete from SecureHorizons,4.0,3.0,4.0,3.0,1.0,3.0,4.0,3.5,,,,,,,,,,,,,,,,,,,,,,,
H4105,PACE Organization of Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2009,National PACE,Pace Organization Of Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4106,"UnitedHealth Group, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2009,Local CCP,Evercare« Health Plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4125,Arcadian Management Services Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2009,Local CCP,Arcadian Health Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4142,Cherokee Nation Comprehensive Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2009,National PACE,Cherokee Elder Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4152,Blue Cross & Blue Shield of Rhode Island,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,1.0,4.0,3.0,4.0,2.0,4.0,5.0,2.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,2.0,4.0,4.0,0.0,2009,Local CCP,Blue Cross & Blue Shield of Rhode Island,4.0,3.0,5.0,3.0,4.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
