2014 Data View: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Organization Marketing Name,Contract Name,Parent Organization,DD1: Drug Plan Customer Service,,,"DD2: Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance ",,,,DD3: Member Experience with the Drug Plan,,DD4: Patient Safety and Accuracy of Drug Pricing,,,,,
H2422,Local CCP,HealthPartners,"HEALTHPARTNERS, INC.","HealthPartners, Inc.",95%,0.0,No data available,0.00,80,3%,Medicare shows only a Star Rating for this topic,87%,90%,99,7%,78%,77%,78%,77%
H2425,Local CCP,Blue Plus,BLUE PLUS,Blue Cross and Blue Shield of Minnesota,93%,2.1,Not enough data available,0.04,100,2%,Medicare shows only a Star Rating for this topic,88%,92%,99,7%,77%,85%,84%,80%
H2450,1876 Cost,Medica Insurance Company,MEDICA INSURANCE COMPANY,Medica Holding Company,Plan not required to report measure,No data available,53%,0.10,100,2%,Medicare shows only a Star Rating for this topic,84%,91%,99,6%,83%,85%,86%,82%
H2456,Local CCP,UCare,UCARE MINNESOTA,UCare Minnesota,89%,0.0,80%,0.02,80,2%,Medicare shows only a Star Rating for this topic,87%,91%,98,4%,81%,77%,78%,75%
H2457,Local CCP,MHP,METROPOLITAN HEALTH PLAN,Metropolitan Health Plan,72%,Not enough data available,No data available,Not enough data available,80,Not enough data available,Not enough data available,87%,89%,96,5%,83%,75%,80%,79%
H2458,Local CCP,Medica Health Plans,MEDICA HEALTH PLANS,Medica Holding Company,95%,3.1,Not enough data available,0.03,100,2%,Medicare shows only a Star Rating for this topic,86%,92%,99,9%,81%,81%,82%,79%
H2459,Local CCP,UCare,UCARE MINNESOTA,UCare Minnesota,94%,0.5,100%,0.05,100,4%,Medicare shows only a Star Rating for this topic,84%,94%,98,3%,84%,85%,86%,82%
H2462,1876 Cost,HealthPartners,"GROUP HEALTH PLAN, INC. (MN)","HealthPartners, Inc.",Plan not required to report measure,No data available,Not enough data available,0.05,80,2%,Medicare shows only a Star Rating for this topic,88%,94%,99,5%,81%,86%,86%,84%
H2486,Local CCP,"Humana Medical Plan of Utah, Inc.","HUMANA MEDICAL PLAN OF UTAH, INC.",Humana Inc.,98%,4.5,No data available,0.87,100,64%,Medicare shows only a Star Rating for this topic,84%,89%,98,1%,89%,78%,77%,72%
H2491,Local CCP,'Ohana Health Plan,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.","WellCare Health Plans, Inc.",97%,4.0,Not enough data available,0.30,80,9%,Medicare shows only a Star Rating for this topic,82%,88%,99,5%,90%,66%,69%,65%
H2506,Demo,Aetna Better Health Premier Plan,"AETNA BETTER HEALTH, INC. (IL)",Aetna Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2531,Demo,UnitedHealthcare Community Plan,"UNITEDHEALTHCARE COMMUNITY PLAN OF OHIO, INC.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2533,Demo,Community Health Solutions,"COMMUNITY HEALTH SOLUTIONS OF AMERICA, INC.","Community Health Solutions of America, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2542,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,98%,0.0,Not enough data available,0.42,100,13%,Medicare shows only a Star Rating for this topic,84%,88%,98,1%,86%,75%,77%,70%
H2563,Local CCP,Optima Health Plan,OPTIMA HEALTH PLAN,Sentara Health Care (SHC),Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2593,Local CCP,"CareMore Health Plan of Arizona, Inc.","CAREMORE HEALTH PLAN OF ARIZONA, INC.","WellPoint, Inc.",85%,0.7,Not enough data available,0.33,80,12%,Medicare shows only a Star Rating for this topic,86%,90%,98,4%,89%,72%,75%,68%
H2610,Local CCP,Essence Healthcare,"ESSENCE HEALTHCARE, INC.",Essence Group Holdings Corporation,93%,CMS identified issues with this plan's data,Not enough data available,0.04,100,6%,Medicare shows only a Star Rating for this topic,90%,94%,Not enough data available,5%,85%,76%,78%,72%
H2611,Local CCP,Coventry Health Care,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Aetna Inc.,92%,0.0,No data available,0.21,80,27%,Medicare shows only a Star Rating for this topic,83%,92%,99,8%,81%,75%,74%,72%
H2643,Local CCP,L.A. Care Health Plan Medicare Advantage,LOCAL INITIATIVE HEALTH AUTHORITY FOR L.A. COUNTY,Local Initiative Health Authority for LA County,81%,0.0,No data available,0.18,60,20%,Medicare shows only a Star Rating for this topic,84%,85%,99,6%,92%,66%,66%,60%
H2649,Local CCP,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,98%,0.6,Not enough data available,0.20,100,8%,Medicare shows only a Star Rating for this topic,86%,91%,98,1%,86%,78%,79%,73%
H2654,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealth Group, Inc.",90%,0.2,60%,0.25,0,8%,Medicare shows only a Star Rating for this topic,85%,93%,99,6%,84%,77%,78%,73%
H2663,Local CCP,"Coventry Health Care of Missouri, Inc.","COVENTRY HEALTH CARE OF MISSOURI, INC",Aetna Inc.,91%,0.7,Not enough data available,0.20,80,9%,Medicare shows only a Star Rating for this topic,85%,93%,99,6%,83%,79%,80%,76%
H2667,Local CCP,Coventry Health Care,"COVENTRY HEALTH CARE OF MISSOURI, INC",Aetna Inc.,92%,2.0,No data available,0.09,80,5%,Medicare shows only a Star Rating for this topic,83%,92%,99,8%,82%,78%,79%,75%
H2672,Local CCP,COVENTRY HEALTH CARE,"COVENTRY HEALTH CARE OF KANSAS, INC.",Aetna Inc.,92%,0.7,Not enough data available,0.13,80,10%,Medicare shows only a Star Rating for this topic,85%,93%,99,7%,86%,73%,74%,72%
H2676,Local CCP,Cigna-HealthSpring,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,69%,Plan too new to be measured,No data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2701,Local CCP,New West Health Services,NEW WEST HEALTH SERVICES,New West Health Services,89%,0.0,60%,0.07,60,3%,Medicare shows only a Star Rating for this topic,87%,94%,99,5%,85%,80%,81%,76%
H2751,Demo,WellCare,"WELLCARE OF NEW YORK, INC.","WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2758,Local CCP,BeHealthy America Inc,"BEHEALTHY AMERICA, INC.","BHSA Investors, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2773,Local CCP,QUALITY HEALTH PLANS,"QUALITY HEALTH PLANS OF NEW YORK, INC.","QHP Financial Group, Inc.",96%,Not enough data available,No data available,Not enough data available,80,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H2775,Local CCP,Universal American Corp.,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,94%,0.0,Not enough data available,0.23,0,12%,Medicare shows only a Star Rating for this topic,81%,91%,98,3%,83%,79%,82%,76%
H2802,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDLANDS, INC.","UnitedHealth Group, Inc.",93%,4.3,Not enough data available,0.15,0,5%,Medicare shows only a Star Rating for this topic,85%,92%,99,5%,78%,78%,79%,76%
H2810,Local CCP,"Group Health Options, Inc.",GROUP HEALTH OPTIONS,Group Health Cooperative,90%,0.0,Not enough data available,0.24,100,8%,Medicare shows only a Star Rating for this topic,78%,91%,99,8%,88%,75%,80%,75%
H2816,PFFS,Universal American Corp.,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,94%,0.0,No data available,0.19,0,9%,Medicare shows only a Star Rating for this topic,83%,93%,98,3%,83%,79%,81%,75%
H2836,Local CCP,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS, INC.","WellPoint, Inc.",95%,8.7,Not enough data available,1.17,60,14%,Not enough data available,78%,88%,97,5%,85%,79%,81%,73%
H2879,Local CCP,Molina Healthcare of Wisconsin,MOLINA HEALTHCARE OF WISCONSIN,"Molina Healthcare, Inc.,",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2889,Demo,HHH Choices Complete,"HHH CHOICES HEALTH PLAN, LLC","HHCS, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2905,Local CCP,"Sierra Health and Life Insurance Company, Inc.","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealth Group, Inc.",91%,0.0,Not enough data available,0.18,0,7%,Medicare shows only a Star Rating for this topic,83%,93%,98,6%,87%,76%,74%,70%
H2906,Local CCP,Senior Care Plus,HOMETOWN HEALTH PLAN,Renown Health,93%,33.3,Not enough data available,0.00,80,15%,Medicare shows only a Star Rating for this topic,86%,90%,99,6%,78%,75%,81%,78%
H2911,Local CCP,"Vantage Health Plan, Inc.","VANTAGE HEALTH PLAN, INC.","Vantage Health Plan, Inc.",95%,Plan too new to be measured,No data available,1.12,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2926,Local CCP,PrimeWest Health,PRIMEWEST CTRL COUNTY-BASED PURCHASING INTIATIVE,PrimeWest Central County-Based Purchasing Initiati,97%,Not enough data available,No data available,Not enough data available,100,Not enough data available,Not enough data available,No data available,No data available,98,Not enough data available,81%,84%,84%,80%
H2931,Local CCP,"Health Plan of Nevada, Inc.","HEALTH PLAN OF NEVADA, INC.","UnitedHealth Group, Inc.",91%,CMS identified issues with this plan's data,90%,0.20,0,5%,Medicare shows only a Star Rating for this topic,84%,90%,98,4%,86%,78%,79%,75%
H2944,PFFS,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,98%,1.0,Not enough data available,0.35,100,12%,Medicare shows only a Star Rating for this topic,85%,90%,98,1%,85%,78%,78%,73%
H2949,Local CCP,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,98%,1.5,Not enough data available,0.21,100,8%,Medicare shows only a Star Rating for this topic,85%,89%,98,1%,90%,76%,78%,73%
H2960,Local CCP,Senior Care Plus,HOMETOWN HEALTH PLAN,Renown Health,93%,8.0,67%,0.14,80,3%,Medicare shows only a Star Rating for this topic,85%,91%,99,5%,88%,77%,79%,77%
H2962,Local CCP,Ultimate Health Plans,"ULTIMATE HEALTH PLANS, INC.","ULTIMATE HEALTH PLAN, INC.",91%,Plan too new to be measured,No data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3018,Demo,Care Complete,"CENTERS PLAN FOR HEALTHY LIVING, LLC","Centers Plan for Healthy Living, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3054,Local CCP,Constellation Health,"CONSTELLATION HEALTH, LLC.","Constellation Health, LLC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3067,Demo,Virginia Premier Health Plan,"VIRGINIA PREMIER HEALTH PLAN, INC.",Virginia Cwlth University Hlth System Authority,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3071,Local CCP,"Community Care Alliance of Illinois, NFP","COMMUNITY CARE ALLIANCE OF ILLINOIS, NFP",Family Health Network,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3107,Local CCP,UnitedHealthcare,"OXFORD HEALTH PLANS (NJ), INC.","UnitedHealth Group, Inc.",93%,0.6,100%,0.54,0,9%,Medicare shows only a Star Rating for this topic,78%,90%,99,4%,86%,72%,73%,66%
H3113,Local CCP,UnitedHealthcare,"OXFORD HEALTH PLANS (NJ), INC.","UnitedHealth Group, Inc.",88%,Not enough data available,No data available,Not enough data available,0,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,7%,59%,80%,80%,72%
H3129,Demo,"North Shore-LIJ Health Plan, Inc","NORTH SHORE-LIJ HEALTH PLAN, INC.","North Shore-LI Jewish Health System, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3132,Local CCP,AHF,"AHF MCO OF FLORIDA, INC.",AIDS Healthcare Foundation,79%,Not enough data available,No data available,Not enough data available,60,Not enough data available,Not enough data available,84%,86%,99,12%,85%,83%,76%,80%
H3144,Local CCP,"Coventry Health Care of Illinois, Inc.","COVENTRY HEALTH CARE OF ILLINOIS, INC.",Aetna Inc.,91%,Not enough data available,No data available,Not enough data available,80,Not enough data available,Not enough data available,No data available,No data available,99,5%,86%,91%,77%,76%
H3152,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (NJ)",Aetna Inc.,97%,2.7,83%,0.16,20,5%,Medicare shows only a Star Rating for this topic,80%,92%,99,3%,82%,76%,78%,72%
H3154,Local CCP,"Horizon Blue Cross Blue Shield of New Jersey, Inc.","HORIZON HEALTHCARE OF NEW JERSEY, INC.","Horizon Healthcare Services, Inc.",91%,8.8,74%,0.35,41,8%,Medicare shows only a Star Rating for this topic,83%,89%,98,5%,85%,79%,82%,76%
H3156,Local CCP,AmeriHealth 65 Preferred HMO,"AMERIHEALTH HMO, INC.",Independence Blue Cross,91%,Not enough data available,Not enough data available,0.62,40,No data available,Medicare shows only a Star Rating for this topic,No data available,No data available,Not enough data available,6%,78%,76%,83%,76%
H3204,Local CCP,Presbyterian Senior Care (HMO),PRESBYTERIAN HEALTH PLAN,Presbyterian Healthcare Services,84%,CMS identified issues with this plan's data,Not enough data available,0.08,80,3%,Medicare shows only a Star Rating for this topic,87%,92%,99,7%,87%,75%,78%,75%
H3206,Local CCP,Presbyterian MediCare PPO,"PRESBYTERIAN INSURANCE COMPANY, INC.",Presbyterian Healthcare Services,84%,0.0,No data available,0.23,60,6%,Medicare shows only a Star Rating for this topic,84%,91%,99,7%,86%,76%,79%,75%
H3209,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",88%,0.0,No data available,0.41,0,6%,Medicare shows only a Star Rating for this topic,86%,88%,99,10%,83%,67%,66%,67%
H3237,Demo,Health Net Community Solutions,"HEALTH NET COMMUNITY SOLUTIONS, INC.","Health Net, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3240,Local CCP,Amerigroup Community Care,"AMERIGROUP NEW JERSEY, INC.","WellPoint, Inc.",89%,9.7,Not enough data available,0.87,47,24%,Medicare shows only a Star Rating for this topic,83%,89%,99,1%,89%,72%,63%,58%
H3251,Local CCP,Lovelace Medicare Plan,"LOVELACE HEALTH SYSTEM, INC.",Ardent Health Services.,90%,CMS identified issues with this plan's data,Not enough data available,0.18,80,15%,Medicare shows only a Star Rating for this topic,87%,90%,96,2%,86%,72%,76%,72%
H3259,Local CCP,BlueCare Plus Tennessee,VOLUNTEER STATE HEALTH PLAN,BlueCross BlueShield of Tennessee,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3283,Local CCP,Medica Health Plans,MEDICA HEALTH PLANS,Medica Holding Company,99%,Not enough data available,No data available,Not enough data available,100,Not enough data available,Not enough data available,No data available,No data available,94,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H3305,Local CCP,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",97%,1.7,Not enough data available,0.09,100,10%,Medicare shows only a Star Rating for this topic,85%,92%,99,6%,81%,82%,84%,77%
H3307,Local CCP,UnitedHealthcare,"OXFORD HEALTH PLANS (NY), INC.","UnitedHealth Group, Inc.",90%,0.0,69%,0.28,0,9%,Medicare shows only a Star Rating for this topic,79%,92%,99,3%,85%,76%,77%,69%
H3312,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (NY)",Aetna Inc.,97%,6.0,100%,0.30,20,5%,Medicare shows only a Star Rating for this topic,82%,90%,99,3%,84%,75%,79%,71%
H3327,Local CCP,Touchstone Health,"TOUCHSTONE HEALTH HMO, INC.","Touchstone Health Partnership, Inc",99%,0.0,No data available,0.74,40,20%,Medicare shows only a Star Rating for this topic,85%,90%,99,2%,86%,67%,69%,64%
H3328,Local CCP,Fidelis Care,"THE NEW YORK STATE CATHOLIC HEALTH PLAN, INC.","The New York State Catholic Health Plan, Inc.",81%,CMS identified issues with this plan's data,Not enough data available,0.66,0,14%,Medicare shows only a Star Rating for this topic,84%,90%,98,2%,88%,68%,68%,63%
H3330,Local CCP,EmblemHealth Medicare HMO,HEALTH INSURANCE PLAN OF GREATER NEW YORK,"EmblemHealth, Inc.",82%,0.4,Not enough data available,0.13,60,3%,Medicare shows only a Star Rating for this topic,85%,91%,98,2%,86%,77%,78%,73%
H3333,PFFS,Universal American Corp.,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,94%,Not enough data available,No data available,0.49,0,9%,Medicare shows only a Star Rating for this topic,80%,92%,98,3%,78%,76%,82%,77%
H3335,Local CCP,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",92%,0.3,Not enough data available,0.06,100,4%,Medicare shows only a Star Rating for this topic,85%,94%,99,6%,83%,80%,84%,77%
H3337,Local CCP,Liberty Health Advantage,"LIBERTY HEALTH ADVANTAGE, INC.","Liberty Health Advantage, Inc.",95%,0.0,No data available,0.48,30,34%,Medicare shows only a Star Rating for this topic,82%,86%,99,2%,88%,68%,64%,57%
H3342,Local CCP,Empire BlueCross BlueShield,"EMPIRE HEALTHCHOICE ASSURANCE, INC.","WellPoint, Inc.",95%,1.8,86%,0.85,60,10%,Medicare shows only a Star Rating for this topic,78%,90%,97,4%,85%,75%,79%,71%
H3344,Local CCP,Independent Health,INDEPENDENT HEALTH BENEFITS CORPORATION,"Independent Health Association, Inc.",98%,0.0,No data available,0.30,100,36%,Medicare shows only a Star Rating for this topic,87%,93%,96,5%,85%,80%,83%,73%
H3347,Local CCP,Elderplan,"ELDERPLAN, INC.","Elderplan, Inc.",91%,1.9,No data available,0.54,100,20%,Medicare shows only a Star Rating for this topic,77%,87%,99,4%,86%,69%,69%,62%
H3351,Local CCP,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",92%,CMS identified issues with this plan's data,67%,0.11,100,2%,Medicare shows only a Star Rating for this topic,85%,94%,99,6%,81%,80%,82%,75%
H3359,Local CCP,Healthfirst Medicare Plan,"MANAGED HEALTH, INC.","Healthfirst, Inc.",87%,0.5,64%,0.16,80,8%,Medicare shows only a Star Rating for this topic,84%,90%,99,2%,90%,70%,69%,60%
H3361,Local CCP,WellCare,"WELLCARE OF NEW YORK, INC.","WellCare Health Plans, Inc.",92%,0.7,60%,0.40,80,16%,Medicare shows only a Star Rating for this topic,83%,90%,99,3%,89%,70%,70%,62%
H3362,Local CCP,Independent Health,"INDEPENDENT HEALTH ASSOCIATION, INC.","Independent Health Association, Inc.",98%,0.0,Not enough data available,0.12,80,6%,Medicare shows only a Star Rating for this topic,87%,95%,96,4%,84%,80%,82%,74%
H3370,Local CCP,Empire BlueCross BlueShield,"EMPIRE HEALTHCHOICE HMO, INC.","WellPoint, Inc.",96%,2.2,43%,0.44,60,7%,Medicare shows only a Star Rating for this topic,80%,88%,97,4%,83%,76%,79%,70%
H3379,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealth Group, Inc.",90%,0.0,No data available,0.57,0,6%,Medicare shows only a Star Rating for this topic,81%,No data available,99,5%,68%,83%,80%,74%
H3384,Local CCP,BCBS of WNY/BS of NENY/HealthNow New York Inc.,HEALTHNOW NEW YORK INC.,HealthNow New York Inc.,75%,CMS identified issues with this plan's data,Not enough data available,0.07,80,4%,Medicare shows only a Star Rating for this topic,85%,94%,99,4%,81%,81%,83%,76%
H3387,Local CCP,UnitedHealthcare Community Plan,"UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealth Group, Inc.",97%,16.4,No data available,0.55,0,27%,Medicare shows only a Star Rating for this topic,83%,No data available,99,6%,89%,74%,73%,66%
H3388,Local CCP,CDPHP Medicare Choices,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC.","Capital District Physicians' Health Plan, Inc.",97%,0.8,50%,0.05,100,2%,Medicare shows only a Star Rating for this topic,88%,93%,98,3%,82%,80%,85%,78%
H3404,Local CCP,Blue Cross and Blue Shield of North Carolina,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,85%,7.7,80%,0.33,100,10%,Medicare shows only a Star Rating for this topic,85%,90%,99,8%,84%,75%,78%,71%
H3405,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,98%,1.5,No data available,0.29,100,18%,Medicare shows only a Star Rating for this topic,85%,88%,98,1%,85%,75%,75%,69%
H3409,Demo,Optima Health Plan,OPTIMA HEALTH PLAN,Sentara Health Care (SHC),Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3421,PFFS,"America's 1st Choice Health Plans, Inc.","AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","America's 1st Choice Holdings of S.C., LLC",91%,0.0,Not enough data available,0.12,100,23%,Medicare shows only a Star Rating for this topic,84%,90%,99,9%,82%,64%,66%,61%
H3447,Local CCP,Anthem HealthKeepers,"HEALTHKEEPERS, INC.","WellPoint, Inc.",95%,Plan too new to be measured,Not enough data available,2.51,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3449,Local CCP,Blue Cross and Blue Shield of North Carolina,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,85%,2.9,41%,0.16,100,4%,Medicare shows only a Star Rating for this topic,87%,89%,99,9%,83%,76%,78%,71%
H3456,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF NORTH CAROLINA, INC.","UnitedHealth Group, Inc.",90%,0.1,66%,0.23,0,16%,Medicare shows only a Star Rating for this topic,86%,92%,99,8%,84%,72%,73%,65%
H3471,Local CCP,Health Alliance Medicare,"HEALTH ALLIANCE NORTHWEST HEALTH PLAN, INC.",Health Alliance Medical Plans,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3480,Demo,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3528,Local CCP,"ConnectiCare, Inc.","CONNECTICARE, INC.","EmblemHealth, Inc.",87%,2.2,Not enough data available,0.14,80,11%,Medicare shows only a Star Rating for this topic,78%,92%,98,3%,84%,78%,82%,76%
H3533,Local CCP,"Humana Health Company of New York, Inc.","HUMANA HEALTH COMPANY OF NEW YORK, INC.",Humana Inc.,98%,Not enough data available,No data available,Not enough data available,80,Not enough data available,Not enough data available,No data available,No data available,97,5%,92%,76%,75%,71%
