2014 Star View: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Organization Marketing Name,Contract Name,Parent Organization,DD1: Drug Plan Customer Service,,,"DD2: Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance ",,,,DD3: Member Experience with the Drug Plan,,DD4: Patient Safety and Accuracy of Drug Pricing,,,,,
H2643,Local CCP,L.A. Care Health Plan Medicare Advantage,LOCAL INITIATIVE HEALTH AUTHORITY FOR L.A. COUNTY,Local Initiative Health Authority for LA County,1,5,No data available,3,3,2,3,4,2,4,3,5,1,1,1
H2649,Local CCP,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,5,4,Not enough data available,3,5,5,4,4,4,4,5,4,5,5,4
H2654,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealth Group, Inc.",2,5,2,3,1,5,5,4,5,4,3,2,5,4,4
H2663,Local CCP,"Coventry Health Care of Missouri, Inc.","COVENTRY HEALTH CARE OF MISSOURI, INC",Aetna Inc.,3,4,Not enough data available,3,4,4,4,4,4,4,3,2,5,5,5
H2667,Local CCP,Coventry Health Care,"COVENTRY HEALTH CARE OF MISSOURI, INC",Aetna Inc.,3,2,No data available,5,4,5,4,2,4,4,3,2,5,5,5
H2672,Local CCP,COVENTRY HEALTH CARE,"COVENTRY HEALTH CARE OF KANSAS, INC.",Aetna Inc.,3,4,Not enough data available,4,4,4,3,4,4,4,3,4,3,3,4
H2676,Local CCP,Cigna-HealthSpring,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,1,Plan too new to be measured,No data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2701,Local CCP,New West Health Services,NEW WEST HEALTH SERVICES,New West Health Services,2,5,2,5,3,5,5,4,5,4,4,3,5,5,5
H2751,Demo,WellCare,"WELLCARE OF NEW YORK, INC.","WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2758,Local CCP,BeHealthy America Inc,"BEHEALTHY AMERICA, INC.","BHSA Investors, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2773,Local CCP,QUALITY HEALTH PLANS,"QUALITY HEALTH PLANS OF NEW YORK, INC.","QHP Financial Group, Inc.",4,Not enough data available,No data available,Not enough data available,4,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H2775,Local CCP,Universal American Corp.,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,3,5,Not enough data available,3,1,3,4,1,4,4,5,2,5,5,5
H2802,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDLANDS, INC.","UnitedHealth Group, Inc.",3,1,Not enough data available,4,1,5,4,4,4,4,4,1,5,5,5
H2810,Local CCP,"Group Health Options, Inc.",GROUP HEALTH OPTIONS,Group Health Cooperative,2,5,Not enough data available,3,5,5,3,1,4,4,3,5,4,5,5
H2816,PFFS,Universal American Corp.,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,3,5,No data available,3,1,4,4,3,4,4,5,2,5,5,5
H2836,Local CCP,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS, INC.","WellPoint, Inc.",4,1,Not enough data available,1,3,3,Not enough data available,1,2,3,4,3,5,5,4
H2879,Local CCP,Molina Healthcare of Wisconsin,MOLINA HEALTHCARE OF WISCONSIN,"Molina Healthcare, Inc.,",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2889,Demo,HHH Choices Complete,"HHH CHOICES HEALTH PLAN, LLC","HHCS, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2905,Local CCP,"Sierra Health and Life Insurance Company, Inc.","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealth Group, Inc.",3,5,Not enough data available,3,1,5,5,2,5,4,3,5,4,3,3
H2906,Local CCP,Senior Care Plus,HOMETOWN HEALTH PLAN,Renown Health,3,1,Not enough data available,5,4,2,1,4,3,4,3,1,4,5,5
H2911,Local CCP,"Vantage Health Plan, Inc.","VANTAGE HEALTH PLAN, INC.","Vantage Health Plan, Inc.",4,Plan too new to be measured,No data available,1,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2926,Local CCP,PrimeWest Health,PRIMEWEST CTRL COUNTY-BASED PURCHASING INTIATIVE,PrimeWest Central County-Based Purchasing Initiati,5,Not enough data available,No data available,Not enough data available,5,Not enough data available,Not enough data available,No data available,No data available,4,Not enough data available,1,5,5,5
H2931,Local CCP,"Health Plan of Nevada, Inc.","HEALTH PLAN OF NEVADA, INC.","UnitedHealth Group, Inc.",3,1,5,3,1,5,4,4,3,4,4,4,5,5,5
H2944,PFFS,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,5,4,Not enough data available,2,5,3,3,4,3,4,5,3,5,4,4
H2949,Local CCP,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,5,3,Not enough data available,3,5,5,4,4,2,4,5,5,4,4,4
H2960,Local CCP,Senior Care Plus,HOMETOWN HEALTH PLAN,Renown Health,3,1,2,4,4,5,4,4,4,4,4,5,5,5,5
H2962,Local CCP,Ultimate Health Plans,"ULTIMATE HEALTH PLANS, INC.","ULTIMATE HEALTH PLAN, INC.",3,Plan too new to be measured,No data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3018,Demo,Care Complete,"CENTERS PLAN FOR HEALTHY LIVING, LLC","Centers Plan for Healthy Living, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3054,Local CCP,Constellation Health,"CONSTELLATION HEALTH, LLC.","Constellation Health, LLC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3067,Demo,Virginia Premier Health Plan,"VIRGINIA PREMIER HEALTH PLAN, INC.",Virginia Cwlth University Hlth System Authority,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3071,Local CCP,"Community Care Alliance of Illinois, NFP","COMMUNITY CARE ALLIANCE OF ILLINOIS, NFP",Family Health Network,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3107,Local CCP,UnitedHealthcare,"OXFORD HEALTH PLANS (NJ), INC.","UnitedHealth Group, Inc.",3,4,5,1,1,4,5,1,3,4,4,4,3,3,2
H3113,Local CCP,UnitedHealthcare,"OXFORD HEALTH PLANS (NJ), INC.","UnitedHealth Group, Inc.",2,Not enough data available,No data available,Not enough data available,1,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,3,1,5,5,4
H3129,Demo,"North Shore-LIJ Health Plan, Inc","NORTH SHORE-LIJ HEALTH PLAN, INC.","North Shore-LI Jewish Health System, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3132,Local CCP,AHF,"AHF MCO OF FLORIDA, INC.",AIDS Healthcare Foundation,1,Not enough data available,No data available,Not enough data available,3,Not enough data available,Not enough data available,4,2,4,1,3,5,4,5
H3144,Local CCP,"Coventry Health Care of Illinois, Inc.","COVENTRY HEALTH CARE OF ILLINOIS, INC.",Aetna Inc.,3,Not enough data available,No data available,Not enough data available,4,Not enough data available,Not enough data available,No data available,No data available,4,4,4,5,4,5
H3152,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (NJ)",Aetna Inc.,5,2,4,4,1,5,4,1,4,4,5,2,4,4,4
H3154,Local CCP,"Horizon Blue Cross Blue Shield of New Jersey, Inc.","HORIZON HEALTHCARE OF NEW JERSEY, INC.","Horizon Healthcare Services, Inc.",3,1,4,2,3,5,5,2,2,4,4,3,5,5,5
H3156,Local CCP,AmeriHealth 65 Preferred HMO,"AMERIHEALTH HMO, INC.",Independence Blue Cross,3,Not enough data available,Not enough data available,1,2,No data available,3,No data available,No data available,Not enough data available,3,1,4,5,5
H3204,Local CCP,Presbyterian Senior Care (HMO),PRESBYTERIAN HEALTH PLAN,Presbyterian Healthcare Services,1,1,Not enough data available,5,4,5,5,4,4,4,3,5,4,4,5
H3206,Local CCP,Presbyterian MediCare PPO,"PRESBYTERIAN INSURANCE COMPANY, INC.",Presbyterian Healthcare Services,1,5,No data available,3,3,5,3,4,4,4,3,4,4,5,5
H3209,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",2,5,No data available,2,1,5,3,4,2,4,2,2,2,1,2
H3237,Demo,Health Net Community Solutions,"HEALTH NET COMMUNITY SOLUTIONS, INC.","Health Net, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3240,Local CCP,Amerigroup Community Care,"AMERIGROUP NEW JERSEY, INC.","WellPoint, Inc.",2,1,Not enough data available,1,3,1,4,2,2,4,5,5,3,1,1
H3251,Local CCP,Lovelace Medicare Plan,"LOVELACE HEALTH SYSTEM, INC.",Ardent Health Services.,2,1,Not enough data available,3,4,2,3,4,3,3,5,4,3,4,4
H3259,Local CCP,BlueCare Plus Tennessee,VOLUNTEER STATE HEALTH PLAN,BlueCross BlueShield of Tennessee,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3283,Local CCP,Medica Health Plans,MEDICA HEALTH PLANS,Medica Holding Company,5,Not enough data available,No data available,Not enough data available,5,Not enough data available,Not enough data available,No data available,No data available,3,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H3305,Local CCP,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",5,3,Not enough data available,5,5,4,4,4,4,4,3,1,5,5,5
H3307,Local CCP,UnitedHealthcare,"OXFORD HEALTH PLANS (NY), INC.","UnitedHealth Group, Inc.",2,5,3,3,1,4,5,1,4,4,5,3,4,4,3
H3312,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (NY)",Aetna Inc.,5,1,5,3,1,5,4,2,3,4,5,2,4,5,4
H3327,Local CCP,Touchstone Health,"TOUCHSTONE HEALTH HMO, INC.","Touchstone Health Partnership, Inc",5,5,No data available,1,2,2,3,4,3,4,5,4,2,2,2
H3328,Local CCP,Fidelis Care,"THE NEW YORK STATE CATHOLIC HEALTH PLAN, INC.","The New York State Catholic Health Plan, Inc.",1,1,Not enough data available,1,1,3,3,4,3,4,5,5,2,2,2
H3330,Local CCP,EmblemHealth Medicare HMO,HEALTH INSURANCE PLAN OF GREATER NEW YORK,"EmblemHealth, Inc.",1,4,Not enough data available,4,3,5,4,4,4,4,5,4,5,4,4
H3333,PFFS,Universal American Corp.,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,3,Not enough data available,No data available,2,1,4,3,2,4,4,5,1,4,5,5
H3335,Local CCP,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",3,5,Not enough data available,5,5,5,4,4,5,4,3,2,5,5,5
H3337,Local CCP,Liberty Health Advantage,"LIBERTY HEALTH ADVANTAGE, INC.","Liberty Health Advantage, Inc.",4,5,No data available,2,2,1,5,2,2,4,5,5,2,1,1
H3342,Local CCP,Empire BlueCross BlueShield,"EMPIRE HEALTHCHOICE ASSURANCE, INC.","WellPoint, Inc.",4,3,5,1,3,4,2,1,3,3,4,3,4,5,4
H3344,Local CCP,Independent Health,INDEPENDENT HEALTH BENEFITS CORPORATION,"Independent Health Association, Inc.",5,5,No data available,3,5,1,3,4,4,3,4,3,5,5,4
H3347,Local CCP,Elderplan,"ELDERPLAN, INC.","Elderplan, Inc.",3,2,No data available,1,5,2,3,1,1,4,4,4,2,2,1
H3351,Local CCP,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",3,1,2,4,5,5,3,4,5,4,3,1,5,5,5
H3359,Local CCP,Healthfirst Medicare Plan,"MANAGED HEALTH, INC.","Healthfirst, Inc.",1,4,2,4,4,5,5,4,3,4,5,5,2,2,1
H3361,Local CCP,WellCare,"WELLCARE OF NEW YORK, INC.","WellCare Health Plans, Inc.",3,4,2,2,4,2,5,2,3,4,5,5,2,2,1
H3362,Local CCP,Independent Health,"INDEPENDENT HEALTH ASSOCIATION, INC.","Independent Health Association, Inc.",5,5,Not enough data available,4,4,5,5,5,5,3,4,2,5,5,4
H3370,Local CCP,Empire BlueCross BlueShield,"EMPIRE HEALTHCHOICE HMO, INC.","WellPoint, Inc.",4,2,1,2,3,5,1,1,2,3,4,2,4,5,3
H3379,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealth Group, Inc.",2,5,No data available,1,1,5,3,2,No data available,4,4,1,5,5,4
H3384,Local CCP,BCBS of WNY/BS of NENY/HealthNow New York Inc.,HEALTHNOW NEW YORK INC.,HealthNow New York Inc.,1,1,Not enough data available,5,4,5,5,4,5,4,4,1,5,5,5
H3387,Local CCP,UnitedHealthcare Community Plan,"UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealth Group, Inc.",5,1,No data available,1,1,1,5,3,No data available,4,3,5,4,3,2
H3388,Local CCP,CDPHP Medicare Choices,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC.","Capital District Physicians' Health Plan, Inc.",5,4,1,5,5,5,5,5,5,4,5,2,5,5,5
H3404,Local CCP,Blue Cross and Blue Shield of North Carolina,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,1,1,4,2,5,4,3,4,3,4,3,2,4,4,4
H3405,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,5,3,No data available,3,5,2,3,4,2,4,5,3,4,4,3
H3409,Demo,Optima Health Plan,OPTIMA HEALTH PLAN,Sentara Health Care (SHC),Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3421,PFFS,"America's 1st Choice Health Plans, Inc.","AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","America's 1st Choice Holdings of S.C., LLC",3,5,Not enough data available,4,5,1,1,4,3,4,2,2,1,1,1
H3447,Local CCP,Anthem HealthKeepers,"HEALTHKEEPERS, INC.","WellPoint, Inc.",4,Plan too new to be measured,Not enough data available,1,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3449,Local CCP,Blue Cross and Blue Shield of North Carolina,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,1,2,1,4,5,5,1,4,2,4,2,2,4,4,4
H3456,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF NORTH CAROLINA, INC.","UnitedHealth Group, Inc.",2,5,2,3,1,2,5,4,4,4,3,2,3,3,2
H3471,Local CCP,Health Alliance Medicare,"HEALTH ALLIANCE NORTHWEST HEALTH PLAN, INC.",Health Alliance Medical Plans,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3480,Demo,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3528,Local CCP,"ConnectiCare, Inc.","CONNECTICARE, INC.","EmblemHealth, Inc.",1,2,Not enough data available,4,4,4,3,1,4,4,5,2,5,5,5
H3533,Local CCP,"Humana Health Company of New York, Inc.","HUMANA HEALTH COMPANY OF NEW YORK, INC.",Humana Inc.,5,Not enough data available,No data available,Not enough data available,4,Not enough data available,Not enough data available,No data available,No data available,3,4,5,4,4,4
H3536,Local CCP,Anthem Blue Cross and Blue Shield,"MATTHEW THORNTON HEALTH PLAN, INC.","WellPoint, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3597,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (ME)",Aetna Inc.,5,5,Not enough data available,3,1,5,3,2,4,4,5,2,5,5,5
H3620,Local CCP,PrimeTime Health Plan,AULTCARE INSURANCE COMPANY,Aultman Health Foundation,3,5,No data available,5,4,No data available,3,4,4,3,3,2,4,5,4
H3623,Local CCP,Aetna Medicare,"AETNA HEALTH,  INC. (PA)",Aetna Inc.,5,5,Not enough data available,2,1,5,5,2,4,4,4,2,3,4,3
H3635,Local CCP,HHH Choices Gold,"HHH CHOICES HEALTH PLAN, LLC","HHCS, Inc.",2,Plan too new to be measured,No data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3653,Local CCP,Paramount Elite,"PARAMOUNT CARE, INC.",Promedica Health System,2,1,Not enough data available,5,5,5,5,4,4,4,4,1,4,5,4
H3655,Local CCP,Anthem Blue Cross and Blue Shield,COMMUNITY INSURANCE COMPANY,"WellPoint, Inc.",4,4,4,3,2,5,5,2,4,3,3,1,4,5,4
H3659,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF OHIO, INC.","UnitedHealth Group, Inc.",2,1,3,3,1,5,5,2,4,4,3,2,4,4,4
H3660,Local CCP,SummaCare Medicare Advantage Plans,SUMMACARE INC.,Summa Health System,4,5,Not enough data available,5,4,5,5,5,5,4,4,2,5,5,5
H3664,Local CCP,PrimeTime Health Plan,AULTCARE INSURANCE COMPANY,Aultman Health Foundation,3,5,Not enough data available,5,4,5,5,4,5,3,3,2,4,5,4
H3668,Local CCP,MediGold,"MOUNT CARMEL HEALTH PLAN, INC.",Trinity Health,4,2,3,4,5,5,5,5,4,4,4,2,5,5,5
H3672,Local CCP,The Health Plan,HOMETOWN HEALTH PLAN,Health Plan of the Upper Ohio Valley,3,5,Not enough data available,4,5,5,4,4,5,4,3,2,4,5,5
H3706,Local CCP,Universal American Corp.,"TODAYS OPTIONS OF OKLAHOMA, INC.",Universal American Corp.,3,3,Not enough data available,3,1,5,4,4,5,4,4,2,4,3,4
H3708,Local CCP,Universal American Corp.,"SELECTCARE OF OKLAHOMA, INC.",Universal American Corp.,3,Not enough data available,No data available,Not enough data available,1,Not enough data available,Not enough data available,No data available,No data available,4,1,1,Not enough data available,5,5
H3712,Local CCP,Preferred Medical Plan,"PREFERRED MEDICAL PLAN, INC.","Preferred Medical Plan, Inc.",1,Plan too new to be measured,No data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3749,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF OKLAHOMA, INC.","UnitedHealth Group, Inc.",3,1,2,3,1,5,4,4,4,4,2,3,3,3,4
H3755,Local CCP,CommunityCare Senior Health Plan (HMO),"COMMUNITY CARE HMO, INC","CommunityCare Managed Healthcare Plans of OK, Inc.",1,4,Not enough data available,3,5,5,3,4,4,4,1,4,3,4,4
H3794,Local CCP,UnitedHealthcare,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3805,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF OREGON, INC.","UnitedHealth Group, Inc.",3,5,4,3,1,5,4,4,4,4,3,2,5,5,5
H3810,Local CCP,CareSource,MID ROGUE INDEPENDENT PHYSICIAN ASSOCIATION,Mid Rogue IPA Holding Company,3,5,No data available,5,4,5,4,5,5,4,2,2,5,5,5
H3811,Local CCP,Samaritan Advantage Health Plan,"SAMARITAN HEALTH PLANS, INC.",Samaritan Health Services,1,1,No data available,5,4,5,4,4,5,4,2,4,5,5,5
H3812,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",2,4,5,3,1,4,5,4,4,4,3,5,4,4,5
H3813,Local CCP,"MODA Health Plan, Inc.","MODA HEALTH PLAN, INC.","Health Services Group, Inc.",3,1,No data available,4,5,5,3,4,5,4,3,5,5,5,5
H3814,Local CCP,ATRIO Health Plans,ATRIO HEALTH PLANS,ATRIO Health Plans,4,5,No data available,5,3,5,4,4,4,4,1,2,5,4,5
H3815,Local CCP,Citizens Choice Healthplan,CITIZENS CHOICE HEALTHPLAN,Honored Citizens Choice Health Plan,1,1,5,4,4,3,4,5,2,4,5,5,2,2,2
H3817,Local CCP,Regence BlueCross BlueShield of Oregon,REGENCE BLUECROSS BLUESHIELD OF OREGON,"Cambia Health Solutions, Inc.",3,1,3,5,5,5,4,2,5,4,3,2,5,5,5
H3818,Local CCP,"FamilyCare Health Plans, Inc.","FAMILYCARE HEALTH PLANS, INC.",FamilyCare Incorporated,3,5,Not enough data available,5,4,4,3,1,2,4,2,2,3,3,5
H3822,Local CCP,"Blue Cross Blue Shield of IL, NM",HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,5,Plan too new to be measured,Not enough data available,1,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3832,Local CCP,Akamai Advantage by HMSA,HAWAII MEDICAL SERVICE ASSOCIATION,Hawaii Medical Service Association,4,5,Not enough data available,5,4,5,3,4,4,4,4,5,5,5,4
H3864,Local CCP,PacificSource Medicare,"PACIFICSOURCE COMMUNITY HEALTH PLANS, INC.",PacificSource Health Plans,3,1,Not enough data available,3,4,5,3,4,4,4,3,3,5,5,5
H3887,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",2,5,Not enough data available,1,1,4,5,1,2,4,5,3,3,3,2
H3907,Local CCP,UPMC Health Plan,"UPMC HEALTH PLAN, INC.",University of Pittsburgh Medical Center,5,4,Not enough data available,5,5,5,4,4,5,4,3,1,5,5,5
H3909,Local CCP,Personal Choice 65 PPO,QCC INSURANCE COMPANY,Independence Blue Cross,3,5,No data available,4,2,5,3,1,4,Not enough data available,3,1,5,5,5
H3912,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",2,5,Not enough data available,5,1,5,3,No data available,No data available,4,3,1,5,5,5
H3916,Local CCP,Highmark Health Services,HIGHMARK HEALTH SERVICES,Highmark,3,4,3,4,5,4,3,2,4,4,3,1,5,5,5
H3921,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",3,5,Not enough data available,2,1,3,5,2,5,4,3,2,4,4,4
H3923,Local CCP,Capital Advantage Insurance Company,CAPITAL ADVANTAGE INSURANCE COMPANY,Capital BlueCross,4,1,4,3,4,5,3,1,2,3,4,2,5,5,5
H3924,Local CCP,Geisinger Gold,GEISINGER INDEMNITY INSURANCE COMPANY,Geisinger Health System,1,5,Not enough data available,3,4,3,4,4,5,4,5,2,5,5,5
H3928,Local CCP,"Coventry Health Care of Louisiana, Inc.","COVENTRY HEALTH CARE OF LOUISIANA, INC.",Aetna Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3931,Local CCP,Aetna Medicare,"AETNA HEALTH, INC, (PA)",Aetna Inc.,5,5,4,3,1,5,5,1,4,4,5,2,5,5,4
