2011 Data View: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,
,,,Drug Plan Customer Service,,,,,,,Drug Plan Member Complaints and Medicare Audit Findings,,,Member Experience with Drug Plan,,,Drug Pricing and Patient Safety,,,,,
H1609,Coventry Health Care,"COVENTRY HEALTH CARE OF IOWA, INC.",0:33,0:41,69.2%,74.3,0.0,Not enough data available to calculate measure,94.0%,0.15,0.40,No data available,75.6%,82.1%,90.7%,99.1%,Not enough data available to calculate measure,17.4%,84.3%,,
H1657,WellCare,"HARMONY HEALTH PLANS OF ILLINOIS, INC.",0:33,0:28,76.4%,85.4,5.2,No appeals required review,Not enough data available to calculate measure,1.66,2.28,No data available,69.3%,74.7%,79.5%,99.7%,98.2,22.6%,87.2%,,
H1659,Piedmont Medicare Advantage,"PIEDMONT COMMUNITY HEALTHCARE, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H1681,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:06,1:09,76.2%,67.9,31.3,Not enough data available to calculate measure,74.1%,0.32,0.58,No data available,75.8%,82.1%,88.3%,99.7%,98.9,30.2%,87.7%,,
H1689,"Anthem Insurance Companies, Inc.","ANTHEM INSURANCE COMPANIES, INC.",0:49,0:45,57.5%,43.1,6.9,62.5%,100.0%,0.29,0.14,No data available,82.4%,80.9%,90.3%,100.0%,Not enough data available to calculate measure,22.0%,85.1%,,
H1716,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:06,1:09,76.2%,67.9,6.3,71.4%,65.7%,0.64,0.26,No data available,86.7%,81.5%,90.4%,99.6%,98.2,20.9%,82.8%,,
H1717,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:33,0:35,64.8%,70.7,0.0,No appeals required review,100.0%,1.03,0.34,No data available,75.4%,79.7%,87.2%,99.7%,97.2,21.1%,82.4%,,
H1777,"ArchCare Advantage,HMO","CATHOLIC SPECIAL NEEDS PLAN, LLC",0:22,1:00,46.7%,70.1,Not enough data available to calculate measure,No appeals required review,0.0%,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,96.7%,88.7,15.3%,78.1%,,
H1804,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:06,1:13,76.2%,67.9,10.7,46.2%,39.1%,1.79,0.65,No data available,82.4%,83.7%,91.3%,86.1%,98.1,20.4%,84.0%,,
H1806,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:02,1:06,76.2%,67.9,13.8,Not enough data available to calculate measure,70.3%,0.40,0.20,No data available,86.9%,84.2%,91.1%,99.9%,98.4,24.1%,83.6%,,
H1807,Passport Advantage,"UNIVERSITY HEALTH CARE, INC.",0:37,0:29,70.3%,41.0,22.0,Not enough data available to calculate measure,16.7%,0.15,0.15,No data available,81.3%,86.0%,89.7%,92.5%,97.9,37.7%,80.6%,,
H1837,Essence Healthcare,"ESSENCE HEALTHCARE, INC.",0:12,0:33,74.7%,60.8,1.9,Not enough data available to calculate measure,8.3%,0.35,0.21,No data available,85.8%,88.0%,93.8%,99.2%,94.2,15.3%,87.0%,,
H1846,MediGold,MOUNT CARMEL HEALTH INSURANCE COMPANY,0:20,1:00,89.2%,85.4,Not enough data available to calculate measure,No appeals required review,100.0%,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,96.5%,98.2,25.0%,83.6%,,
H1849,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.",0:42,0:53,57.5%,43.1,8.1,Not enough data available to calculate measure,95.3%,0.14,0.07,No data available,85.6%,84.7%,92.7%,99.8%,Not enough data available to calculate measure,24.5%,79.0%,,
H1903,WellCare,"WELLCARE OF LOUISIANA, INC.",0:38,0:28,74.2%,84.0,0.0,No appeals required review,100.0%,0.20,0.25,No data available,79.6%,85.7%,89.6%,99.9%,97.5,32.8%,84.4%,,
H1906,"Humana Health Benefit Plan of LA, Inc.","HUMANA HEALTH BENEFIT PLAN OF LA, INC.",1:06,1:09,76.2%,67.9,11.7,Not enough data available to calculate measure,69.6%,0.50,0.11,No data available,84.5%,88.2%,92.9%,99.4%,97.7,29.9%,82.4%,,
H1944,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:38,0:38,64.8%,70.7,20.6,No appeals required review,100.0%,0.70,1.27,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.8%,96.5,5.4%,83.2%,,
H1951,Humana Health Benefit Plan of Louisiana Inc,HUMANA HEALTH BENEFIT PLAN OF LOUISIANA INC,1:06,1:09,76.2%,67.9,10.6,38.5%,66.7%,0.22,0.14,No data available,82.2%,85.6%,91.2%,99.7%,97.7,31.4%,85.1%,,
H1961,Peoples Health,"PEOPLES HEALTH, INC.",1:24,1:53,66.1%,72.9,0.0,Not enough data available to calculate measure,91.9%,0.08,0.09,No data available,82.7%,88.1%,92.9%,88.1%,95.8,32.2%,84.4%,,
H2001,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:38,0:38,64.8%,70.7,0.0,No appeals required review,100.0%,0.27,0.27,No data available,75.0%,78.6%,90.7%,99.6%,96.6,11.2%,79.4%,,
H2012,"Humana Health Plan, Inc","HUMANA HEALTH PLAN, INC.",1:06,1:09,76.2%,67.9,Plan too new to be measured,Not enough data available to calculate measure,69.4%,0.90,0.49,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.9%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H2029,"Humana Insurance of Puerto Rico, Inc.","HUMANA INSURANCE OF PUERTO RICO, INC.",1:16,1:07,80.0%,66.7,0.0,No appeals required review,58.0%,0.84,0.30,No data available,76.8%,83.0%,83.6%,Not enough data available to calculate measure,98.6,25.8%,89.7%,,
H2034,Community Care,"COMMUNITY CARE HEALTH PLAN, INC.",0:01,0:01,72.3%,82.6,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,97.1%,Not enough data available to calculate measure,Not enough data available to calculate measure,46.8%,,
H2108,Bravo Health,BRAVO HEALTH MID- ATLANTIC INC.,0:23,0:39,67.7%,74.3,3.4,50.0%,80.5%,0.43,0.42,No data available,70.7%,77.6%,84.7%,99.8%,99.9,14.4%,84.8%,,
H2111,Evercare® by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:29,0:38,64.8%,70.7,1.5,No appeals required review,97.6%,0.68,0.57,No data available,74.8%,78.3%,82.8%,99.8%,97.6,20.8%,81.3%,,
H2112,Aetna Medicare,"AETNA HEALTH, INC.",0:34,0:30,64.0%,50.7,5.8,73.3%,93.4%,0.52,0.49,No data available,82.2%,75.5%,87.0%,98.5%,98.3,7.3%,85.9%,,
H2161,Upper Peninsula Health Plan Plus (HMO SNP),"UPPER PENINSULA HEALTH PLAN, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H2165,HealthSpring Life & Health,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",0:42,0:47,78.6%,84.0,Plan too new to be measured,Not enough data available to calculate measure,66.7%,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.7%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H2169,UPMC Health Plan,UPMC HEALTH PLAN INC.,0:24,1:15,80.3%,65.3,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,Not enough data available to calculate measure,16.6%,82.6%,,
H2174,Trillium Advantage,TRILLIUM COMMUNITY HEALTH PLAN,0:12,0:31,84.3%,88.9,3.6,Not enough data available to calculate measure,14.3%,0.05,0.05,No data available,85.7%,85.3%,92.3%,99.8%,97.6,24.6%,83.6%,,
H2182,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:38,0:38,64.8%,70.7,6.4,No appeals required review,100.0%,0.53,0.45,No data available,77.2%,80.1%,88.1%,99.6%,97.7,16.9%,87.3%,,
H2224,Senior Whole Health,"SENIOR WHOLE HEALTH, LLC",0:34,1:15,65.3%,59.0,2.0,Not enough data available to calculate measure,9.1%,0.00,0.00,No data available,87.5%,89.2%,94.4%,97.8%,96.1,21.2%,80.1%,,
H2225,"Commonwealth Care Alliance, Inc.","COMMONWEALTH CARE ALLIANCE, INC.",0:10,1:15,63.9%,73.6,0.0,Not enough data available to calculate measure,Not enough data available to calculate measure,0.07,0.00,No data available,90.1%,88.9%,93.3%,99.4%,96.8,17.0%,87.8%,,
H2226,Evercare® by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:24,0:38,64.8%,70.7,0.0,No appeals required review,100.0%,0.08,0.00,No data available,79.9%,86.8%,89.7%,98.2%,97.7,18.1%,84.2%,,
H2228,Evercare® by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:29,0:38,64.8%,70.7,5.0,Not enough data available to calculate measure,85.7%,0.35,0.14,No data available,74.5%,80.7%,86.4%,99.6%,98.2,17.4%,81.1%,,
H2230,Blue Cross Blue Shield of Massachusetts,"BLUE CROSS AND BLUE SHIELD OF MA HMO BLUE, INC.",1:04,1:15,79.4%,79.2,0.0,No appeals required review,100.0%,0.08,0.08,No data available,85.0%,78.6%,90.0%,99.9%,93.2,11.0%,82.0%,,
H2237,iCare,"INDEPENDENT CARE HEALTH PLAN, INC.",0:28,0:13,66.3%,56.3,0.0,No appeals required review,Not enough data available to calculate measure,0.05,0.14,No data available,84.2%,83.7%,88.4%,99.7%,96.5,21.0%,90.2%,,
H2241,"Golden State Medicare Health Plan, Golden (HMO)",GOLDEN STATE MEDICARE HEALTH PLAN,0:15,0:16,88.9%,78.5,Plan too new to be measured,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H2256,Tufts Health Plan,"TUFTS ASSOCIATED HMO, INC.",1:31,0:53,79.9%,61.8,0.0,Not enough data available to calculate measure,81.5%,0.06,0.04,No data available,84.7%,86.0%,92.1%,97.1%,95.6,10.7%,82.5%,,
H2261,Blue Cross and Blue Shield of Massachusetts,"BLUE CROSS AND BLUE SHIELD OF MA HMO BLUE, INC.",1:04,1:15,79.4%,79.2,4.4,70.0%,100.0%,0.04,0.02,No data available,86.5%,79.8%,89.8%,99.7%,94.3,13.1%,80.2%,,
H2312,HAP Senior Plus,HEALTH ALLIANCE PLAN OF MICHIGAN,0:16,0:18,71.1%,81.8,0.0,Not enough data available to calculate measure,31.9%,0.14,0.09,No data available,85.8%,85.7%,93.3%,94.4%,97.4,19.6%,86.1%,,
H2320,Priority Health Medicare,PRIORITY HEALTH,1:27,0:50,77.3%,61.1,0.6,60.0%,0.0%,0.27,0.08,No data available,86.7%,85.8%,92.2%,95.4%,98.6,20.1%,84.0%,,
H2322,Alliance Medicare PPO,"ALLIANCE HEALTH AND LIFE INSURANCE, CO",0:23,0:18,71.1%,81.8,0.0,Not enough data available to calculate measure,41.0%,0.21,0.25,No data available,76.2%,79.3%,89.8%,90.3%,96.5,20.7%,82.5%,,
H2323,Fidelis SecureCare Of Michigan,FIDELIS SECURECARE OF MICHIGAN,0:32,0:19,47.9%,68.8,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.1%,95.4,21.4%,74.8%,,
H2354,HealthPlus of Michigan,HEALTHPLUS OF MICHIGAN,0:23,0:35,75.8%,20.1,0.0,No appeals required review,29.4%,0.15,0.05,No data available,86.9%,87.4%,94.6%,97.9%,95.5,24.5%,80.8%,,
H2406,Evercare® by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:25,0:38,64.8%,70.7,0.0,No appeals required review,96.4%,0.33,0.25,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.8%,Not enough data available to calculate measure,34.8%,72.2%,,
H2410,Medica Health Plans,MEDICA HEALTH PLANS,0:38,0:15,86.7%,81.9,22.5,Not enough data available to calculate measure,100.0%,0.22,0.06,No data available,77.1%,81.0%,89.3%,99.9%,98.1,15.4%,84.6%,,
H2416,PrimeWest Health,PRIMEWEST HEALTH SYSTEM,0:12,0:19,80.0%,93.8,0.0,Not enough data available to calculate measure,Not enough data available to calculate measure,0.00,0.00,No data available,91.3%,86.9%,94.1%,99.6%,97.5,22.3%,80.0%,,
H2417,Itasca Medical Care/IMCare Classic,ITASCA MEDICAL CARE,0:04,1:07,73.8%,11.1,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.7%,97.3,19.6%,82.6%,,
H2419,South Country Health Alliance,SOUTH COUNTRY HEALTH ALLIANCE,0:21,0:12,86.7%,76.4,0.0,No appeals required review,Not enough data available to calculate measure,0.00,0.63,No data available,83.9%,86.8%,95.1%,99.4%,97.9,19.4%,78.0%,,
H2422,HealthPartners Classic MN Senior Health Options,"HEALTHPARTNERS, INC.",0:15,0:17,80.3%,93.8,0.0,No appeals required review,Not enough data available to calculate measure,0.00,0.00,No data available,84.6%,85.5%,90.1%,99.9%,94.4,14.1%,77.0%,,
H2425,Blue Plus,BLUE PLUS,0:38,0:13,77.8%,83.1,2.0,Not enough data available to calculate measure,Not enough data available to calculate measure,0.03,0.02,No data available,82.2%,85.7%,90.4%,99.3%,97.8,20.8%,78.9%,,
H2456,UCare,UCARE MINNESOTA,0:23,1:12,86.9%,83.3,0.0,Not enough data available to calculate measure,75.0%,0.06,0.00,No data available,78.8%,84.0%,91.7%,99.8%,95.4,19.2%,79.6%,,
H2457,Metropolitan Health Plan MSHO,METROPOLITAN HEALTH PLAN,1:14,0:56,80.4%,81.3,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,81.7%,84.8%,90.3%,99.1%,96.7,14.3%,87.6%,,
H2458,Medica Health Plans,MEDICA HEALTH PLANS,0:27,0:15,86.7%,81.9,2.4,Not enough data available to calculate measure,76.9%,0.11,0.04,No data available,74.2%,85.9%,92.9%,99.5%,97,19.0%,81.2%,,
H2459,UCare,UCARE MINNESOTA,0:18,1:12,88.9%,89.0,0.2,20.0%,89.3%,0.05,0.06,No data available,87.0%,85.2%,93.4%,99.4%,96.5,13.5%,83.6%,,
H2486,Humana Medical Plan of Utah,HUMANA MEDICAL PLAN OF UTAH,1:09,1:10,76.2%,67.9,53.3,No appeals required review,62.5%,0.12,0.24,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.8%,102.2,20.2%,90.1%,,
H2491,WellCare,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.",0:46,0:34,75.2%,87.2,Not enough data available to calculate measure,No appeals required review,88.9%,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.7%,97.5,18.6%,93.1%,,
H2542,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:02,1:06,76.2%,67.9,5.4,Not enough data available to calculate measure,69.7%,0.36,0.23,No data available,86.0%,84.1%,90.1%,100.0%,98.2,19.8%,85.9%,,
H2593,"CareMore Health Plan of Arizona, Inc.","CAREMORE HEALTH PLAN OF ARIZONA, INC.",0:20,0:33,78.9%,84.0,Plan too new to be measured,No appeals required review,0.0%,0.33,0.20,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.9%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H2610,Essence Healthcare,"ESSENCE HEALTHCARE, INC.",0:21,0:33,74.7%,60.8,2.1,Not enough data available to calculate measure,5.2%,0.29,0.08,No data available,88.9%,90.5%,95.2%,98.8%,94.3,20.6%,82.3%,,
H2611,Mercy Health Plans,MERCY HEALTH PLANS,0:44,1:03,73.5%,59.3,0.0,No appeals required review,78.7%,0.41,0.38,No data available,88.7%,85.7%,93.3%,98.6%,96.2,24.2%,82.0%,,
H2613,Anthem Blue Cross and Blue Shield,HEALTHY ALLIANCE LIFE INSURANCE COMPANY,0:52,0:50,57.5%,43.1,5.4,Not enough data available to calculate measure,100.0%,1.07,0.56,No data available,76.2%,76.3%,87.1%,99.9%,Not enough data available to calculate measure,19.3%,84.5%,,
H2643,L.A. Care Health Plan Medicare Advantage,L. A. CARE HEALTH PLAN,0:49,0:19,72.3%,74.3,0.0,No appeals required review,Not enough data available to calculate measure,1.01,0.40,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,98.5,21.3%,92.5%,,
H2649,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",1:06,1:09,76.2%,67.9,9.2,60.0%,64.3%,0.26,0.17,No data available,83.6%,86.6%,93.6%,99.6%,98.4,21.8%,85.1%,,
H2654,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDWEST, INC.",0:35,0:35,64.8%,70.7,2.6,Not enough data available to calculate measure,97.8%,0.18,0.25,20,79.1%,83.5%,92.9%,98.8%,97.4,15.2%,82.8%,,
H2663,"Group Health Plan, Inc.","GROUP HEALTH PLAN, INC.",0:28,0:41,69.2%,74.3,0.4,No appeals required review,94.7%,0.21,0.15,No data available,76.4%,80.4%,90.4%,99.2%,Not enough data available to calculate measure,22.5%,81.8%,,
H2667,"Mercy Health Plans of Missouri, Inc.",MERCY HEALTH PLANS OF MISSOURI INC.,0:46,1:03,73.5%,59.3,0.0,Not enough data available to calculate measure,38.9%,0.06,0.09,No data available,85.7%,87.1%,92.9%,98.9%,96.2,22.4%,79.9%,,
H2672,COVENTRY HEALTH CARE,"COVENTRY HEALTH CARE OF KANSAS, INC.",0:33,0:41,69.2%,74.3,0.0,Not enough data available to calculate measure,91.8%,0.12,0.16,No data available,82.1%,84.0%,91.1%,99.2%,Not enough data available to calculate measure,21.8%,83.2%,,
H2701,New West Health Services,NEW WEST HEALTH SERVICES,0:53,1:20,79.9%,74.3,0.0,Not enough data available to calculate measure,53.8%,0.00,0.04,No data available,90.0%,81.5%,92.2%,98.4%,96.3,14.8%,84.4%,,
H2773,QUALITY HEALTH PLANS,"QUALITY HEALTH PLANS OF NEW YORK, INC.",0:46,0:55,76.6%,45.1,Plan too new to be measured,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H2775,Universal American,AMERICAN PROGRESSIVE LIFE & HEALTH INSURANCE OF NY,0:28,0:31,69.0%,67.4,0.0,No appeals required review,90.1%,0.69,0.71,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,97.8%,110.8,18.8%,93.9%,,
H2802,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDLANDS, INC.",0:36,0:35,64.8%,70.7,0.0,Not enough data available to calculate measure,100.0%,0.15,0.11,No data available,70.9%,83.4%,91.0%,99.1%,97.1,14.6%,76.4%,,
H2803,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:32,0:35,64.8%,70.7,1.8,No appeals required review,97.0%,0.70,0.31,No data available,81.8%,83.0%,91.7%,99.7%,97.3,14.9%,82.2%,,
H2810,"Group Health Options, Inc.",GROUP HEALTH OPTIONS,0:59,0:31,72.3%,73.6,Plan too new to be measured,No appeals required review,96.8%,0.37,0.12,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,98.8%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H2816,Universal American,AMERICAN PROGRESSIVE LIFE & HEALTH INSUR CO OF NY,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H2899,Southeast Community Care,"ARCADIAN HEALTH PLAN OF NORTH CAROLINA, INC.",0:45,1:05,74.4%,54.2,0.0,No appeals required review,88.4%,0.32,0.48,No data available,74.2%,79.7%,83.7%,99.7%,98.8,21.8%,84.3%,,
H2905,"Sierra Health and Life Insurance Company, Inc.","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.",1:18,2:40,59.5%,29.7,0.0,Not enough data available to calculate measure,94.9%,0.41,0.65,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.8%,97.1,10.1%,80.6%,,
H2906,Senior Care Plus,HOMETOWN HEALTH PLAN,0:13,0:55,73.6%,11.8,Not enough data available to calculate measure,No appeals required review,0.0%,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,95.5,24.9%,93.9%,,
H2926,PrimeWest Health,PRIMEWEST HEALTH SYSTEM,0:06,0:19,80.0%,93.8,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.5%,106.2,Not enough data available to calculate measure,80.5%,,
H2931,"Health Plan of Nevada, Inc.","HEALTH PLAN OF NEVADA, INC.",2:19,2:49,59.5%,25.6,0.0,No appeals required review,31.6%,0.55,0.83,No data available,82.0%,81.4%,89.2%,98.8%,96.2,14.3%,78.8%,,
H2944,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:06,1:09,76.2%,67.9,Plan too new to be measured,38.5%,74.0%,0.49,0.18,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.3%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H2949,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",1:12,1:13,76.2%,67.9,3.5,66.7%,59.6%,0.26,0.20,No data available,78.7%,83.2%,90.8%,99.9%,98.7,20.5%,85.3%,,
H2960,Senior Care Plus,HOMETOWN HEALTH PLAN,0:13,0:55,73.6%,11.8,0.0,Not enough data available to calculate measure,0.0%,0.09,0.00,No data available,84.0%,85.4%,92.0%,99.2%,95.9,19.6%,86.9%,,
H2997,Anthem Blue Cross and Blue Shield,"ROCKY MOUNTAIN HOSPITAL AND MEDICAL SERVICES, INC.",0:27,0:42,57.5%,43.4,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.2%,Not enough data available to calculate measure,20.4%,87.9%,,
H3028,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",1:09,1:10,76.2%,67.9,0.0,No appeals required review,Not enough data available to calculate measure,0.70,0.70,No data available,77.9%,81.3%,88.3%,100.0%,99.5,20.1%,89.9%,,
H3044,Welborn Health Plans,"NHP OF INDIANA, LLC",0:31,1:03,77.3%,49.3,0.0,Not enough data available to calculate measure,Not enough data available to calculate measure,0.14,0.07,No data available,88.1%,86.1%,94.3%,96.8%,97.4,25.9%,79.7%,,
H3107,SecureHorizons by UnitedHealthcare,"OXFORD HEALTH PLANS (NJ), INC.",0:20,0:38,64.8%,70.7,4.9,Not enough data available to calculate measure,97.4%,0.77,0.55,20,85.6%,77.6%,87.0%,99.6%,97.2,11.1%,83.8%,,
H3113,Evercare® by UnitedHealthcare,"OXFORD HEALTH PLANS (NJ), INC.",0:25,0:38,64.8%,70.7,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.6%,97.2,20.8%,79.1%,,
H3132,Positive Healthcare Partners,"AHF MCO OF FLORIDA, INC.",0:47,2:18,57.5%,69.4,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.9%,Not enough data available to calculate measure,14.3%,86.2%,,
H3152,Aetna Medicare,"AETNA HEALTH, INC.",0:34,0:30,64.0%,50.7,12.9,69.2%,93.6%,0.35,0.12,No data available,78.9%,75.7%,86.7%,99.6%,97.7,6.5%,83.5%,,
H3154,"Horizon Blue Cross Blue Shield of New Jersey, Inc.","HORIZON HEALTHCARE OF NEW JERSEY, INC.",0:38,1:00,65.3%,50.0,2.3,45.8%,91.9%,0.89,0.32,No data available,74.0%,75.6%,86.9%,99.5%,97.4,12.8%,83.4%,,
H3156,AmeriHealth 65,AMERIHEALTH HMO_INC,0:19,0:49,80.0%,80.6,0.0,No appeals required review,84.6%,1.03,0.10,No data available,75.3%,74.3%,85.5%,94.7%,98.6,16.9%,80.7%,,
H3164,AmeriChoice Personal Care Plus,"AMERICHOICE OF NEW JERSEY, INC",0:33,0:40,40.6%,63.1,11.1,No appeals required review,100.0%,0.21,0.32,No data available,73.9%,75.1%,80.0%,99.8%,98,23.8%,86.9%,,
H3204,Presbyterian Senior Care (HMO),PRESBYTERIAN HEALTH PLAN,0:45,0:50,72.6%,72.2,0.0,Not enough data available to calculate measure,0.0%,0.09,0.02,No data available,77.0%,86.8%,93.0%,99.1%,98.5,20.6%,83.5%,,
H3206,Presbyterian MediCare PPO,"PRESBYTERIAN INSURANCE COMPANY, INC.",0:45,0:41,72.6%,72.2,0.0,Not enough data available to calculate measure,0.0%,0.23,0.13,No data available,80.8%,81.2%,90.5%,49.2%,98.8,22.7%,82.6%,,
H3209,Evercare® by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:27,0:35,64.8%,70.7,0.0,No appeals required review,Not enough data available to calculate measure,0.28,0.28,No data available,78.1%,79.3%,87.1%,99.8%,96.8,21.6%,86.2%,,
