Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary  Hold Time - DMC09,Call Center – Information Accuracy - DMC10,Pneumonia Vaccine - DMC11,Access to Primary Care Doctor Visits - DMC12,Grievances - DMC13,Special Needs Plan (SNP) Care Management - DMC14,Calls Disconnected When Customer Calls Health Plan - DMC15,Timely Receipt of Case Files - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Call Center – Information Accuracy - DMD05,Drug-Drug Interactions - DMD06,Diabetes Medication Dosing - DMD07,Completeness of the Drug Plan's Information on Members Who Need Extra Help - DMD08,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD09,MPF - Stability - DMD10,Grievance Rate - DMD11,Medication Therapy Management Program Completion Rate for Comprehensive Medication Reviews - DMD12,Atypical Antipsychotic Rate - DMD13
H2012,"HUMANA HEALTH PLAN, INC.",Humana Inc.,Local CCP,47%,98%,59%,89%,91%,73%,Not enough data available,90%,0:40,89%,66%,95%,2.11,Not enough data available,0.41%,83.33%,100.00%,0.41%,0:40,87.13%,7.5%,0.7%,99.90%,100%,99,2.11,3.6%,29.41%
H2029,"HUMANA INSURANCE OF PUERTO RICO, INC.",Humana Inc.,Local CCP,Not enough data available,86%,Not enough data available,Not enough data available,93%,78%,Not enough data available,91%,0:38,93%,33%,95%,1.52,Plan not required to report measure,1.88%,No data available,No data available,1.88%,0:38,86.64%,4.1%,0.6%,No data available,100%,99,1.52,11.8%,No data available
H2034,"COMMUNITY CARE HEALTH PLAN, INC.","Community Care, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:02,Plan not required to report measure,Not enough data available,Plan too small to be measured,Not enough data available,100.0%,0.83%,No data available,No data available,0.83%,0:02,Plan not required to report measure,7.1%,0.0%,99.20%,96%,99,No data available,8.2%,No Data Available
H2038,HUMANA INSURANCE COMPANY,Humana Inc.,PFFS,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2108,BRAVO HEALTH MID- ATLANTIC INC.,CIGNA,Local CCP,40%,87%,41%,85%,93%,59%,45%,89%,0:37,83%,66%,94%,1.75,24.0%,1.35%,100.00%,No data available,1.35%,0:37,75.00%,7.1%,0.6%,99.80%,100%,98,1.75,1.8%,17.83%
H2111,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available,86%,Not enough data available,Not enough data available,98%,47%,24%,Not enough data available,0:20,Plan not required to report measure,Not enough data available,97%,1.63,87.6%,0.00%,No data available,No data available,0.00%,0:20,Plan not required to report measure,11.3%,2.6%,99.90%,100%,98,1.63,0.3%,21.01%
H2112,"AETNA HEALTH, INC. (PA)",Aetna Inc.,Local CCP,Not enough data available,93%,60%,Not enough data available,91%,73%,29%,89%,0:22,90%,73%,96%,11.30,Plan not required to report measure,0.77%,100.00%,No data available,0.77%,0:22,83.60%,7.0%,0.9%,99.90%,100%,99,11.30,27.1%,35.29%
H2150,KAISER FNDN HP OF THE MID-ATLANTIC STS,"Kaiser Foundation Health Plan, Inc.",1876 Cost,72%,85%,52%,86%,91%,78%,55%,92%,Not enough data available,Not enough data available,84%,96%,4.97,Plan not required to report measure,Not enough data available,No data available,No data available,No data available,No data available,No data available,3.5%,0.9%,99.00%,96%,99,4.97,33.0%,15.34%
H2161,"UPPER PENINSULA HEALTH PLAN, INC.","UPPER PENINSULA HEALTH PLAN, INC.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:15,Plan not required to report measure,Not enough data available,Plan too small to be measured,Not enough data available,Not enough data available,0.83%,No data available,No data available,8.33%,1:45,Plan not required to report measure,No Data Available,No Data Available,90.40%,100%,No Data Available,No data available,No Data Available,No data available
H2165,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,Local CCP,Not enough data available,82%,Not enough data available,Not enough data available,93%,67%,Not enough data available,90%,0:04,85%,65%,97%,8.78,Not enough data available,0.17%,No data available,No data available,0.17%,0:04,79.32%,6.5%,2.7%,99.50%,100%,99,8.78,21.0%,No data available
H2174,TRILLIUM COMMUNITY HEALTH PLAN,"Agate Resources,  Inc.",Local CCP,47%,97%,68%,Not enough data available,92%,65%,26%,87%,0:06,87%,65%,94%,3.08,62.1%,0.00%,No data available,No data available,0.00%,0:06,86.92%,6.6%,1.3%,99.70%,100%,98,3.08,93.5%,23.08%
H2182,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,49%,86%,53%,71%,92%,67%,Not enough data available,90%,0:24,86%,62%,94%,8.02,Plan not required to report measure,0.19%,80.00%,No data available,0.19%,0:24,74.60%,5.7%,1.1%,99.70%,100%,99,8.02,0.8%,No Data Available
H2224,"SENIOR WHOLE HEALTH, LLC","SWH Holdings, Inc.",Local CCP,Not enough data available,99%,59%,98%,92%,71%,26%,90%,0:10,Plan not required to report measure,63%,99%,1.90,Data issues found,1.67%,No data available,No data available,1.67%,0:10,Plan not required to report measure,7.8%,1.1%,98.90%,100%,No Data Available,1.90,4.3%,26.65%
H2225,"COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.",Local CCP,Not enough data available,96%,63%,80%,92%,68%,23%,92%,0:14,Plan not required to report measure,68%,99%,2.06,89.8%,0.83%,100.00%,100.00%,0.83%,0:14,Plan not required to report measure,5.1%,0.9%,98.50%,100%,97,2.06,11.1%,26.98%
H2226,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available,86%,35%,Not enough data available,93%,72%,8%,Not enough data available,0:26,Plan not required to report measure,68%,99%,12.15,92.7%,0.00%,No data available,100.00%,0.00%,0:26,Plan not required to report measure,6.7%,1.1%,99.90%,100%,99,12.15,0.4%,24.02%
H2228,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available,86%,Not enough data available,Not enough data available,100%,58%,10%,Not enough data available,0:23,Plan not required to report measure,Not enough data available,100%,0.44,78.9%,0.00%,No data available,No data available,0.00%,0:23,Plan not required to report measure,11.7%,0.4%,99.90%,100%,No Data Available,0.44,0.0%,23.15%
H2230,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.","Blue Cross and Blue Shield of Massachusetts, Inc.",Local CCP,80%,76%,62%,78%,92%,88%,Not enough data available,91%,0:53,86%,77%,98%,0.41,Plan not required to report measure,0.00%,0.00%,100.00%,0.00%,0:53,81.70%,5.3%,1.2%,99.80%,100%,101,0.41,4.9%,27.78%
H2237,"INDEPENDENT CARE HEALTH PLAN, INC.",Independent Care Health Plan Inc.,Local CCP,40%,72%,70%,Not enough data available,90%,62%,43%,91%,1:06,Plan not required to report measure,55%,93%,0.13,82.2%,0.00%,0.00%,No data available,0.00%,1:06,Plan not required to report measure,6.8%,0.6%,99.80%,100%,99,0.13,7.9%,No Data Available
H2241,GOLDEN STATE MEDICARE HEALTH PLAN,Golden State Medicare Health Plan,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:12,92%,Not enough data available,Plan too small to be measured,Not enough data available,Plan not required to report measure,0.00%,No data available,No data available,0.00%,0:12,83.49%,10.0%,0.0%,99.40%,96%,100,No data available,No Data Available,No data available
H2256,"TUFTS ASSOCIATED HMO, INC.","TAHMO, Inc.",Local CCP,91%,88%,55%,92%,95%,86%,46%,92%,0:39,86%,83%,98%,Not enough data available,Not enough data available,0.83%,86.67%,84.62%,0.83%,0:39,79.93%,5.4%,0.9%,99.70%,100%,100,No data available,9.8%,23.06%
H2261,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.","Blue Cross and Blue Shield of Massachusetts, Inc.",Local CCP,Not enough data available,76%,62%,71%,93%,86%,27%,91%,0:53,86%,81%,97%,0.15,Plan not required to report measure,0.00%,No data available,No data available,0.00%,0:53,81.70%,6.3%,0.6%,99.70%,100%,100,0.15,4.0%,22.04%
H2312,HEALTH ALLIANCE PLAN OF MICHIGAN,Health Alliance Plan (HAP),Local CCP,80%,71%,63%,98%,91%,78%,39%,92%,0:56,81%,79%,96%,Not enough data available,Plan not required to report measure,0.63%,100.00%,100.00%,0.63%,0:56,79.11%,5.2%,1.6%,99.40%,100%,99,No data available,No data available,20.00%
H2320,PRIORITY HEALTH,Spectrum Health System,Local CCP,68%,62%,66%,91%,94%,86%,51%,92%,1:45,84%,80%,97%,2.48,Plan not required to report measure,0.83%,100.00%,100.00%,0.83%,1:45,69.37%,5.2%,1.4%,99.90%,100%,100,2.48,No data available,19.00%
H2322,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,Health Alliance Plan (HAP),Local CCP,Not enough data available,70%,72%,Not enough data available,90%,83%,46%,92%,1:04,81%,76%,97%,Not enough data available,Plan not required to report measure,0.00%,No data available,No data available,0.00%,1:04,79.11%,5.9%,1.2%,98.60%,100%,99,No data available,Data issues found,No Data Available
H2323,FIDELIS SECURECARE OF MICHIGAN,"Fidelis SeniorCare, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:17,Plan not required to report measure,Not enough data available,Plan too small to be measured,1.17,86.4%,0.00%,No data available,No data available,0.00%,0:17,Plan not required to report measure,7.1%,0.0%,100.00%,88%,98,1.17,0.0%,20.22%
H2354,HEALTHPLUS OF MICHIGAN,HealthPlus of Michigan,Local CCP,82%,85%,61%,97%,93%,81%,50%,90%,0:16,82%,77%,97%,0.14,Not enough data available,0.00%,No data available,No data available,0.00%,0:16,78.06%,8.2%,1.6%,98.60%,100%,100,0.14,41.2%,7.14%
H2406,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available,86%,Not enough data available,Not enough data available,100%,52%,6%,Not enough data available,0:23,Plan not required to report measure,Not enough data available,99%,0.40,97.0%,0.00%,No data available,No data available,0.00%,0:23,Plan not required to report measure,10.3%,1.0%,99.80%,100%,No Data Available,0.40,0.0%,21.97%
H2410,MEDICA HEALTH PLANS,Medica Holding Company,PFFS,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:57,82%,Not enough data available,Plan too small to be measured,Not enough data available,Plan not required to report measure,0.00%,No data available,No data available,0.00%,0:57,80.26%,4.1%,0.0%,100.00%,100%,99,No data available,No Data Available,No data available
H2411,FALLON COMMUNITY HEALTH PLAN,Fallon Community Health Plan,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Not enough data available,Plan not required to report measure,Not enough data available,No data available,No data available,No data available,No data available,No data available,9.2%,No Data Available,100.00%,100%,No Data Available,No data available,4.3%,No Data Available
H2416,PRIMEWEST HEALTH SYSTEM,PrimeWest Central County-Based Purchasing Initiati,Local CCP,Not enough data available,85%,Not enough data available,Not enough data available,96%,57%,24%,93%,0:14,Plan not required to report measure,78%,99%,0.00,93.2%,0.00%,100.00%,No data available,0.00%,0:14,Plan not required to report measure,13.9%,0.2%,99.90%,100%,99,0.00,5.1%,16.10%
H2417,ITASCA MEDICAL CARE,Itasca County Health & Human Services,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,0:00,Plan not required to report measure,Not enough data available,Plan too small to be measured,Not enough data available,97.7%,0.83%,No data available,No data available,0.83%,0:00,Plan not required to report measure,8.6%,0.0%,99.80%,100%,98,No data available,2.2%,17.74%
H2419,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,Local CCP,Not enough data available,76%,Not enough data available,Not enough data available,94%,60%,Not enough data available,93%,0:18,Plan not required to report measure,83%,99%,Not enough data available,Data issues found,0.83%,No data available,No data available,0.83%,0:18,Plan not required to report measure,9.9%,0.6%,85.60%,100%,99,No data available,8.5%,19.08%
H2422,"HEALTHPARTNERS, INC.","HealthPartners, Inc.",Local CCP,Not enough data available,91%,Not enough data available,Not enough data available,95%,53%,25%,91%,0:07,Plan not required to report measure,79%,99%,0.91,94.7%,0.00%,No data available,No data available,0.00%,0:07,Plan not required to report measure,5.6%,1.9%,99.80%,100%,99,0.91,3.4%,24.32%
H2425,BLUE PLUS,Blue Cross and Blue Shield of Minnesota,Local CCP,47%,60%,63%,96%,95%,60%,21%,93%,0:51,Plan not required to report measure,76%,98%,1.24,Data issues found,0.00%,100.00%,100.00%,0.00%,0:51,Plan not required to report measure,9.4%,0.5%,98.70%,100%,99,1.24,3.6%,17.48%
H2450,MEDICA INSURANCE COMPANY,Medica Holding Company,1876 Cost,75%,58%,69%,91%,81%,78%,40%,92%,Not enough data available,Not enough data available,72%,96%,0.30,Plan not required to report measure,Not enough data available,100.00%,100.00%,No data available,No data available,No data available,6.0%,1.5%,97.90%,100%,99,0.30,8.6%,15.78%
H2456,UCARE MINNESOTA,UCare Minnesota,Local CCP,55%,79%,56%,85%,93%,53%,23%,94%,0:12,Plan not required to report measure,78%,98%,0.07,Data issues found,0.00%,100.00%,No data available,0.00%,0:12,Plan not required to report measure,7.1%,1.2%,99.30%,100%,98,0.07,5.0%,22.56%
H2457,METROPOLITAN HEALTH PLAN,Metropolitan Health Plan,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,50%,Plan too small to be measured,Not enough data available,0:21,Plan not required to report measure,Not enough data available,Plan too small to be measured,Not enough data available,75.3%,1.67%,No data available,100.00%,1.67%,0:21,Plan not required to report measure,4.4%,1.3%,99.60%,100%,98,No data available,No Data Available,16.39%
H2458,MEDICA HEALTH PLANS,Medica Holding Company,Local CCP,51%,58%,69%,91%,93%,64%,17%,91%,0:38,Plan not required to report measure,77%,97%,Not enough data available,Data issues found,0.00%,No data available,100.00%,0.00%,0:38,Plan not required to report measure,8.0%,1.4%,98.70%,100%,99,No data available,4.3%,22.15%
H2459,UCARE MINNESOTA,UCare Minnesota,Local CCP,70%,79%,69%,88%,92%,83%,41%,91%,0:15,87%,80%,96%,0.65,32.4%,0.00%,50.00%,100.00%,0.00%,0:15,89.63%,5.4%,1.6%,99.80%,100%,98,0.65,12.6%,19.24%
H2461,BLUE CROSS AND BLUE SHIELD OF MINNESOTA,Blue Cross and Blue Shield of Minnesota,1876 Cost,66%,58%,68%,91%,91%,77%,37%,92%,Not enough data available,Not enough data available,81%,96%,1.19,Plan not required to report measure,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure
H2462,"GROUP HEALTH PLAN, INC.","HealthPartners, Inc.",1876 Cost,69%,80%,73%,92%,85%,82%,46%,93%,Not enough data available,Not enough data available,85%,98%,3.60,Plan not required to report measure,Not enough data available,No data available,No data available,No data available,No data available,No data available,5.3%,1.2%,99.50%,100%,99,3.60,No data available,16.88%
H2486,"HUMANA MEDICAL PLAN OF UTAH, INC.",Humana Inc.,Local CCP,Not enough data available,98%,Not enough data available,Not enough data available,87%,74%,Not enough data available,91%,0:41,89%,78%,93%,1.62,Plan not required to report measure,0.45%,No data available,No data available,0.45%,0:41,87.13%,9.1%,0.5%,100.00%,100%,100,1.62,1.2%,No Data Available
H2491,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.","WellCare Health Plans, Inc.",Local CCP,83%,83%,Not enough data available,Not enough data available,94%,59%,Not enough data available,88%,0:49,81%,49%,97%,1.94,Not enough data available,2.92%,No data available,No data available,2.92%,0:49,76.98%,3.9%,0.4%,99.80%,100%,98,1.94,24.1%,No Data Available
H2542,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,67%,98%,56%,90%,93%,68%,Not enough data available,89%,0:41,89%,68%,96%,1.89,Plan not required to report measure,0.38%,75.00%,100.00%,0.38%,0:41,87.13%,5.3%,0.4%,99.90%,100%,99,1.89,3.9%,20.00%
H2593,"CAREMORE HEALTH PLAN OF ARIZONA, INC.","WellPoint, Inc.",Local CCP,27%,91%,57%,Not enough data available,96%,82%,Not enough data available,86%,0:12,86%,74%,97%,Not enough data available,86.1%,0.88%,66.67%,100.00%,0.88%,0:12,78.74%,6.0%,2.4%,99.30%,96%,100,No data available,2.5%,14.29%
H2610,"ESSENCE HEALTHCARE, INC.",Essence Group Holdings Corporation,Local CCP,33%,98%,59%,86%,94%,79%,50%,91%,0:07,83%,79%,97%,6.49,59.7%,0.50%,100.00%,100.00%,0.50%,0:07,77.33%,6.8%,1.8%,99.90%,100%,No Data Available,6.49,16.6%,17.46%
H2611,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care Inc.,Local CCP,46%,89%,51%,87%,91%,80%,45%,92%,0:18,87%,71%,95%,0.68,Plan not required to report measure,1.26%,No data available,No data available,0.00%,0:17,89.30%,8.1%,1.6%,98.00%,100%,99,0.68,No data available,11.11%
H2643,L. A. CARE HEALTH PLAN,Local Initiative Health Authority for LA County,Local CCP,Not enough data available,88%,Not enough data available,Not enough data available,60%,40%,Not enough data available,Not enough data available,0:42,Plan not required to report measure,49%,81%,2.46,26.1%,0.00%,No data available,No data available,0.00%,0:42,Plan not required to report measure,6.0%,1.1%,99.90%,100%,99,2.46,6.2%,No data available
H2649,"HUMANA HEALTH PLAN, INC.",Humana Inc.,Local CCP,65%,98%,50%,89%,93%,79%,46%,91%,0:40,89%,78%,96%,1.13,Data issues found,0.41%,50.00%,No data available,0.41%,0:40,87.13%,6.0%,1.2%,99.90%,100%,99,1.13,2.8%,25.69%
H2654,"UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealth Group, Inc.",Local CCP,66%,86%,54%,86%,91%,75%,29%,90%,0:22,86%,78%,95%,5.31,34.1%,0.14%,100.00%,100.00%,0.14%,0:22,74.60%,7.8%,1.2%,99.80%,100%,99,5.31,0.6%,19.20%
H2663,"COVENTRY HEALTH CARE OF MISSOURI, INC",Coventry Health Care Inc.,Local CCP,60%,82%,64%,92%,94%,83%,47%,90%,0:22,87%,81%,97%,1.25,Not enough data available,0.00%,50.00%,No data available,1.25%,0:14,89.30%,7.7%,1.1%,99.10%,100%,99,1.25,12.0%,18.27%
H2667,"COVENTRY HEALTH CARE OF MISSOURI, INC",Coventry Health Care Inc.,Local CCP,45%,89%,62%,89%,94%,80%,44%,91%,0:15,87%,83%,96%,0.61,Not enough data available,0.36%,100.00%,100.00%,0.00%,0:17,89.30%,7.4%,1.6%,98.40%,100%,99,0.61,No data available,24.49%
H2672,"COVENTRY HEALTH CARE OF KANSAS, INC.",Coventry Health Care Inc.,Local CCP,Not enough data available,82%,69%,96%,93%,75%,42%,91%,0:14,87%,75%,94%,0.98,Not enough data available,0.50%,No data available,No data available,0.00%,0:12,89.30%,6.4%,1.0%,99.10%,100%,99,0.98,11.1%,25.77%
H2676,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2701,NEW WEST HEALTH SERVICES,New West Health Services,Local CCP,Not enough data available,64%,57%,82%,86%,82%,36%,90%,0:14,88%,75%,93%,1.41,Plan not required to report measure,0.00%,No data available,No data available,0.00%,0:14,78.75%,6.8%,1.8%,99.80%,100%,98,1.41,17.2%,18.52%
H2773,"QUALITY HEALTH PLANS OF NEW YORK, INC.","QHP Financial Group, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:15,86%,Not enough data available,Plan too small to be measured,Not enough data available,33.3%,0.00%,No data available,No data available,0.00%,0:15,82.80%,No Data Available,No Data Available,100.00%,96%,No Data Available,No data available,No data available,No data available
H2775,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,Local CCP,58%,94%,51%,85%,93%,77%,Not enough data available,91%,0:06,89%,73%,94%,Not enough data available,Plan not required to report measure,0.00%,No data available,No data available,0.00%,0:06,71.63%,6.7%,1.9%,99.90%,100%,No Data Available,No data available,45.7%,22.50%
H2792,"GEISINGER QUALITY OPTIONS, INC.",Geisinger Health System,MSA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure
H2802,"UNITEDHEALTHCARE OF THE MIDLANDS, INC.","UnitedHealth Group, Inc.",Local CCP,Not enough data available,86%,69%,Not enough data available,92%,66%,34%,90%,0:24,86%,86%,94%,1.64,Plan not required to report measure,0.21%,No data available,No data available,0.21%,0:24,74.60%,8.9%,1.8%,100.00%,100%,99,1.64,1.0%,13.33%
H2803,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,76%,86%,51%,100%,91%,69%,34%,91%,0:26,86%,72%,93%,3.91,43.4%,0.33%,100.00%,No data available,0.33%,0:26,74.60%,7.8%,1.5%,99.90%,100%,99,3.91,0.9%,13.64%
H2810,GROUP HEALTH OPTIONS,Group Health Cooperative,Local CCP,Not enough data available,80%,Not enough data available,Not enough data available,89%,82%,Not enough data available,89%,0:20,87%,70%,96%,2.49,Plan not required to report measure,0.00%,No data available,No data available,0.00%,0:20,89.46%,5.5%,1.7%,99.90%,100%,99,2.49,No data available,No Data Available
H2816,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,PFFS,56%,93%,72%,86%,91%,Not enough data available,32%,90%,0:10,89%,76%,93%,1.38,Plan not required to report measure,0.42%,100.00%,No data available,0.42%,0:10,71.63%,8.2%,1.8%,99.70%,100%,No Data Available,1.38,No data available,15.56%
H2836,"ANTHEM HEALTH PLANS, INC.","WellPoint, Inc.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,100.00%,100.00%,1.67%,1:10,63.54%,No data available,No data available,99.80%,100%,No data available,No data available,No data available,No data available
H2899,"ARCADIAN HEALTH PLAN OF NORTH CAROLINA, INC.",Humana Inc.,Local CCP,Not enough data available,81%,Not enough data available,85%,90%,53%,30%,90%,0:44,86%,60%,93%,0.66,13.6%,0.00%,No data available,No data available,0.00%,0:44,72.14%,6.2%,1.6%,99.90%,100%,No Data Available,0.66,48.2%,No Data Available
H2905,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealth Group, Inc.",Local CCP,Not enough data available,74%,Not enough data available,Not enough data available,86%,78%,Not enough data available,90%,1:11,89%,65%,94%,1.81,Plan not required to report measure,0.00%,100.00%,No data available,0.00%,1:11,85.93%,6.4%,0.0%,99.90%,92%,101,1.81,No Data Available,No Data Available
H2906,HOMETOWN HEALTH PLAN,Renown Health,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:20,93%,Not enough data available,Plan too small to be measured,Not enough data available,Plan not required to report measure,0.00%,No data available,No data available,0.83%,0:36,78.59%,10.5%,0.0%,99.00%,100%,101,No data available,30.4%,No Data Available
H2911,"ARCADIAN HEALTH PLAN OF LOUISIANA, INC.",Humana Inc.,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2926,PRIMEWEST HEALTH SYSTEM,PrimeWest Central County-Based Purchasing Initiati,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:14,Plan not required to report measure,Not enough data available,Plan too small to be measured,Not enough data available,71.7%,0.00%,No data available,No data available,0.00%,0:14,Plan not required to report measure,8.2%,0.0%,99.80%,100%,100,No data available,9.6%,No data available
H2931,"HEALTH PLAN OF NEVADA, INC.","UnitedHealth Group, Inc.",Local CCP,68%,74%,54%,93%,91%,71%,47%,87%,0:32,89%,74%,93%,6.23,97.5%,0.50%,93.33%,100.00%,0.50%,0:32,85.93%,6.2%,0.1%,99.70%,92%,99,6.23,No Data Available,13.83%
H2944,HUMANA INSURANCE COMPANY,Humana Inc.,PFFS,54%,98%,59%,89%,90%,70%,28%,91%,0:40,89%,69%,96%,1.11,Plan not required to report measure,0.41%,50.00%,No data available,0.41%,0:40,87.13%,7.7%,1.1%,99.80%,100%,99,1.11,2.3%,27.20%
H2949,"HUMANA HEALTH PLAN, INC.",Humana Inc.,Local CCP,40%,98%,45%,89%,95%,74%,53%,88%,0:45,89%,72%,95%,2.13,Not enough data available,0.52%,85.71%,No data available,0.52%,0:45,87.13%,5.4%,1.0%,100.00%,100%,100,2.13,2.9%,27.27%
