CY2014 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary Hold Time - DMC09,Call Center – Information Accuracy - DMC10,Pneumonia Vaccine - DMC11,Access to Primary Care Doctor Visits - DMC12,Grievance Rate - DMC13,Special Needs Plan (SNP) Care Management - DMC14,Calls Disconnected When Customer Calls Health Plan  - DMC15,Pharmacotherapy Management of COPD Exacerbation - Systemic Corticosteroid - DMC16,Pharmacotherapy Management of COPD Exacerbation - Bronchodilator - DMC17,Initiation of Alcohol or other Drug Treatment - DMC18,Engagement of Alcohol or other Drug Treatment - DMC19,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time- DMD04,Call Center – Information Accuracy- DMD05,Drug-Drug Interactions - DMD06,Diabetes Medication Dosing - DMD07,Completeness of the Drug Plan's Information on Members Who Need Extra Help - DMD08,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD09,MPF - Stability - DMD10,Grievance Rate - DMD11,Medication Therapy Management Program Completion Rate for Comprehensive Medication Reviews - DMD12,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD13,Getting Information from Drug Plan - DMD14,Call Center—Pharmacy Hold Time measures - DMD15,Plan Submitted Higher Prices for Display on MPF - DMD16,Enrollment Timeliness - DME01
H3113,"OXFORD HEALTH PLANS (NJ), INC.","UnitedHealth Group, Inc.",Local CCP,Not enough data available,76%,Not enough data available,Not enough data available,100%,Not enough data available,Not enough data available,No data available,0:23,Plan not required to report measure,No data available,99%,No data available,97.4%,1.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,1.00%,0:23,Plan not required to report measure,8.2%,1.01%,99.90%,100%,No data available,No Data Available,0.0%,17.23%,No data available,0:16,No data available,No data available
H3129,"NORTH SHORE-LIJ HEALTH PLAN, INC.","North Shore-LI Jewish Health System, Inc.",Demo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3132,"AHF MCO OF FLORIDA, INC.",AIDS Healthcare Foundation,Local CCP,Not enough data available,82%,Not enough data available,Not enough data available,98%,Not enough data available,Not enough data available,94%,0:44,Plan not required to report measure,83%,98%,CMS Found Issues with Plan’s Data,75.4%,2.50%,Not enough data available,Not enough data available,48%,7%,No data available,No data available,3.33%,0:38,Plan not required to report measure,23.7%,0.00%,99.80%,96%,99,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,No data available,Not enough data available,0:31,99,No data available
H3144,"COVENTRY HEALTH CARE OF ILLINOIS, INC.",Aetna Inc.,Local CCP,Not enough data available,85%,Not enough data available,Not enough data available,95%,No data available,Not enough data available,No data available,0:08,88%,No data available,96%,No data available,Plan not required to report measure,1.67%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:14,93%,11.8%,0.00%,99.70%,96%,99,No Data Available,No data available,No data available,No data available,0:09,97,97%
H3152,"AETNA HEALTH, INC. (NJ)",Aetna Inc.,Local CCP,56%,88%,65%,91%,92%,77%,39%,91%,0:19,89%,71%,96%,CMS Found Issues with Plan’s Data,Plan not required to report measure,0.38%,70%,77%,56%,10%,100%,100.00%,0.38%,0:19,85%,6.5%,0.32%,99.90%,100%,100,CMS Found Issues with Plan's Data,47.6%,18.38%,86%,0:10,99,96%
H3154,"HORIZON HEALTHCARE OF NEW JERSEY, INC.","Horizon Healthcare Services, Inc.",Local CCP,81%,81%,61%,90%,90%,76%,38%,91%,0:17,86%,67%,94%,CMS Found Issues with Plan’s Data,Plan not required to report measure,0.83%,52%,79%,46%,3%,96%,100.00%,0.42%,0:12,70%,6.6%,0.59%,99.90%,100%,99,CMS Found Issues with Plan's Data,20.0%,21.63%,Not enough data available,0:15,98,98%
H3156,"AMERIHEALTH HMO, INC.",Independence Blue Cross,Local CCP,Not enough data available,99%,Not enough data available,Not enough data available,90%,77%,Not enough data available,No data available,0:30,86%,No data available,96%,CMS Found Issues with Plan’s Data,Plan not required to report measure,0.42%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100%,No data available,0.42%,0:30,86%,6.1%,2.09%,100.00%,100%,No data available,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,No data available,No data available,0:21,No data available,96%
H3164,"AMERICHOICE OF NEW JERSEY, INC","UnitedHealth Group, Inc.",Local CCP,30%,86%,45%,Not enough data available,90%,63%,48%,Not enough data available,0:39,Plan not required to report measure,53%,94%,2.59,38.7%,0.00%,63%,86%,45%,4%,100%,100.00%,0.00%,0:39,Plan not required to report measure,7.7%,0.54%,99.90%,100%,100,2.59,0.8%,30.77%,Not enough data available,0:16,99,No data available
H3204,PRESBYTERIAN HEALTH PLAN,Presbyterian Healthcare Services,Local CCP,81%,91%,70%,94%,91%,82%,29%,92%,0:13,82%,78%,94%,4.06,Plan not required to report measure,2.00%,72%,79%,21%,2%,100%,100.00%,2.00%,0:13,76%,5.3%,1.84%,99.60%,96%,99,4.06,4.7%,19.51%,Not enough data available,0:32,94,95%
H3206,"PRESBYTERIAN INSURANCE COMPANY, INC.",Presbyterian Healthcare Services,Local CCP,Not enough data available,91%,65%,92%,90%,86%,34%,92%,0:13,82%,77%,96%,2.60,Plan not required to report measure,2.00%,72%,73%,32%,3%,No data available,No data available,2.00%,0:13,76%,6.3%,1.60%,99.60%,96%,100,2.60,4.2%,26.32%,Not enough data available,0:32,94,95%
H3209,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available,76%,47%,Not enough data available,88%,62%,Not enough data available,Not enough data available,0:23,Plan not required to report measure,63%,94%,3.28,31.9%,1.34%,Not enough data available,Not enough data available,23%,3%,No data available,No data available,1.34%,0:23,Plan not required to report measure,5.0%,0.29%,99.80%,100%,99,3.28,1.5%,22.34%,Not enough data available,0:16,98,No data available
H3237,"HEALTH NET COMMUNITY SOLUTIONS, INC.","Health Net, Inc.",Demo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3240,"AMERIGROUP NEW JERSEY, INC.","WellPoint, Inc.",Local CCP,45%,78%,59%,Not enough data available,91%,67%,40%,89%,0:14,87%,48%,89%,1.84,36.1%,0.00%,59%,90%,34%,1%,100%,100.00%,0.00%,0:14,85%,5.0%,0.61%,99.80%,100%,100,1.84,8.7%,No data available,Not enough data available,0:23,99,100%
H3251,"LOVELACE HEALTH SYSTEM, INC.",Ardent Health Services.,Local CCP,58%,60%,50%,94%,88%,81%,36%,88%,1:25,79%,81%,95%,CMS Found Issues with Plan’s Data,Plan not required to report measure,0.00%,63%,80%,20%,1%,100%,100.00%,0.00%,1:25,85%,6.0%,1.07%,99.70%,96%,100,CMS Found Issues with Plan's Data,62.7%,14.68%,Not enough data available,1:06,97,88%
H3259,VOLUNTEER STATE HEALTH PLAN,BlueCross BlueShield of Tennessee,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3283,MEDICA HEALTH PLANS,Medica Holding Company,Local CCP,Not enough data available,70%,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,0:34,87%,No data available,Not enough data available,No data available,Plan not required to report measure,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:34,69%,0.0%,0.00%,100.00%,96%,No data available,No Data Available,No data available,No data available,No data available,0:10,100,No data available
H3305,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",Local CCP,85%,74%,68%,95%,93%,84%,34%,90%,0:19,87%,80%,98%,0.29,Plan not required to report measure,0.00%,69%,81%,55%,3%,75%,66.67%,0.00%,0:19,88%,7.3%,1.16%,99.80%,92%,101,0.29,16.7%,18.79%,Not enough data available,0:09,96,90%
H3307,"OXFORD HEALTH PLANS (NY), INC.","UnitedHealth Group, Inc.",Local CCP,60%,76%,68%,92%,93%,76%,51%,Not enough data available,0:18,83%,62%,94%,5.39,29.4%,2.07%,71%,81%,54%,4%,100%,100.00%,2.07%,0:18,82%,6.2%,0.90%,99.90%,100%,99,5.39,1.4%,19.61%,Not enough data available,0:16,99,96%
H3312,"AETNA HEALTH, INC. (NY)",Aetna Inc.,Local CCP,53%,88%,51%,90%,92%,82%,51%,90%,0:19,89%,73%,96%,2.23,Plan not required to report measure,0.38%,75%,90%,65%,7%,100%,No data available,0.38%,0:19,85%,6.8%,0.61%,99.90%,100%,101,2.23,44.1%,14.49%,85%,0:10,99,97%
H3314,HEALTH INSURANCE PLAN OF GREATER NEW YORK,"EmblemHealth, Inc.",1876 Cost,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,Not enough data available,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,No data available,No data available,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available
H3327,"TOUCHSTONE HEALTH HMO, INC.","Touchstone Health Partnership, Inc",Local CCP,28%,96%,56%,87%,91%,69%,40%,92%,0:15,82%,54%,89%,CMS Found Issues with Plan’s Data,CMS Found Issues with Plan’s Data,2.50%,59%,77%,50%,5%,No data available,No data available,2.50%,0:15,78%,5.5%,0.56%,65.60%,96%,99,CMS Found Issues with Plan's Data,0.6%,18.31%,Not enough data available,0:03,99,100%
H3328,"THE NEW YORK STATE CATHOLIC HEALTH PLAN, INC.","The New York State Catholic Health Plan, Inc.",Local CCP,74%,74%,47%,Not enough data available,95%,66%,42%,90%,0:28,78%,51%,94%,CMS Found Issues with Plan’s Data,CMS Found Issues with Plan’s Data,0.00%,71%,78%,44%,10%,0%,100.00%,0.00%,0:28,78%,6.5%,0.86%,99.50%,96%,99,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,12.50%,86%,0:20,99,96%
H3330,HEALTH INSURANCE PLAN OF GREATER NEW YORK,"EmblemHealth, Inc.",Local CCP,80%,82%,69%,97%,93%,75%,53%,90%,0:19,90%,65%,95%,0.24,CMS Found Issues with Plan’s Data,0.50%,69%,85%,47%,4%,0%,50.00%,0.50%,0:19,87%,5.2%,0.75%,99.70%,100%,No data available,0.24,16.6%,17.30%,Not enough data available,0:19,96,97%
H3333,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,PFFS,Not enough data available,85%,Not enough data available,Not enough data available,91%,68%,34%,90%,0:10,90%,72%,94%,3.78,Plan not required to report measure,1.25%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,1.25%,0:10,88%,6.8%,0.00%,99.80%,100%,99,3.78,No data available,No data available,Not enough data available,0:20,98,99%
H3335,"EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",Local CCP,80%,75%,68%,94%,92%,84%,37%,91%,2:54,87%,70%,97%,CMS Found Issues with Plan’s Data,Plan not required to report measure,0.00%,75%,80%,48%,5%,100%,100.00%,0.00%,2:54,78%,6.8%,0.73%,99.60%,92%,100,CMS Found Issues with Plan's Data,3.3%,19.93%,90%,0:12,98,92%
H3337,"LIBERTY HEALTH ADVANTAGE, INC.","Liberty Health Advantage, Inc.",Local CCP,43%,83%,38%,Not enough data available,87%,60%,33%,Not enough data available,0:12,84%,54%,84%,2.35,37.6%,2.50%,Not enough data available,Not enough data available,51%,2%,No data available,No data available,0.00%,0:11,75%,4.4%,0.17%,99.20%,96%,100,2.35,2.1%,22.22%,Not enough data available,0:03,99,99%
H3342,"EMPIRE HEALTHCHOICE ASSURANCE, INC.","WellPoint, Inc.",Local CCP,65%,80%,61%,92%,92%,84%,60%,91%,0:30,88%,64%,95%,1.71,Plan not required to report measure,0.00%,72%,77%,43%,5%,100%,No data available,0.00%,0:30,92%,6.2%,1.08%,99.90%,92%,98,1.71,12.2%,24.55%,Not enough data available,0:06,98,95%
H3344,INDEPENDENT HEALTH BENEFITS CORPORATION,"Independent Health Association, Inc.",Local CCP,Not enough data available,83%,62%,Not enough data available,94%,86%,39%,89%,0:00,87%,75%,97%,5.19,Plan not required to report measure,0.00%,80%,76%,40%,5%,No data available,No data available,0.00%,0:00,91%,8.2%,0.11%,99.60%,84%,103,5.19,23.7%,15.63%,Not enough data available,0:09,98,93%
H3347,"ELDERPLAN, INC.","Elderplan, Inc.",Local CCP,45%,78%,50%,89%,91%,71%,51%,88%,0:34,86%,54%,93%,0.74,82.1%,1.08%,65%,82%,63%,3%,No data available,No data available,1.08%,0:34,83%,4.6%,1.18%,99.50%,100%,99,0.74,37.6%,21.53%,76%,0:04,95,99%
H3351,"EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",Local CCP,70%,75%,67%,92%,93%,81%,40%,92%,2:54,87%,79%,98%,CMS Found Issues with Plan’s Data,Plan not required to report measure,0.00%,70%,73%,52%,4%,88%,66.67%,0.00%,2:54,78%,7.0%,0.68%,99.70%,92%,99,CMS Found Issues with Plan's Data,3.1%,14.29%,Not enough data available,0:12,98,90%
H3359,"MANAGED HEALTH, INC.","Healthfirst, Inc.",Local CCP,79%,73%,42%,89%,94%,69%,45%,92%,0:32,80%,55%,95%,2.08,43.4%,0.84%,68%,90%,50%,6%,67%,85.71%,0.84%,0:32,82%,4.2%,0.61%,99.90%,100%,98,2.08,22.5%,22.65%,Not enough data available,0:20,97,99%
H3361,"WELLCARE OF NEW YORK, INC.","WellCare Health Plans, Inc.",Local CCP,72%,82%,46%,75%,92%,66%,38%,89%,0:30,87%,58%,91%,CMS Found Issues with Plan’s Data,40.3%,0.63%,73%,79%,46%,6%,100%,50.00%,0.63%,0:30,87%,5.0%,0.25%,99.80%,96%,99,CMS Found Issues with Plan's Data,6.9%,22.22%,Not enough data available,0:07,99,98%
H3362,"INDEPENDENT HEALTH ASSOCIATION, INC.","Independent Health Association, Inc.",Local CCP,81%,83%,63%,96%,94%,80%,47%,90%,0:00,87%,80%,97%,3.47,63.7%,0.00%,73%,79%,51%,6%,50%,No data available,0.00%,0:00,91%,8.1%,0.22%,99.60%,84%,102,3.47,24.8%,13.90%,Not enough data available,0:09,98,85%
H3370,"EMPIRE HEALTHCHOICE HMO, INC.","WellPoint, Inc.",Local CCP,62%,80%,60%,95%,89%,79%,53%,90%,0:28,88%,65%,96%,1.68,Plan not required to report measure,1.11%,68%,80%,52%,3%,83%,100.00%,1.11%,0:28,89%,7.0%,1.04%,99.90%,92%,99,1.68,12.0%,18.27%,Not enough data available,0:06,98,95%
H3379,"UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealth Group, Inc.",Local CCP,Not enough data available,76%,76%,Not enough data available,98%,66%,16%,Not enough data available,0:18,83%,71%,96%,1.72,97.6%,2.08%,46%,89%,Not enough data available,Not enough data available,No data available,No data available,2.08%,0:18,82%,9.0%,0.52%,99.90%,100%,101,1.72,0.0%,20.23%,Not enough data available,0:16,99,97%
H3384,HEALTHNOW NEW YORK INC.,HealthNow New York Inc.,Local CCP,62%,78%,51%,95%,91%,78%,40%,90%,0:32,88%,77%,97%,0.14,Plan not required to report measure,0.50%,70%,78%,31%,5%,100%,100.00%,0.50%,0:32,86%,7.2%,0.61%,99.80%,100%,101,0.14,5.3%,16.54%,Not enough data available,0:09,98,94%
H3387,"UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealth Group, Inc.",Local CCP,46%,88%,36%,Not enough data available,89%,64%,59%,Not enough data available,0:40,Plan not required to report measure,42%,92%,CMS Found Issues with Plan’s Data,24.2%,0.83%,68%,94%,52%,4%,No data available,No data available,0.83%,0:40,Plan not required to report measure,4.4%,0.69%,99.90%,100%,99,CMS Found Issues with Plan's Data,0.6%,16.67%,Not enough data available,0:16,99,No data available
H3388,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC.","Capital District Physicians' Health Plan, Inc.",Local CCP,83%,71%,69%,94%,94%,83%,38%,92%,0:27,88%,76%,98%,1.13,Plan not required to report measure,0.00%,77%,86%,50%,8%,100%,100.00%,0.63%,0:13,87%,6.4%,1.26%,99.80%,100%,103,1.13,16.6%,18.83%,86%,0:15,93,96%
H3404,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Local CCP,Not enough data available,81%,68%,85%,92%,84%,39%,92%,0:18,86%,72%,96%,CMS Found Issues with Plan’s Data,Plan not required to report measure,0.00%,62%,71%,37%,2%,89%,100.00%,0.00%,0:18,87%,7.7%,1.32%,100.00%,100%,98,CMS Found Issues with Plan's Data,4.0%,12.00%,85%,0:19,98,96%
H3405,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,46%,95%,55%,93%,92%,72%,32%,90%,0:20,87%,74%,96%,0.99,Plan not required to report measure,1.15%,67%,78%,50%,3%,100%,No data available,1.15%,0:20,92%,6.9%,0.88%,100.00%,100%,101,0.99,12.8%,19.05%,80%,0:11,97,97%
H3409,OPTIMA HEALTH PLAN,Sentara Health Care (SHC),Demo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3421,"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","America's 1st Choice Holdings of S.C., LLC",PFFS,13%,90%,52%,Not enough data available,89%,70%,46%,92%,0:06,86%,66%,95%,0.18,Plan not required to report measure,2.50%,61%,77%,46%,1%,100%,100.00%,2.50%,0:06,87%,6.4%,1.18%,100.00%,100%,100,0.18,17.2%,No data available,Not enough data available,0:06,98,97%
H3447,"HEALTHKEEPERS, INC.","WellPoint, Inc.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,93%
H3449,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Local CCP,49%,79%,63%,89%,94%,81%,35%,91%,0:21,86%,77%,97%,CMS Found Issues with Plan’s Data,Plan not required to report measure,0.00%,72%,67%,47%,1%,71%,90.00%,0.00%,0:21,87%,6.8%,0.91%,100.00%,100%,99,CMS Found Issues with Plan's Data,5.1%,18.50%,85%,0:19,98,96%
H3456,"UNITEDHEALTHCARE OF NORTH CAROLINA, INC.","UnitedHealth Group, Inc.",Local CCP,64%,76%,56%,87%,93%,70%,31%,90%,0:19,83%,70%,96%,2.65,42.6%,1.98%,72%,75%,42%,3%,100%,100.00%,1.98%,0:19,82%,6.9%,1.13%,99.90%,100%,99,2.65,1.7%,21.19%,Not enough data available,0:16,98,97%
H3471,"HEALTH ALLIANCE NORTHWEST HEALTH PLAN, INC.",Health Alliance Medical Plans,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3480,"HUMANA HEALTH PLAN, INC.",Humana Inc.,Demo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3503,SANFORD HEART OF AMERICA HEALTH PLAN,Sanford Health Plan,1876 Cost,Not enough data available,CMS Found Issues with Plan’s Data,Benefit not offered by plan,Benefit not offered by plan,Benefit not offered by plan,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,No data available,96%,Plan not required to report measure,Plan not required to report measure,Not enough data available,Benefit not offered by plan,Benefit not offered by plan,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available
H3511,"LOVELACE INSURANCE COMPANY, INC.",Ardent Health Services.,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available
H3528,"CONNECTICARE, INC.","EmblemHealth, Inc.",Local CCP,84%,80%,67%,89%,93%,83%,40%,90%,0:13,88%,71%,97%,0.33,Plan not required to report measure,0.00%,74%,82%,49%,5%,100%,No data available,0.00%,0:13,88%,6.1%,1.25%,99.90%,100%,No data available,0.33,12.2%,21.51%,83%,0:21,95,98%
H3533,"HUMANA HEALTH COMPANY OF NEW YORK, INC.",Humana Inc.,Local CCP,Not enough data available,95%,Not enough data available,Not enough data available,94%,79%,Not enough data available,No data available,0:20,87%,No data available,93%,No data available,3.7%,1.15%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,1.15%,0:20,92%,7.8%,0.31%,99.50%,96%,98,No Data Available,42.9%,No data available,No data available,0:11,98,98%
H3536,"MATTHEW THORNTON HEALTH PLAN, INC.","WellPoint, Inc.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3597,"AETNA HEALTH, INC. (ME)",Aetna Inc.,Local CCP,Not enough data available,88%,84%,Not enough data available,92%,89%,39%,94%,0:19,89%,73%,97%,1.13,Plan not required to report measure,0.38%,Not enough data available,Not enough data available,53%,8%,100%,No data available,0.38%,0:19,85%,5.7%,0.22%,99.90%,100%,101,1.13,46.8%,No data available,87%,0:10,98,99%
H3619,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,53%,95%,69%,86%,91%,71%,27%,90%,0:20,87%,68%,96%,1.23,Plan not required to report measure,1.15%,74%,78%,49%,3%,100%,No data available,1.15%,0:20,92%,7.2%,0.96%,99.90%,100%,100,1.23,14.6%,23.60%,Not enough data available,0:11,97,96%
