CY2011 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,
  * See next worksheet for technical notes.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Part D,,,,,,,,1/1/2009 - 12/31/2009,Part C,,,,,,,,,,,,,,
,,,Access,,,Call Center,Patient Safety,,,Plan Finder,,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,,,,,,,,,,
H2654,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDWEST, INC.",100.00%,100.00%,92.64%,1.18%,7.98%,1.44%,62.02%,91.67%,11.57%,62.09%,85.29%,50.14%,82.69%,27.08%,,,,,,,,,,
H2663,"Group Health Plan, Inc.","GROUP HEALTH PLAN, INC.",Not measured,Not measured,88.62%,0.00%,8.75%,1.46%,63.92%,100.00%,20.35%,58.18%,73.55%,61.83%,88.20%,33.33%,,,,,,,,,,
H2667,"Mercy Health Plans of Missouri, Inc.",MERCY HEALTH PLANS OF MISSOURI INC.,100.00%,Not measured,94.96%,1.67%,8.57%,1.51%,64.62%,100.00%,6.74%,64.29%,87.31%,53.85%,88.31%,2.12%,,,,,,,,,,
H2672,COVENTRY HEALTH CARE,"COVENTRY HEALTH CARE OF KANSAS, INC.",100.00%,Not measured,85.03%,0.83%,6.62%,2.04%,62.80%,100.00%,8.46%,Not enough data available to calculate measure,72.22%,44.58%,79.55%,34.95%,,,,,,,,,,
H2701,New West Health Services,NEW WEST HEALTH SERVICES,Not measured,100.00%,96.93%,0.00%,7.76%,1.69%,67.33%,100.00%,6.04%,Not enough data available to calculate measure,0 - Plan reported a Biased Rate,Not enough data available to calculate measure,Not enough data available to calculate measure,1.99%,,,,,,,,,,
H2762,CIGNA Medicare Access,CONNECTICUT GENERAL LIFE INSURANCE COMPANY,50.00%,92.31%,91.90%,0.00%,8.44%,1.77%,66.60%,100.00%,16.51%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H2773,QUALITY HEALTH PLANS,"QUALITY HEALTH PLANS OF NEW YORK, INC.",Not measured,Not measured,Not measured,1.67%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H2775,Universal American,AMERICAN PROGRESSIVE LIFE & HEALTH INSURANCE OF NY,Not measured,Not measured,84.62%,0.00%,0.25%,0.00%,62.65%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2802,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDLANDS, INC.",0.00%,Not measured,79.31%,0.63%,10.83%,1.19%,62.93%,91.67%,5.45%,Not enough data available to calculate measure,85.29%,65.85%,Not enough data available to calculate measure,26.85%,,,,,,,,,,
H2803,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,93.33%,0.72%,8.11%,2.14%,58.11%,91.67%,14.19%,Not enough data available to calculate measure,85.29%,68.18%,Not enough data available to calculate measure,18.29%,,,,,,,,,,
H2810,"Group Health Options, Inc.",GROUP HEALTH OPTIONS,Not measured,Not measured,90.38%,0.00%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H2899,Southeast Community Care,"ARCADIAN HEALTH PLAN OF NORTH CAROLINA, INC.",Not measured,Not measured,94.74%,1.67%,7.21%,2.28%,50.38%,100.00%,20.64%,Not enough data available to calculate measure,79.33%,Not enough data available to calculate measure,Not enough data available to calculate measure,24.23%,,,,,,,,,,
H2905,"Sierra Health and Life Insurance Company, Inc.","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.",100.00%,Not measured,98.86%,1.67%,4.35%,0.00%,59.45%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2906,Senior Care Plus,HOMETOWN HEALTH PLAN,Not measured,Not measured,100.00%,0.00%,7.33%,4.28%,63.27%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2926,PrimeWest Health,PRIMEWEST HEALTH SYSTEM,Not measured,Not measured,Not measured,0.00%,8.94%,6.69%,68.35%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2931,"Health Plan of Nevada, Inc.","HEALTH PLAN OF NEVADA, INC.",Not measured,Not measured,100.00%,0.83%,10.45%,0.00%,59.94%,100.00%,11.90%,Not enough data available to calculate measure,81.40%,Not enough data available to calculate measure,Not enough data available to calculate measure,33.09%,,,,,,,,,,
H2944,Humana Insurance Company,HUMANA INSURANCE COMPANY,97.62%,98.25%,87.38%,1.48%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H2949,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",100.00%,100.00%,87.75%,1.31%,6.43%,0.97%,59.19%,100.00%,8.00%,Not enough data available to calculate measure,97.42%,39.43%,76.54%,Not enough data available to calculate measure,,,,,,,,,,
H2960,Senior Care Plus,HOMETOWN HEALTH PLAN,100.00%,Not measured,90.74%,0.00%,8.29%,2.05%,63.10%,100.00%,9.09%,Not enough data available to calculate measure,66.55%,47.50%,Not enough data available to calculate measure,37.71%,,,,,,,,,,
H2961,"Health Plan of Nevada, Inc.","HEALTH PLAN OF NEVADA, INC.",100.00%,100.00%,98.39%,0.00%,6.89%,0.04%,65.14%,100.00%,5.44%,55.74%,81.40%,45.90%,86.61%,75.18%,,,,,,,,,,
H2997,Anthem Blue Cross and Blue Shield,"ROCKY MOUNTAIN HOSPITAL AND MEDICAL SERVICES, INC.",100.00%,Not measured,87.74%,2.50%,6.72%,0.00%,55.44%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3028,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Not measured,Not measured,88.39%,1.62%,5.91%,3.18%,57.94%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3044,Welborn Health Plans,"NHP OF INDIANA, LLC",Not measured,75.00%,94.87%,0.00%,8.45%,3.01%,58.48%,100.00%,7.74%,Not enough data available to calculate measure,89.61%,Not enough data available to calculate measure,Not enough data available to calculate measure,74.69%,,,,,,,,,,
H3059,PHYSICIANS HEALTH CHOICE OF NEW MEXICO,PHYSICIANS HEALTH CHOICE OF NEW MEXICO,Not measured,Not measured,83.10%,0.99%,6.74%,1.11%,46.25%,100.00%,14.17%,Not enough data available to calculate measure,87.72%,Not enough data available to calculate measure,Not enough data available to calculate measure,0.00%,,,,,,,,,,
H3107,SecureHorizons by UnitedHealthcare,"OXFORD HEALTH PLANS (NJ), INC.",0.00%,100.00%,93.95%,0.83%,6.48%,1.24%,55.06%,91.67%,11.43%,57.39%,84.16%,48.65%,79.22%,10.21%,,,,,,,,,,
H3113,Evercare« by UnitedHealthcare,"OXFORD HEALTH PLANS (NJ), INC.",Not measured,Not measured,68.04%,0.83%,8.30%,3.10%,52.74%,91.67%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3132,POSITIVE HEALTHCARE PARTNERS,"AHF MCO OF FLORIDA, INC.",Not measured,Not measured,89.73%,0.83%,33.68%,1.65%,67.11%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3152,Aetna Medicare,"AETNA HEALTH, INC.",100.00%,62.07%,Not measured,0.00%,7.52%,1.66%,62.31%,100.00%,12.68%,55.91%,72.28%,60.26%,84.80%,18.63%,,,,,,,,,,
H3154,"Horizon Blue Cross Blue Shield of New Jersey, Inc.","HORIZON HEALTHCARE OF NEW JERSEY, INC.",100.00%,92.31%,54.89%,0.00%,7.62%,1.48%,65.35%,100.00%,12.96%,73.38%,85.68%,52.05%,91.33%,38.44%,,,,,,,,,,
H3156,AmeriHealth 65,AMERIHEALTH HMO_INC,Not measured,Not measured,Not measured,0.83%,5.97%,2.16%,61.24%,100.00%,29.85%,Not enough data available to calculate measure,78.50%,Not enough data available to calculate measure,Not enough data available to calculate measure,24.00%,,,,,,,,,,
H3164,UnitedHealthcare Community Plan,"AMERICHOICE OF NEW JERSEY, INC",Not measured,Not measured,91.56%,0.00%,8.06%,1.12%,48.66%,91.67%,18.76%,26.92%,81.43%,Not enough data available to calculate measure,Not enough data available to calculate measure,18.98%,,,,,,,,,,
H3204,Presbyterian Senior Care (HMO),PRESBYTERIAN HEALTH PLAN,100.00%,100.00%,89.09%,4.17%,6.35%,1.43%,62.86%,100.00%,3.37%,66.67%,81.80%,49.17%,88.54%,35.28%,,,,,,,,,,
H3206,Presbyterian MediCare PPO,"PRESBYTERIAN INSURANCE COMPANY, INC.",100.00%,100.00%,85.07%,4.17%,6.31%,1.29%,64.86%,100.00%,6.92%,Not enough data available to calculate measure,82.67%,59.52%,Not enough data available to calculate measure,2.34%,,,,,,,,,,
H3209,Evercare« by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,97.03%,2.50%,5.83%,2.11%,51.06%,91.67%,17.92%,Not enough data available to calculate measure,85.29%,Not enough data available to calculate measure,Not enough data available to calculate measure,35.34%,,,,,,,,,,
H3214,,,Not measured,Not measured,Not measured,Not measured,6.72%,0.61%,43.87%,Not measured,,,,,,,,,,,,,,,,
H3240,Amerigroup Community Care,"AMERIGROUP NEW JERSEY, INC.",Not measured,Not measured,96.49%,1.67%,4.86%,1.87%,44.98%,100.00%,27.46%,12.90%,71.88%,Not enough data available to calculate measure,Not enough data available to calculate measure,3.13%,,,,,,,,,,
H3251,Lovelace Senior Plan,"LOVELACE HEALTH SYSTEM, INC.",100.00%,Not measured,71.30%,1.67%,6.26%,1.47%,61.75%,100.00%,3.09%,70.13%,86.60%,47.58%,75.24%,25.55%,,,,,,,,,,
H3304,"Excellus Health Plan, Inc.","EXCELLUS HEALTH PLAN, INC.",,,,,,,,Not measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3305,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.",66.67%,88.89%,95.74%,0.83%,7.03%,1.27%,70.24%,100.00%,7.34%,68.87%,60.31%,66.62%,89.35%,48.66%,,,,,,,,,,
H3307,SecureHorizons by UnitedHealthcare,"OXFORD HEALTH PLANS (NY), INC.",100.00%,Not measured,92.62%,0.83%,6.87%,1.51%,59.12%,91.67%,8.26%,59.26%,84.16%,49.24%,83.05%,29.00%,,,,,,,,,,
H3312,Aetna Medicare,AETNA HEALTH INC.,100.00%,90.00%,Not measured,0.00%,7.04%,1.53%,63.26%,100.00%,16.11%,59.57%,72.28%,49.12%,77.59%,24.29%,,,,,,,,,,
H3314,HIP Health Plan of Greater New York,HEALTH INSURANCE PLAN OF GREATER NEW YORK,,,,,,,,Not measured,5.09%,Not enough data available to calculate measure,84.09%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H3327,Touchstone Health,"TOUCHSTONE HEALTH HMO, INC.",66.67%,Not measured,97.91%,3.33%,5.88%,0.80%,55.33%,100.00%,20.02%,22.11%,79.50%,37.31%,78.18%,30.41%,,,,,,,,,,
H3328,Fidelis Care,NEW YORK STATE CATHOLIC HLTH PLAN INC,0.00%,100.00%,82.04%,0.00%,6.73%,1.64%,54.77%,100.00%,19.99%,76.19%,73.02%,Not enough data available to calculate measure,Not enough data available to calculate measure,64.72%,,,,,,,,,,
H3330,EmblemHealth Medicare HMO,HEALTH INSURANCE PLAN OF GREATER NEW YORK,50.00%,66.67%,89.95%,13.33%,5.44%,1.32%,57.50%,100.00%,6.41%,81.02%,84.09%,44.73%,84.46%,57.54%,,,,,,,,,,
H3333,Universal American,AMERICAN PROGRESSIVE LIFE/HLTH INS.,100.00%,100.00%,82.75%,0.00%,7.91%,1.63%,61.09%,100.00%,21.83%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H3335,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.",100.00%,Not measured,89.46%,0.00%,7.72%,2.36%,67.74%,100.00%,5.30%,74.55%,76.42%,67.55%,86.60%,48.42%,,,,,,,,,,
H3337,Liberty Health Advantage,"LIBERTY HEALTH ADVANTAGE, INC.",Not measured,Not measured,88.82%,0.83%,5.68%,0.58%,48.07%,100.00%,44.93%,19.35%,70.10%,Not enough data available to calculate measure,Not enough data available to calculate measure,7.18%,,,,,,,,,,
H3342,Empire BlueCross BlueShield,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",85.71%,90.91%,90.27%,1.67%,7.68%,1.58%,60.93%,100.00%,9.68%,Not enough data available to calculate measure,84.68%,Not enough data available to calculate measure,Not enough data available to calculate measure,36.57%,,,,,,,,,,
H3344,Independent Health,INDEPENDENT HEALTH BENEFITS CORPORATION,Not measured,Not measured,97.20%,0.00%,9.94%,0.20%,63.12%,100.00%,28.63%,Not enough data available to calculate measure,71.10%,51.52%,Not enough data available to calculate measure,60.34%,,,,,,,,,,
H3346,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.",0.00%,100.00%,98.08%,0.83%,7.90%,2.78%,73.30%,100.00%,23.31%,Not enough data available to calculate measure,60.31%,Not enough data available to calculate measure,Not enough data available to calculate measure,2.99%,,,,,,,,,,
H3347,Elderplan,"ELDERPLAN, INC.",Not measured,Not measured,97.05%,1.67%,4.27%,1.17%,54.56%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3351,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.",100.00%,100.00%,80.00%,0.00%,7.60%,1.96%,66.40%,100.00%,6.80%,81.20%,77.15%,67.83%,80.08%,51.58%,,,,,,,,,,
H3356,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.",Not measured,Not measured,Not measured,Not measured,7.14%,2.74%,67.93%,100.00%,17.73%,Not enough data available to calculate measure,77.15%,Not enough data available to calculate measure,Not enough data available to calculate measure,1.38%,,,,,,,,,,
H3359,Healthfirst Medicare Plan,"MANAGED HEALTH, INC.",100.00%,Not measured,86.66%,0.00%,4.10%,0.91%,42.40%,100.00%,10.95%,68.98%,75.07%,46.02%,88.42%,54.26%,,,,,,,,,,
H3361,WellCare,"WELLCARE_OF NEW YORK, INC.",Not measured,Not measured,98.21%,3.33%,4.99%,1.12%,45.73%,100.00%,29.97%,51.10%,86.48%,34.46%,72.57%,42.58%,,,,,,,,,,
H3362,Independent Health,"INDEPENDENT HEALTH ASSOCIATION, INC.",100.00%,100.00%,96.98%,0.00%,8.93%,0.51%,64.01%,100.00%,5.89%,72.13%,71.10%,53.35%,87.34%,66.91%,,,,,,,,,,
H3366,Touchstone Health,"TOUCHSTONE HEALTH HMO, INC.",Not measured,Not measured,Not measured,3.33%,5.87%,3.41%,39.65%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3370,Empire BlueCross BlueShield,"EMPIRE HEALTHCHOICE HMO, INC.",83.33%,80.95%,90.15%,2.50%,7.49%,1.12%,61.31%,100.00%,11.33%,73.19%,84.68%,51.03%,80.60%,47.22%,,,,,,,,,,
H3379,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF NEW YORK, INC.",Not measured,Not measured,89.60%,0.79%,8.70%,1.75%,66.95%,91.67%,10.86%,Not enough data available to calculate measure,85.29%,71.05%,90.91%,29.17%,,,,,,,,,,
H3384,BlueCross BlueShield of WNY and BlueShield of NENY,HEALTHNOW NEW YORK INC,90.00%,100.00%,95.72%,0.00%,7.94%,1.10%,65.05%,100.00%,6.40%,78.41%,71.74%,56.02%,92.98%,52.80%,,,,,,,,,,
H3387,UnitedHealthcare Community Plan,"UNITEDHEALTHCARE OF NEW YORK, INC.",0.00%,Not measured,94.38%,0.00%,3.13%,0.37%,48.84%,91.67%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3388,CDPHP Medicare Choices,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC.",Not measured,Not measured,89.13%,0.00%,7.04%,1.52%,69.67%,100.00%,6.43%,65.31%,83.74%,60.00%,91.43%,74.16%,,,,,,,,,,
H3404,Blue Cross and Blue Shield of North Carolina,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Not measured,Not measured,96.21%,0.00%,7.17%,1.88%,54.93%,100.00%,25.19%,Not enough data available to calculate measure,82.13%,Not enough data available to calculate measure,Not enough data available to calculate measure,2.49%,,,,,,,,,,
H3405,Humana Insurance Company,HUMANA INSURANCE COMPANY,Not measured,Not measured,91.37%,1.54%,7.90%,1.46%,57.90%,100.00%,13.62%,Not enough data available to calculate measure,97.42%,Not enough data available to calculate measure,Not enough data available to calculate measure,29.11%,,,,,,,,,,
H3435,Erickson Advantage,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,Not measured,Not measured,4.82%,0.00%,75.66%,100.00%,,,,,,,,,,,,,,,,
H3449,Blue Cross and Blue Shield of North Carolina,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,50.00%,100.00%,96.39%,0.00%,7.80%,1.29%,58.30%,100.00%,4.85%,81.19%,81.64%,46.99%,77.03%,95.00%,,,,,,,,,,
H3456,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF NORTH CAROLINA, INC.",36.36%,100.00%,92.93%,1.05%,7.36%,1.80%,52.71%,91.67%,13.23%,61.61%,85.29%,46.25%,79.22%,23.20%,,,,,,,,,,
H3503,Heart of America Health Plan,HEART OF AMERICA HEALTH PLAN,,,,,,,,Not measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3518,"Blue Cross and Blue Shield of Florida, Inc.","BLUE CROSS BLUE SHIELD OF FLORIDA, INC.",Not measured,Not measured,88.00%,0.83%,7.35%,1.83%,63.46%,100.00%,32.33%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H3528,"ConnectiCare, Inc.","CONNECTICARE, INC.",Not measured,100.00%,93.58%,0.00%,5.38%,1.68%,66.90%,100.00%,32.10%,55.38%,68.87%,Not enough data available to calculate measure,Not enough data available to calculate measure,38.93%,,,,,,,,,,
H3533,Northeast Community Care,"ARCADIAN HEALTH PLAN OF NEW YORK, INC.",Not measured,Not measured,95.04%,1.67%,8.17%,0.00%,54.02%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3597,Aetna Medicare,AETNA HEALTH,Not measured,100.00%,Not measured,0.00%,5.45%,0.44%,70.22%,100.00%,11.90%,Not enough data available to calculate measure,72.28%,Not enough data available to calculate measure,Not enough data available to calculate measure,60.77%,,,,,,,,,,
H3619,Humana Insurance Company,HUMANA INSURANCE COMPANY,90.00%,100.00%,91.35%,1.54%,7.38%,1.24%,60.73%,100.00%,29.42%,55.88%,97.42%,56.32%,87.50%,33.09%,,,,,,,,,,
H3620,PrimeTime Health Plan,MCKINLEY LIFE INSURANCE COMPANY,Not measured,Not measured,Not measured,0.00%,7.09%,2.33%,60.76%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3623,Aetna Medicare,"AETNA HEALTH,  INC.",Not measured,75.00%,Not measured,0.00%,8.96%,1.51%,57.32%,100.00%,16.85%,Not enough data available to calculate measure,72.28%,Not enough data available to calculate measure,Not enough data available to calculate measure,43.74%,,,,,,,,,,
H3653,Paramount Elite,"PARAMOUNT CARE, INC",Not measured,Not measured,78.35%,0.83%,7.20%,1.39%,57.84%,100.00%,5.55%,59.46%,81.17%,46.85%,85.71%,41.85%,,,,,,,,,,
H3655,Anthem Blue Cross and Blue Shield,COMMUNITY INSURANCE COMPANY,77.78%,100.00%,90.80%,0.00%,7.36%,1.11%,58.77%,100.00%,6.88%,65.20%,83.09%,45.30%,76.19%,53.24%,,,,,,,,,,
H3659,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF OHIO, INC.",16.67%,100.00%,91.14%,1.05%,7.74%,1.48%,57.30%,91.67%,8.95%,54.72%,85.29%,49.06%,82.73%,28.94%,,,,,,,,,,
H3660,SummaCare Secure,SUMMACARE INC.,Not measured,Not measured,96.89%,0.00%,8.56%,1.49%,64.77%,100.00%,4.12%,68.63%,82.52%,59.80%,86.67%,45.37%,,,,,,,,,,
H3664,PrimeTime Health Plan,MCKINLEY LIFE INSURANCE COMPANY,Not measured,Not measured,96.10%,0.00%,8.26%,1.91%,62.67%,100.00%,2.33%,71.79%,86.69%,52.86%,72.09%,33.58%,,,,,,,,,,
H3668,MediGold,"MT. CARMEL HEALTH PLAN, INC.",71.43%,100.00%,97.32%,0.00%,8.09%,1.51%,64.68%,100.00%,6.29%,47.62%,67.11%,45.29%,80.51%,0 - Plan reported a Biased Rate,,,,,,,,,,
H3672,The Health Plan,HOMETOWN HEALTH PLAN,0.00%,Not measured,100.00%,0.83%,8.69%,0.48%,62.72%,100.00%,33.57%,Not enough data available to calculate measure,95.28%,25.64%,Not enough data available to calculate measure,9.14%,,,,,,,,,,
H3706,Universal American,"GLOBALHEALTH, INC.",Not measured,Not measured,85.92%,0.00%,8.40%,2.50%,57.92%,100.00%,23.71%,0 - Plan reported a Biased Rate,78.24%,60.61%,90.91%,8.76%,,,,,,,,,,
H3708,Universal American,"SELECTCARE OF OKLAHOMA, INC.",Not measured,Not measured,70.97%,0.00%,20.32%,0.00%,75.34%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3709,MedicareBlue PPO,HCSC INSURANCE SERVICES COMPANY,Not measured,Not measured,81.25%,1.67%,6.61%,1.23%,53.97%,100.00%,16.02%,Not enough data available to calculate measure,0 - Plan reported a Biased Rate,Not enough data available to calculate measure,Not enough data available to calculate measure,3.43%,,,,,,,,,,
H3749,SecureHorizons by UnitedHealthcare,"PACIFICARE OF OKLAHOMA, INC.",Not measured,Not measured,91.78%,1.41%,8.53%,2.37%,57.89%,91.67%,7.24%,54.55%,85.29%,48.92%,79.44%,49.54%,,,,,,,,,,
H3755,CommunityCare Senior Health Plan,"COMMUNITY CARE HMO, INC",Not measured,Not measured,91.88%,1.67%,9.00%,1.57%,58.14%,100.00%,3.80%,85.96%,0 - Plan reported a Biased Rate,52.29%,77.70%,1.30%,,,,,,,,,,
H3805,SecureHorizons by UnitedHealthcare,"PACIFICARE OF OREGON, INC.",100.00%,100.00%,91.11%,1.90%,6.09%,1.20%,66.42%,91.67%,9.36%,Not enough data available to calculate measure,85.29%,60.93%,76.24%,56.25%,,,,,,,,,,
H3810,CareSource,MID ROGUE INDEPENDENT PHYSICIAN ASSOCIATION,Not measured,Not measured,88.21%,0.00%,9.45%,1.97%,64.06%,100.00%,10.58%,36.67%,0 - Plan reported a Biased Rate,65.63%,Not enough data available to calculate measure,44.04%,,,,,,,,,,
H3811,Samaritan Advantage Health Plan,"SAMARITAN HEALTH PLANS, INC.",Not measured,100.00%,69.36%,0.83%,6.80%,0.65%,67.67%,100.00%,4.81%,Not enough data available to calculate measure,78.41%,60.42%,Not enough data available to calculate measure,29.90%,,,,,,,,,,
H3812,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,92.69%,1.09%,6.27%,2.10%,58.44%,91.67%,16.69%,Not enough data available to calculate measure,85.29%,57.14%,Not enough data available to calculate measure,44.68%,,,,,,,,,,
H3813,"ODS Health Plan, Inc.","ODS HEALTH PLAN, INC.",Not measured,Not measured,Not measured,0.91%,6.08%,2.13%,70.83%,100.00%,30.61%,Not enough data available to calculate measure,82.00%,46.15%,Not enough data available to calculate measure,1.53%,,,,,,,,,,
H3814,ATRIO MyAdvantage,ATRIO HEALTH PLANS,Not measured,Not measured,90.48%,0.00%,10.97%,1.12%,61.26%,100.00%,8.53%,Not enough data available to calculate measure,96.72%,Not enough data available to calculate measure,Not enough data available to calculate measure,58.15%,,,,,,,,,,
H3815,Citizens Choice Healthplan,CITIZENS CHOICE HEALTHPLAN,100.00%,100.00%,68.13%,0.84%,6.08%,1.18%,48.77%,100.00%,18.29%,Not enough data available to calculate measure,87.74%,35.71%,Not enough data available to calculate measure,26.62%,,,,,,,,,,
H3817,Regence BlueCross BlueShield of Oregon,REGENCE BLUECROSS BLUESHIELD OF OR,83.33%,85.71%,95.97%,0.00%,7.07%,2.01%,66.39%,100.00%,12.96%,63.93%,72.25%,52.80%,85.52%,0 - Plan reported a Biased Rate,,,,,,,,,,
H3818,"FamilyCare Health Plans, Inc.","FAMILYCARE HEALTH PLANS, INC.",Not measured,Not measured,86.80%,0.00%,5.99%,1.66%,64.03%,100.00%,11.65%,Not enough data available to calculate measure,65.79%,Not enough data available to calculate measure,Not enough data available to calculate measure,29.68%,,,,,,,,,,
H3864,Clear One Health Plans,"CLEAR ONE HEALTH PLANS, INC.",Not measured,Not measured,96.81%,0.83%,6.02%,1.21%,64.67%,100.00%,16.10%,38.46%,51.02%,57.89%,79.41%,57.42%,,,,,,,,,,
H3887,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,89.42%,1.14%,7.42%,1.96%,50.48%,91.67%,26.85%,45.71%,85.29%,Not enough data available to calculate measure,Not enough data available to calculate measure,25.55%,,,,,,,,,,
H3907,UPMC Health Plan,UNIVERSITY OF PITTSBURGH MEDICAL CENTER,100.00%,100.00%,63.90%,2.50%,8.15%,1.05%,63.12%,100.00%,4.88%,76.64%,80.29%,52.03%,83.96%,52.31%,,,,,,,,,,
H3909,Personal Choice 65,QCC INSURANCE COMPANY,80.00%,100.00%,Not measured,0.83%,7.42%,2.10%,67.43%,100.00%,10.31%,39.22%,78.50%,47.87%,85.96%,49.00%,,,,,,,,,,
H3912,Evercare« by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,93.73%,2.08%,10.94%,1.31%,60.67%,91.67%,33.62%,54.05%,85.29%,Not enough data available to calculate measure,Not enough data available to calculate measure,15.01%,,,,,,,,,,
H3916,Highmark Inc.,"HIGHMARK, INC.",88.46%,66.67%,93.38%,0.00%,7.36%,0.99%,67.85%,100.00%,7.78%,75.50%,89.71%,56.75%,79.12%,47.20%,,,,,,,,,,
