CY2015 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,Both Part C & Part D,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring of Patients Taking Long-term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Pneumonia Vaccine - DMC09,Access to Primary Care Doctor Visits - DMC10,Special Needs Plan (SNP) Care Management - DMC11,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC12,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC13,Initiation of Alcohol or other Drug Treatment - DMC14,Engagement of Alcohol or other Drug Treatment - DMC15,Reminders for Appointments - DMC16,Reminders for Immunizations - DMC17,Reminders for Screening Tests - DMC18,Computer used during Office Visits - DMC19,Computer use by Provider Helpful - DMC20,Computer use Made Talking to Provider Easier - DMC21,Breast Cancer Screening - DMC22,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Drug-Drug Interactions  - DMD03,Diabetes Medication Dosing - DMD04,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD05,MPF – Stability - DMD06,Medication Therapy Management Program Completion Rate for Comprehensive Medication Reviews - DMD07,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD08,Getting Information from Drug Plan - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD11,Transition monitoring - failure rate for all other drugs - DMD12,Reminders to fill prescriptions - DMD13,Reminders to take medications - DMD14,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07",Beneficiary Access and Performance Problems - DME08
H2591,Health Alliance Medicare,"HEALTH ALLIANCE - MIDWEST, INC.",Health Alliance Medical Plans,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2593,"CareMore Health Plan of Arizona, Inc.","CAREMORE HEALTH PLAN OF ARIZONA, INC.","WellPoint, Inc.",42%,87%,52%,88%,96%,83%,38%,88%,76%,96%,98.9%,67%,85%,12%,2%,65%,53%,37%,83%,Not enough data available,50%,79%,No data available,No data available,5.8%,1.74%,100%,96,25.5%,21.88%,85%,98,No data available,26.7%,40%,18%,97%,0.82,24,38,10,10,16,80
H2610,Essence Healthcare,"ESSENCE HEALTHCARE, INC.",Essence Group Holdings Corporation,35%,99%,53%,94%,95%,81%,49%,92%,79%,98%,Plan not required to report measure,77%,81%,31%,2%,54%,39%,32%,86%,Not enough data available,48%,78%,100%,No data available,5.1%,1.08%,100%,No data available,22.2%,20.83%,94%,96,0.0%,0.0%,21%,11%,98%,3.43,18,28,13,7,9,80
H2611,Coventry Health Care,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Aetna Inc.,42%,80%,59%,Not enough data available,90%,77%,35%,90%,70%,96%,Plan not required to report measure,63%,72%,23%,2%,55%,37%,35%,81%,Not enough data available,47%,70%,No data available,No data available,6.2%,0.23%,96%,98,23.6%,28.57%,88%,98,No data available,0.0%,24%,16%,99%,1.00,9,21,24,4,4,80
H2643,L.A. Care Health Plan Medicare Advantage,LOCAL INITIATIVE HEALTH AUTHORITY FOR L.A. COUNTY,Local Initiative Health Authority for LA County,24%,81%,46%,Not enough data available,86%,47%,12%,No data available,62%,90%,CMS Found Issues with Plan’s Data,38%,79%,37%,2%,64%,60%,56%,70%,Not enough data available,58%,62%,No data available,No data available,5.1%,0.07%,100%,99,20.8%,No data available,No data available,98,No data available,No data available,40%,35%,No data available,CMS Found Issues with Plan's Data,15,31,8,8,14,80
H2649,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,56%,97%,54%,91%,92%,83%,36%,90%,80%,95%,Plan not required to report measure,75%,81%,41%,3%,59%,39%,37%,85%,Not enough data available,54%,69%,83%,100.00%,5.2%,0.68%,100%,98,21.6%,22.22%,84%,98,0.0%,0.0%,46%,21%,96%,1.04,14,35,24,9,12,60
H2654,UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealth Group, Inc.",61%,86%,54%,91%,91%,77%,27%,90%,77%,95%,No data available,75%,82%,27%,4%,63%,52%,40%,91%,Not enough data available,51%,66%,100%,100.00%,6.1%,0.87%,96%,99,15.8%,18.98%,No data available,98,6.7%,0.0%,40%,16%,96%,3.99,10,25,17,8,7,80
H2663,"Coventry Health Care of Missouri, Inc.","COVENTRY HEALTH CARE OF MISSOURI, INC",Aetna Inc.,61%,80%,61%,94%,93%,87%,46%,91%,82%,98%,Plan not required to report measure,76%,84%,26%,4%,60%,50%,44%,82%,Not enough data available,50%,79%,100%,No data available,6.2%,0.65%,96%,98,17.3%,19.66%,84%,98,0.0%,0.0%,30%,16%,98%,0.92,10,15,22,6,8,80
H2667,Coventry Health Care,"COVENTRY HEALTH CARE OF MISSOURI, INC",Aetna Inc.,56%,81%,55%,96%,93%,80%,51%,92%,80%,97%,Plan not required to report measure,69%,78%,28%,4%,59%,43%,41%,94%,96%,59%,76%,100%,No data available,4.9%,0.55%,96%,98,14.7%,20.16%,No data available,96,0.0%,0.0%,16%,11%,98%,0.40,15,18,26,7,9,80
H2672,Coventry Health Care,"COVENTRY HEALTH CARE OF KANSAS, INC.",Aetna Inc.,70%,81%,62%,81%,93%,77%,43%,91%,76%,96%,Plan not required to report measure,75%,82%,33%,4%,60%,43%,41%,87%,Not enough data available,54%,74%,No data available,No data available,4.6%,0.44%,96%,99,27.2%,23.26%,83%,97,0.0%,0.0%,36%,16%,98%,0.78,12,17,19,8,7,80
H2676,Cigna-HealthSpring,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,Not enough data available,83%,Not enough data available,Not enough data available,89%,No data available,Not enough data available,No data available,No data available,93%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,No data available,No data available,7.0%,0.93%,92%,103,Plan too small to be measured,No data available,No data available,98,No data available,0.0%,No data available,No data available,96%,No Data Available,28,25,21,15,21,80
H2701,New West Health Services,NEW WEST HEALTH SERVICES,New West Health Services,64%,71%,68%,89%,83%,80%,31%,91%,76%,94%,Plan not required to report measure,77%,81%,59%,3%,56%,29%,34%,85%,92%,48%,70%,0%,100.00%,5.5%,1.13%,100%,98,11.9%,11.11%,88%,98,No data available,6.7%,30%,18%,95%,0.40,12,10,24,5,8,100
H2751,WellCare,"WELLCARE OF NEW YORK, INC.","WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2758,"BeHealthy America, Inc.","BEHEALTHY AMERICA, INC.","BHSA Investors, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H2773,QUALITY HEALTH PLANS,"QUALITY HEALTH PLANS OF NEW YORK, INC.","QHP Financial Group, Inc.",Not enough data available,96%,Not enough data available,Not enough data available,86%,No data available,Not enough data available,No data available,No data available,78%,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,No data available,No data available,No data available,No data available,96%,No data available,Plan too small to be measured,No data available,No data available,93,No data available,No data available,No data available,No data available,78%,No Data Available,No data available,No data available,No data available,No data available,No data available,80
H2775,Universal American Corp.,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,58%,83%,57%,96%,92%,77%,33%,92%,71%,95%,Plan not required to report measure,78%,75%,48%,6%,55%,49%,40%,81%,Not enough data available,52%,71%,100%,100.00%,5.5%,0.81%,100%,97,41.3%,21.74%,82%,98,0.0%,0.0%,42%,27%,98%,6.30,11,11,46,8,9,100
H2792,Geisinger Gold,"GEISINGER QUALITY OPTIONS, INC.",Geisinger Health System,Not enough data available,89%,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,No data available,91%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No Data Available,No data available,No data available,No data available,No data available,No data available,100
H2802,UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDLANDS, INC.","UnitedHealth Group, Inc.",63%,86%,48%,Not enough data available,92%,67%,30%,90%,81%,94%,Plan not required to report measure,77%,88%,59%,0%,58%,46%,30%,78%,Not enough data available,54%,57%,No data available,No data available,6.4%,1.94%,96%,99,11.9%,17.50%,80%,97,0.0%,0.0%,36%,20%,96%,2.50,9,4,17,3,7,80
H2810,"Group Health Options, Inc.",GROUP HEALTH OPTIONS,Group Health Cooperative,Not enough data available,82%,69%,Not enough data available,89%,84%,21%,90%,74%,96%,Plan not required to report measure,Not enough data available,Not enough data available,36%,4%,62%,35%,50%,91%,Not enough data available,47%,73%,No data available,No data available,6.4%,0.64%,100%,99,Plan too small to be measured,No data available,82%,96,No data available,No data available,12%,10%,94%,0.61,8,14,37,4,4,100
H2816,Universal American Corp.,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,60%,83%,56%,96%,93%,75%,29%,92%,75%,94%,Plan not required to report measure,78%,82%,51%,6%,56%,48%,34%,86%,Not enough data available,52%,66%,100%,100.00%,5.8%,0.29%,100%,97,39.3%,17.19%,No data available,98,No data available,0.0%,43%,24%,98%,CMS Found Issues with Plan's Data,9,14,40,7,9,100
H2836,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS, INC.","WellPoint, Inc.",Not enough data available,86%,67%,Not enough data available,92%,80%,Not enough data available,92%,66%,95%,Plan not required to report measure,Not enough data available,Not enough data available,40%,3%,64%,46%,39%,70%,Not enough data available,54%,88%,100%,No data available,4.0%,0.57%,100%,99,10.9%,No data available,75%,97,No data available,0.0%,43%,16%,100%,CMS Found Issues with Plan's Data,11,11,42,9,8,100
H2879,Molina Healthcare of Wisconsin,MOLINA HEALTHCARE OF WISCONSIN,"Molina Healthcare, Inc.,",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H2905,"Sierra Health and Life Insurance Company, Inc.","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealth Group, Inc.",Not enough data available,58%,58%,Not enough data available,86%,75%,25%,90%,63%,94%,Plan not required to report measure,Not enough data available,Not enough data available,36%,2%,55%,28%,30%,90%,98%,55%,68%,No data available,No data available,6.3%,0.97%,96%,98,22.4%,No data available,No data available,99,No data available,0.0%,28%,11%,94%,1.62,15,18,21,13,9,80
H2906,Senior Care Plus,"HOMETOWN HEALTH PLAN, INC.",Renown Health,Not enough data available,70%,68%,Not enough data available,89%,72%,Not enough data available,91%,79%,96%,Plan not required to report measure,Not enough data available,Not enough data available,14%,3%,55%,28%,30%,91%,Not enough data available,53%,70%,No data available,No data available,5.5%,1.26%,88%,98,24.4%,No data available,84%,96,No data available,53.3%,27%,12%,89%,CMS Found Issues with Plan's Data,8,14,38,6,6,80
H2911,"Vantage Health Plan, Inc.","VANTAGE HEALTH PLAN, INC.","Vantage Holdings, Inc.",Not enough data available,88%,Not enough data available,Not enough data available,89%,No data available,Not enough data available,92%,60%,90%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,45%,37%,30%,65%,Not enough data available,57%,Not enough data available,100%,No data available,5.8%,1.24%,96%,99,33.3%,No data available,80%,96,No data available,0.0%,25%,19%,97%,2.25,No data available,No data available,No data available,No data available,No data available,100
H2926,PrimeWest Health,PRIMEWEST CTRL COUNTY-BASED PURCHASING INTIATIVE,PrimeWest Central County-Based Purchasing Initiati,Not enough data available,92%,Not enough data available,Not enough data available,89%,No data available,Not enough data available,No data available,No data available,99%,59.7%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,76%,No data available,No data available,9.9%,0.00%,100%,96,9.3%,No data available,No data available,99,No data available,No data available,No data available,No data available,No data available,No Data Available,No data available,No data available,No data available,No data available,No data available,80
H2931,"Health Plan of Nevada, Inc.","HEALTH PLAN OF NEVADA, INC.","UnitedHealth Group, Inc.",54%,58%,52%,93%,96%,82%,75%,86%,74%,95%,Plan not required to report measure,75%,84%,23%,2%,68%,42%,44%,84%,Not enough data available,53%,75%,94%,No data available,4.7%,0.97%,96%,98,23.1%,9.41%,81%,97,0.0%,0.0%,51%,16%,97%,7.37,21,33,11,12,12,80
H2944,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,51%,97%,53%,95%,91%,72%,28%,91%,70%,96%,Plan not required to report measure,71%,75%,43%,2%,59%,44%,39%,81%,91%,50%,65%,No data available,100.00%,6.9%,0.84%,100%,98,15.1%,20.27%,77%,98,0.0%,0.0%,46%,23%,95%,0.75,11,13,31,8,10,60
H2949,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,38%,97%,50%,91%,96%,76%,52%,90%,70%,96%,28.2%,75%,83%,12%,1%,67%,54%,37%,81%,Not enough data available,55%,75%,100%,No data available,4.4%,0.59%,100%,98,23.0%,33.33%,83%,97,0.0%,0.0%,51%,23%,97%,1.39,25,36,15,11,22,80
H2960,Senior Care Plus,"HOMETOWN HEALTH PLAN, INC.",Renown Health,Not enough data available,70%,55%,Not enough data available,92%,79%,17%,92%,84%,95%,Plan not required to report measure,75%,81%,45%,2%,52%,36%,35%,81%,Not enough data available,53%,76%,50%,No data available,4.9%,0.58%,88%,98,26.5%,20.69%,84%,97,6.7%,66.7%,33%,17%,90%,CMS Found Issues with Plan's Data,12,19,16,7,8,80
H2962,Ultimate Health Plans,"ULTIMATE HEALTH PLANS, INC.","ULTIMATE HEALTH PLAN, INC.",Not enough data available,93%,Not enough data available,Not enough data available,91%,No data available,Not enough data available,No data available,No data available,98%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,No data available,No data available,3.4%,0.00%,96%,98,CMS Found Issues with Plan's Data,No data available,No data available,90,No data available,6.7%,No data available,No data available,97%,CMS Found Issues with Plan's Data,No data available,No data available,No data available,No data available,No data available,100
H2968,Memorial Hermann Health Insurance Company,MEMORIAL HERMANN HEALTH PLAN,Memorial Hermann Healthcare System,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2986,University Health Care Advantage,UNIVERSITY HEALTHCARE ADVANTAGE,Stanford Hospital and Clinics,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3018,Centers Plan for Healthy Living,"CENTERS PLAN FOR HEALTHY LIVING, LLC","Centers Plan for Healthy Living, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3054,Constellation Health,"CONSTELLATION HEALTH, LLC.","Constellation Health, LLC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H3067,Virginia Premier CompleteCare,"VIRGINIA PREMIER HEALTH PLAN, INC.",Virginia Cwlth University Hlth System Authority,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3071,"Community Care Alliance of Illinois, NFP","COMMUNITY CARE ALLIANCE OF ILLINOIS, NFP",Family Health Network,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,54%,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H3107,UnitedHealthcare,"OXFORD HEALTH PLANS (NJ), INC.","UnitedHealth Group, Inc.",47%,86%,43%,86%,93%,70%,37%,92%,59%,95%,Plan not required to report measure,68%,81%,39%,3%,56%,50%,38%,71%,Not enough data available,56%,61%,100%,No data available,5.2%,1.05%,96%,99,14.8%,16.54%,No data available,99,0.0%,0.0%,51%,22%,98%,7.22,14,45,18,6,10,80
H3113,UnitedHealthcare,"OXFORD HEALTH PLANS (NJ), INC.","UnitedHealth Group, Inc.",Not enough data available,86%,Not enough data available,Not enough data available,96%,Not enough data available,Not enough data available,No data available,No data available,99%,92.4%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,No data available,No data available,8.7%,0.00%,96%,No data available,2.3%,13.45%,No data available,No data available,No data available,0.0%,No data available,No data available,No data available,0.00,No data available,No data available,No data available,No data available,No data available,100
H3129,"North Shore-LIJ Health Plan, Inc.","NORTH SHORE-LIJ HEALTH PLAN, INC.","North Shore-LI Jewish Health System, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3132,AHF,"AHF MCO OF FLORIDA, INC.",AIDS Healthcare Foundation,Not enough data available,Not enough data available,61%,Not enough data available,99%,Not enough data available,Not enough data available,93%,85%,98%,43.6%,Not enough data available,Not enough data available,42%,2%,74%,52%,38%,95%,97%,61%,68%,50%,100.00%,10.8%,2.26%,100%,100,52.5%,No data available,82%,99,No data available,0.0%,63%,34%,No data available,No Data Available,No data available,No data available,No data available,No data available,No data available,100
H3144,"Coventry Health Care of Illinois, Inc.","COVENTRY HEALTH CARE OF ILLINOIS, INC.",Aetna Inc.,Not enough data available,80%,Not enough data available,Not enough data available,94%,67%,Not enough data available,No data available,No data available,96%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,No data available,No data available,8.7%,2.10%,96%,98,26.2%,No data available,No data available,98,No data available,No data available,No data available,No data available,100%,No Data Available,No data available,No data available,No data available,No data available,No data available,80
H3152,Aetna Medicare,"AETNA HEALTH, INC. (NJ)",Aetna Inc.,60%,89%,60%,91%,93%,79%,38%,90%,75%,96%,Plan not required to report measure,75%,77%,55%,7%,58%,57%,41%,77%,Not enough data available,46%,71%,89%,100.00%,5.8%,0.45%,100%,97,36.6%,18.32%,81%,99,No data available,6.7%,41%,19%,98%,1.32,10,19,38,11,8,80
H3154,Horizon Blue Cross Blue Shield of New Jersey,"HORIZON HEALTHCARE OF NEW JERSEY, INC.","Horizon Healthcare Services, Inc.",53%,82%,54%,94%,90%,71%,38%,89%,63%,95%,0.1%,74%,85%,33%,4%,57%,47%,39%,73%,Not enough data available,47%,65%,60%,91.67%,6.0%,0.62%,100%,98,33.3%,17.82%,78%,99,6.7%,0.0%,45%,34%,97%,1.22,19,24,22,5,9,80
